year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,UZB,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,UZB,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AZE,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AZE,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,AZE,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,AZE,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,AZE,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,AZE,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,AZE,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,AZE,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,AZE,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,AZE,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,AZE,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,AZE,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,COL,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,COL,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,COL,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,COL,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,COL,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,COL,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,COL,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,COL,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,COL,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,COL,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,COL,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,COL,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MOZ,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MOZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,MOZ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,MOZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,MOZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,MOZ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,MOZ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,MOZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,MOZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,MOZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,MOZ,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,MOZ,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,PAK,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,PAK,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,PAK,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,PAK,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PAK,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PAK,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PAK,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,PAK,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,PAK,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,PAK,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,PAK,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PAK,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,TCD,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,TCD,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,TCD,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,TCD,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,TCD,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,TCD,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,TCD,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,TCD,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,TCD,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,TCD,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,TCD,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,TCD,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,THA,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,THA,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,THA,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,THA,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,THA,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,THA,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,THA,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,THA,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,THA,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,THA,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,THA,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,THA,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,GNQ,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,GNQ,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,GNQ,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,GNQ,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,GNQ,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,GNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,GNQ,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,GNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,GNQ,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,GNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,GNQ,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,GNQ,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,TUN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,TUN,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,TUN,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,TUN,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,TUN,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,TUN,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,TUN,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,TUN,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,TUN,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,TUN,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,TUN,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,TUN,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,TTO,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,TTO,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,TTO,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,TTO,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,TTO,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,TTO,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,TTO,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,TTO,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,TTO,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,TTO,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,TTO,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,TTO,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,SDN,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,SDN,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,SDN,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,SDN,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,SDN,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,SDN,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,SDN,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,SDN,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,SDN,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,SDN,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,SDN,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,SDN,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,NOR,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,NOR,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,NOR,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,NOR,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,NOR,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,NOR,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,NOR,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,NOR,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,NOR,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,NOR,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,NOR,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,NOR,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,UKR,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,UKR,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,UKR,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,UKR,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,UKR,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,UKR,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,UKR,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,UKR,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,UKR,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,UKR,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,UKR,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,UKR,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BRN,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BRN,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,BRN,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BRN,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,BRN,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,BRN,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,BRN,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,BRN,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BRN,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,BRN,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,BRN,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BRN,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,COD,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,COD,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,COD,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,COD,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,COD,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,COD,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,COD,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,COD,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,COD,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,COD,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,COD,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,COD,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,GUY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,GUY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,GUY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,GUY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,GUY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,GUY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,GUY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,GUY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,GUY,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,GUY,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,GUY,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,GUY,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BHR,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BHR,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,BHR,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BHR,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,BHR,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,BHR,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,BHR,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,BHR,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BHR,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,BHR,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,BHR,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BHR,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,HUN,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,HUN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,HUN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,HUN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,HUN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,HUN,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,HUN,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,HUN,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,HUN,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,HUN,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,HUN,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,HUN,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,PNG,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,PNG,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,PNG,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,PNG,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PNG,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PNG,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PNG,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,PNG,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,PNG,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,PNG,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,PNG,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PNG,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,PER,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,PER,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,PER,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,PER,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PER,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PER,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PER,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,PER,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,PER,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,PER,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,PER,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PER,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,PHL,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,PHL,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,PHL,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,PHL,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PHL,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PHL,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PHL,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,PHL,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,PHL,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,PHL,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,PHL,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,PHL,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CUB,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CUB,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,CUB,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CUB,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,CUB,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,CUB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,CUB,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,CUB,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,CUB,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,CUB,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,CUB,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,CUB,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,GTM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,GTM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,GTM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,GTM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,GTM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,GTM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,GTM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,GTM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,GTM,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,GTM,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,GTM,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,GTM,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,TUR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,TUR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,TUR,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,TUR,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,TUR,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,TUR,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,TUR,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,TUR,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,TUR,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,TUR,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,TUR,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,TUR,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,DNK,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DNK,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,DNK,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,DNK,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,DNK,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,DNK,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,DNK,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,DNK,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,DNK,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,DNK,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,DNK,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,DNK,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BOL,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BOL,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,BOL,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BOL,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,BOL,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,BOL,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,BOL,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,BOL,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BOL,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,BOL,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,BOL,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BOL,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,NER,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,NER,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,NER,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,NER,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,NER,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,NER,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,NER,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,NER,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,NER,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
