year,geo,disagg_type,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2013,WLD,Total,Lower-middle income (Medium risk),2620,,,,
2014,WLD,Total,Lower-middle income (Medium risk),2686,,,,
2015,WLD,Total,Lower-middle income (Medium risk),2694,,,,
2016,WLD,Total,Lower-middle income (Medium risk),2686,,,,
2017,WLD,Total,Lower-middle income (Medium risk),2675,,,,
2018,WLD,Total,Lower-middle income (Medium risk),2704,,,,
2019,WLD,Total,Lower-middle income (Medium risk),2709,,,,
2020,WLD,Total,Lower-middle income (Medium risk),2720,,,,
2021,WLD,Total,Lower-middle income (Medium risk),2731,,,,
2022,WLD,Total,Lower-middle income (Medium risk),2890,,,,
2023,WLD,Total,Lower-middle income (Medium risk),2901,,,,
2024,WLD,Total,Lower-middle income (Medium risk),2828,,,,
2013,WLD,Total,Medium-income (Low risk),662,,,,
2014,WLD,Total,Medium-income (Low risk),727,,,,
2015,WLD,Total,Medium-income (Low risk),788,,,,
2016,WLD,Total,Medium-income (Low risk),840,,,,
2017,WLD,Total,Medium-income (Low risk),882,,,,
2018,WLD,Total,Medium-income (Low risk),925,,,,
2019,WLD,Total,Medium-income (Low risk),986,,,,
2020,WLD,Total,Medium-income (Low risk),1021,,,,
2021,WLD,Total,Medium-income (Low risk),997,,,,
2022,WLD,Total,Medium-income (Low risk),902,,,,
2023,WLD,Total,Medium-income (Low risk),959,,,,
2024,WLD,Total,Medium-income (Low risk),1197,,,,
2013,WLD,Total,Rural poor (High risk),518,,,,
2014,WLD,Total,Rural poor (High risk),456,,,,
2015,WLD,Total,Rural poor (High risk),431,,,,
2016,WLD,Total,Rural poor (High risk),416,,,,
2017,WLD,Total,Rural poor (High risk),404,,,,
2018,WLD,Total,Rural poor (High risk),363,,,,
2019,WLD,Total,Rural poor (High risk),327,,,,
2020,WLD,Total,Rural poor (High risk),304,,,,
2021,WLD,Total,Rural poor (High risk),350,,,,
2022,WLD,Total,Rural poor (High risk),328,,,,
2023,WLD,Total,Rural poor (High risk),306,,,,
2024,WLD,Total,Rural poor (High risk),309,,,,
2013,WLD,Total,Urban poor (High risk),816,,,,
2014,WLD,Total,Urban poor (High risk),779,,,,
2015,WLD,Total,Urban poor (High risk),772,,,,
2016,WLD,Total,Urban poor (High risk),780,,,,
2017,WLD,Total,Urban poor (High risk),789,,,,
2018,WLD,Total,Urban poor (High risk),783,,,,
2019,WLD,Total,Urban poor (High risk),782,,,,
2020,WLD,Total,Urban poor (High risk),782,,,,
2021,WLD,Total,Urban poor (High risk),812,,,,
2022,WLD,Total,Urban poor (High risk),813,,,,
2023,WLD,Total,Urban poor (High risk),815,,,,
2024,WLD,Total,Urban poor (High risk),696,,,,
