year,geo,value
2014,ROU,0.59
2015,UKR,0.59
2013,ARM,0.58
2014,ARM,0.58
2012,CUB,0.57
2008,PRT,0.56
2016,SAU,0.56
2001,GTM,0.56
2015,ARM,0.56
2005,NER,0.55
2005,MYS,0.55
2012,PRT,0.54
2010,HUN,0.54
2006,SVK,0.53
2008,ROU,0.53
2008,SVK,0.53
2008,BLR,0.52
2004,NER,0.50
2011,CUB,0.50
2013,CUB,0.50
2007,SGP,0.49
2014,IRL,0.48
2012,IRL,0.48
1995,KGZ,0.47
2008,SGP,0.47
2012,ARM,0.47
2004,MYS,0.47
2011,ARM,0.46
2014,PRT,0.46
2002,MYS,0.46
2003,MYS,0.46
2014,AZE,0.46
2015,SGP,0.45
2009,ARM,0.44
2008,ARM,0.44
2010,ARM,0.44
2010,SGP,0.43
2011,SGP,0.43
2004,SVK,0.42
2001,MYS,0.42
2008,DNK,0.42
2010,SVK,0.42
2006,SGP,0.41
2014,CUB,0.41
2014,SGP,0.41
2000,ARM,0.38
2010,LUX,0.38
1999,MYS,0.38
2002,ARM,0.38
2001,ARM,0.38
2006,DNK,0.37
2014,SVK,0.37
2012,SVK,0.37
2007,ARM,0.36
2014,ARE,0.36
2009,SGP,0.36
2006,ARM,0.35
2004,ARM,0.35
2005,ARM,0.35
2000,MYS,0.34
2003,ARM,0.34
2011,ARE,0.34
2012,ARE,0.34
2005,SGP,0.34
2004,GRC,0.34
2013,SGP,0.33
2007,DZA,0.33
2003,DZA,0.33
2010,ARE,0.32
2007,BLR,0.32
2004,DNK,0.32
2012,LUX,0.32
2015,ARE,0.31
2013,ARE,0.30
2015,CUB,0.30
2010,GTM,0.30
2012,GRC,0.30
2012,AZE,0.30
2010,GRC,0.29
2013,MAR,0.29
2009,ARE,0.29
1998,ARM,0.29
2012,SGP,0.28
2000,PHL,0.28
2004,SGP,0.28
2006,GRC,0.27
2015,AZE,0.26
2008,MAR,0.26
2008,GRC,0.25
1999,ARM,0.24
2006,BLR,0.24
2014,LUX,0.24
2006,LUX,0.23
2008,HRV,0.22
2014,GRC,0.22
2003,SGP,0.22
2001,SGP,0.20
2013,AZE,0.20
2008,LUX,0.20
2007,ECU,0.20
2005,ECU,0.20
2002,SGP,0.19
2008,ECU,0.19
1990,MDA,0.19
2005,BLR,0.19
2011,AZE,0.19
1997,DZA,0.19
1995,DZA,0.19
2014,CYP,0.17
2014,LTU,0.17
2004,ECU,0.16
2014,SVN,0.16
2008,SVN,0.15
2001,TUN,0.15
2002,TUN,0.15
2006,ECU,0.15
2002,BHR,0.14
2001,BHR,0.14
2000,BHR,0.14
1999,BHR,0.14
1998,BHR,0.14
1997,BHR,0.14
2010,AZE,0.14
1996,BHR,0.14
2012,LTU,0.14
1995,BHR,0.14
2012,SVN,0.13
2009,AZE,0.13
2014,HRV,0.13
2003,ECU,0.13
2013,TTO,0.12
2003,BLR,0.12
2015,TTO,0.12
2004,LUX,0.12
2014,TTO,0.12
2002,ECU,0.12
2000,SGP,0.12
2012,HRV,0.12
2012,IRQ,0.12
2000,MAR,0.12
1999,SGP,0.12
2010,SVN,0.12
2002,BLR,0.12
2006,SVN,0.12
2008,LTU,0.12
2004,HRV,0.11
2004,CYP,0.11
2009,JOR,0.11
2001,LBN,0.11
2004,SVN,0.11
2001,ECU,0.11
2010,LTU,0.11
2014,LVA,0.10
2002,LBN,0.10
2001,BLR,0.10
1995,HKG,0.10
2006,LTU,0.10
2012,LVA,0.10
2000,HKG,0.09
2008,ISL,0.09
1995,BLR,0.09
2004,LTU,0.09
2000,ECU,0.09
1999,SEN,0.08
2005,ZMB,0.08
1997,HKG,0.08
1996,HKG,0.08
1998,SGP,0.08
2001,HKG,0.08
2003,JOR,0.07
2000,BLR,0.07
2010,HRV,0.07
1999,HKG,0.07
2005,JOR,0.07
2010,LVA,0.07
2008,LVA,0.07
1997,SGP,0.07
2006,LVA,0.07
1995,SGP,0.06
2002,HKG,0.06
1996,SGP,0.06
2010,JOR,0.06
1998,HKG,0.06
2007,HKG,0.06
2003,HKG,0.06
2006,HKG,0.06
2008,HKG,0.06
2008,MLT,0.06
2009,HKG,0.05
2003,ZMB,0.05
2006,MLT,0.05
2000,ZMB,0.05
2004,HKG,0.05
2013,JOR,0.05
2005,HKG,0.05
2011,ZWE,0.05
2007,LIE,0.05
2007,MDG,0.05
2010,ZWE,0.05
2004,MLT,0.04
2008,TTO,0.04
2009,ZWE,0.04
2010,HKG,0.04
1996,LKA,0.04
2014,ISL,0.04
2006,BHR,0.04
2005,BHR,0.04
1995,YEM,0.04
2012,MLT,0.04
2012,ZWE,0.04
2014,MLT,0.04
2011,HKG,0.04
1997,AZE,0.04
2007,TTO,0.04
2007,BHR,0.04
1998,AZE,0.03
2012,HKG,0.03
2015,HKG,0.03
2003,BHR,0.03
2004,JOR,0.03
2004,BHR,0.03
2013,HKG,0.03
2005,TTO,0.03
2014,HKG,0.03
2006,TTO,0.03
2012,CYP,0.03
2004,TTO,0.03
2006,AZE,0.03
2012,BGD,0.03
1995,AZE,0.03
2003,AZE,0.03
2000,AZE,0.03
2007,ZWE,0.03
2010,MLT,0.02
2006,ZWE,0.02
2008,AZE,0.02
2008,CYP,0.02
2015,MAC,0.02
2005,ZWE,0.02
2001,ZWE,0.02
2004,ZWE,0.02
2000,ZWE,0.02
1999,MDG,0.02
2015,IRQ,0.02
2002,ZWE,0.02
2008,ZWE,0.02
2014,MAC,0.02
2007,BGD,0.02
2003,ZWE,0.02
1996,AZE,0.02
2012,MAC,0.02
2011,MAC,0.02
2011,LIE,0.02
2013,MAC,0.02
2006,CYP,0.02
2004,LVA,0.02
2001,AZE,0.02
2012,ISL,0.02
2010,IRQ,0.02
2010,MTQ,0.01
2009,PSE,0.01
2013,LIE,0.01
2014,ZWE,0.01
1999,AZE,0.01
2005,AZE,0.01
2010,MAC,0.01
2008,PSE,0.01
2013,GLP,0.01
2009,MAC,0.01
2003,TTO,0.01
2004,AZE,0.01
2006,TUR,0.01
2008,BIH,0.01
2006,LIE,0.01
2007,AZE,0.01
2010,BIH,0.01
2006,CMR,0.01
2006,MTQ,0.01
2006,GLP,0.01
2006,JAM,0.01
2005,JAM,0.01
2004,JAM,0.01
2003,JAM,0.01
2002,JAM,0.01
2001,JAM,0.01
2000,JAM,0.01
1999,JAM,0.01
1998,JAM,0.01
1997,JAM,0.01
1996,JAM,0.01
2002,AZE,0.01
2009,BIH,0.01
2005,CMR,0.01
2008,CMR,0.01
2012,GLP,0.01
2015,MUS,0.01
2008,MAC,0.01
2014,MUS,0.01
2009,CMR,0.01
2004,ISL,0.01
2013,MUS,0.01
2007,PSE,0.01
2014,BIH,0.01
2007,CMR,0.01
2010,ISL,0.01
2012,MUS,0.01
2009,LIE,0.01
2011,MUS,0.01
2015,LIE,0.01
2010,MUS,0.01
2009,MUS,0.01
2010,GLP,0.01
2008,MUS,0.01
2015,MDA,0.01
2014,IRQ,0.01
2007,MUS,0.01
1996,TTO,0.01
2006,MAC,0.01
2008,MKD,0.01
2007,MAC,0.01
2003,PSE,0.01
2005,MAC,0.01
2003,MAC,0.01
2004,MAC,0.01
2004,CMR,0.01
2007,GLP,0.01
2005,PSE,0.01
2002,MAC,0.01
2006,PSE,0.01
2000,PSE,0.01
2007,MTQ,0.00
2012,MTQ,0.00
2014,PSE,0.00
2004,PSE,0.00
2001,MAC,0.00
2012,PSE,0.00
2012,BIH,0.00
2000,MAC,0.00
1997,MAC,0.00
2013,MDA,0.00
2010,PSE,0.00
1998,LBN,0.00
1999,MAC,0.00
2012,MDA,0.00
1998,MAC,0.00
2003,MDA,0.00
2014,CPV,0.00
2013,MTQ,0.00
2009,MTQ,0.00
2008,MTQ,0.00
1996,MDA,0.00
1997,MDA,0.00
2006,GUF,0.00
2011,MDA,0.00
2011,PAN,0.00
2010,PAN,0.00
2000,MDA,0.00
1995,MDA,0.00
2015,LCA,0.00
2014,LCA,0.00
2007,MDA,0.00
2007,GUF,0.00
2009,PAN,0.00
2008,IRQ,0.00
2002,MDA,0.00
2001,MDA,0.00
2014,AND,0.00
2011,GLP,0.00
2004,MDA,0.00
2002,MDG,0.00
2007,TGO,0.00
2015,AND,0.00
2006,PAN,0.00
1999,MDA,0.00
2005,MDA,0.00
1998,MDA,0.00
2013,LCA,0.00
2006,MDA,0.00
2002,BEN,0.00
2009,MDA,0.00
2003,PAN,0.00
2008,PAN,0.00
2008,GLP,0.00
2005,PAN,0.00
2011,MTQ,0.00
2004,PAN,0.00
2008,MDA,0.00
2002,PAN,0.00
2014,MDA,0.00
2007,PAN,0.00
2008,GTM,0.00
2013,AND,0.00
2003,MUS,0.00
2010,MDA,0.00
2012,GUF,0.00
2007,GTM,0.00
2009,GLP,0.00
2003,MCO,0.00
2000,BLZ,0.00
2001,PAN,0.00
1999,BLZ,0.00
2009,BFA,0.00
2008,MCO,0.00
2013,GUF,0.00
2011,GUF,0.00
2008,BFA,0.00
2004,MCO,0.00
2009,GUF,0.00
2002,DMA,0.00
2010,GUF,0.00
2015,BMU,0.00
2006,BFA,0.00
2011,BMU,0.00
2014,BMU,0.00
2007,MCO,0.00
2010,BMU,0.00
2012,BMU,0.00
2002,MCO,0.00
2013,BMU,0.00
2008,GUF,0.00
2005,MCO,0.00
2006,MCO,0.00
2007,BFA,0.00
2009,MCO,0.00
2005,BFA,0.00
2001,MCO,0.00
1999,MCO,0.00
2004,BFA,0.00
1996,MCO,0.00
1995,MCO,0.00
2015,MCO,0.00
2000,MCO,0.00
2014,MCO,0.00
2013,MCO,0.00
1999,PAN,0.00
1998,MCO,0.00
2000,PAN,0.00
1997,MCO,0.00
1995,PAN,0.00
2009,LCA,0.00
1990,PAN,0.00
2004,LCA,0.00
2004,BLR,0.00
2015,ZWE,0.00
2010,LCA,0.00
2006,LCA,0.00
2007,LCA,0.00
2014,MKD,0.00
2011,LCA,0.00
2013,TZA,0.00
2008,LCA,0.00
2012,LCA,0.00
2014,TZA,0.00
2015,TZA,0.00
2010,TZA,0.00
2012,TZA,0.00
2001,TZA,0.00
2011,TZA,0.00
2008,TZA,0.00
2002,TZA,0.00
2009,TZA,0.00
2003,TZA,0.00
1999,TZA,0.00
2000,TZA,0.00
2005,LCA,0.00
2003,SYR,0.00
2009,GTM,0.00
2010,BFA,0.00
2011,GTM,0.00
2007,TZA,0.00
1998,TZA,0.00
2006,TZA,0.00
2005,TZA,0.00
1997,TZA,0.00
2011,BFA,0.00
2004,TZA,0.00
1996,TZA,0.00
1995,TZA,0.00
2012,GTM,0.00
1990,TZA,0.00
2013,ZWE,0.00
2014,SUR,0.00
2015,SUR,0.00
2008,SUR,0.00
2010,SUR,0.00
2009,SUR,0.00
2013,SUR,0.00
2011,SUR,0.00
2012,SUR,0.00
2002,VCT,0.00
