year,year_max,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
1972,1979,WLD,Total,1484,,,,
1980,1989,WLD,Total,1799,,,,
1990,1999,WLD,Total,5612,,,,
2000,2009,WLD,Total,7410,,,,
2010,2017,WLD,Total,5218,,,,
1972,1979,WLD,Cd,0.82,,,,
1972,1979,WLD,Pb,9.4,,,,
1972,1979,WLD,Zn,52,,,,
1972,1979,WLD,Cu,5.9,,,,
1972,1979,WLD,Ni,1.4,,,,
1972,1979,WLD,Mn,445,,,,
1972,1979,WLD,Fe,967,,,,
1972,1979,WLD,Co,2.3,,,,
1980,1989,WLD,Cd,0.74,,,,
1980,1989,WLD,Pb,94,,,,
1980,1989,WLD,Cr,4.9,,,,
1980,1989,WLD,Hg,0.38,,,,
1980,1989,WLD,Zn,60,,,,
1980,1989,WLD,Cu,8.5,,,,
1980,1989,WLD,Ni,5.7,,,,
1980,1989,WLD,Mn,312,,,,
1980,1989,WLD,Fe,1312,,,,
1980,1989,WLD,As,1.3,,,,
1990,1999,WLD,Cd,39,,,,
1990,1999,WLD,Pb,258,,,,
1990,1999,WLD,Cr,117,,,,
1990,1999,WLD,Hg,2480,,,,
1990,1999,WLD,Zn,1949,,,,
1990,1999,WLD,Cu,85,,,,
1990,1999,WLD,Ni,159,,,,
1990,1999,WLD,Al,140,,,,
1990,1999,WLD,Mn,156,,,,
1990,1999,WLD,Fe,210,,,,
1990,1999,WLD,As,19,,,,
2000,2009,WLD,Cd,22,,,,
2000,2009,WLD,Pb,57,,,,
2000,2009,WLD,Cr,641,,,,
2000,2009,WLD,Hg,3.9,,,,
2000,2009,WLD,Zn,843,,,,
2000,2009,WLD,Cu,434,,,,
2000,2009,WLD,Ni,60,,,,
2000,2009,WLD,Al,1574,,,,
2000,2009,WLD,Mn,894,,,,
2000,2009,WLD,Fe,2853,,,,
2000,2009,WLD,As,7.4,,,,
2000,2009,WLD,Co,20,,,,
2010,2017,WLD,Cd,25,,,,
2010,2017,WLD,Pb,116,,,,
2010,2017,WLD,Cr,138,,,,
2010,2017,WLD,Hg,16,,,,
2010,2017,WLD,Zn,1180,,,,
2010,2017,WLD,Cu,120,,,,
2010,2017,WLD,Ni,81,,,,
2010,2017,WLD,Al,1199,,,,
2010,2017,WLD,Mn,518,,,,
2010,2017,WLD,Fe,1480,,,,
2010,2017,WLD,As,318,,,,
2010,2017,WLD,Co,27,,,,
