year,geo,disagg_type,disagg,value
1990,WLD,All,Total,9078897807
1991,WLD,All,Total,113381931946
1992,WLD,All,Total,4202519037
1993,WLD,All,Total,59414185307
1994,WLD,All,Total,10807337360
1995,WLD,All,Total,9628131918
1996,WLD,All,Total,5194674768
1997,WLD,All,Total,1420604174
1998,WLD,All,Total,10148788341
1999,WLD,All,Total,232118947983
2000,WLD,All,Total,314001870339
2001,WLD,All,Total,277972804030
2002,WLD,All,Total,683623474098
2003,WLD,All,Total,553249087093
2004,WLD,All,Total,451029240683
2005,WLD,All,Total,579963920383
2006,WLD,All,Total,42020188987
2007,WLD,All,Total,77447931369
2008,WLD,All,Total,7351281050
2009,WLD,All,Total,42480306834
2010,WLD,All,Total,56082529638
2011,WLD,All,Total,175907934724
2012,WLD,All,Total,108179110402
2013,WLD,All,Total,205274815381
2014,WLD,All,Total,107690703310
2015,WLD,All,Total,7372713758
2016,WLD,All,Total,23189898115
2017,WLD,All,Total,64417270897
2018,WLD,All,Total,15062417851
2019,WLD,All,Total,8771911107
2020,WLD,All,Total,568195649
1990,WLD,Management Type,Knowledge funding,5017776
1990,WLD,Management Type,Mixed,546237
1990,WLD,Management Type,NA,8432753863
1990,WLD,Management Type,Post-invasion_management,640579931
1991,WLD,Management Type,Knowledge funding,3007308
1991,WLD,Management Type,Mixed,332281430
1991,WLD,Management Type,NA,112973597072
1991,WLD,Management Type,Post-invasion_management,53248189
1991,WLD,Management Type,Pre-invasion_management,19797947
1992,WLD,Management Type,Knowledge funding,15878473
1992,WLD,Management Type,Mixed,1764927
1992,WLD,Management Type,NA,2224361042
1992,WLD,Management Type,Post-invasion_management,1768626051
1992,WLD,Management Type,Pre-invasion_management,191888542
1993,WLD,Management Type,Knowledge funding,56101053
1993,WLD,Management Type,Mixed,9926389
1993,WLD,Management Type,NA,53579786000
1993,WLD,Management Type,Post-invasion_management,5767353774
1993,WLD,Management Type,Pre-invasion_management,1018091
1994,WLD,Management Type,Mixed,15194
1994,WLD,Management Type,NA,10790394751
1994,WLD,Management Type,Post-invasion_management,16927415
1995,WLD,Management Type,Knowledge funding,8043
1995,WLD,Management Type,Mixed,48257164
1995,WLD,Management Type,NA,8480362208
1995,WLD,Management Type,Post-invasion_management,1099504503
1996,WLD,Management Type,Knowledge funding,625106
1996,WLD,Management Type,NA,4318123182
1996,WLD,Management Type,Post-invasion_management,875682385
1996,WLD,Management Type,Unspecified,244095
1997,WLD,Management Type,Knowledge funding,5497438
1997,WLD,Management Type,Mixed,21637
1997,WLD,Management Type,NA,116035263
1997,WLD,Management Type,Post-invasion_management,1299049835
1998,WLD,Management Type,Knowledge funding,5442780
1998,WLD,Management Type,Mixed,13371
1998,WLD,Management Type,NA,9775830632
1998,WLD,Management Type,Post-invasion_management,347666494
1998,WLD,Management Type,Pre-invasion_management,19835064
1999,WLD,Management Type,Knowledge funding,523716402
1999,WLD,Management Type,Mixed,29078231
1999,WLD,Management Type,NA,230858965883
1999,WLD,Management Type,Post-invasion_management,297357781
1999,WLD,Management Type,Pre-invasion_management,409673072
1999,WLD,Management Type,Unspecified,156614
2000,WLD,Management Type,Knowledge funding,241618146
2000,WLD,Management Type,Mixed,17907039
2000,WLD,Management Type,NA,281107256549
2000,WLD,Management Type,Post-invasion_management,5029185037
2000,WLD,Management Type,Pre-invasion_management,459919497
2000,WLD,Management Type,Unspecified,27145984071
2001,WLD,Management Type,Knowledge funding,820220814
2001,WLD,Management Type,Mixed,116974
2001,WLD,Management Type,NA,277047201595
2001,WLD,Management Type,Post-invasion_management,103741117
2001,WLD,Management Type,Unspecified,1523530
2002,WLD,Management Type,Knowledge funding,41418933
2002,WLD,Management Type,Mixed,396005846
2002,WLD,Management Type,NA,654742487602
2002,WLD,Management Type,Post-invasion_management,27472100185
2002,WLD,Management Type,Pre-invasion_management,970788019
2002,WLD,Management Type,Unspecified,673513
2003,WLD,Management Type,Knowledge funding,30176756
2003,WLD,Management Type,Mixed,27578
2003,WLD,Management Type,NA,551875629189
2003,WLD,Management Type,Post-invasion_management,1126472141
2003,WLD,Management Type,Pre-invasion_management,903375
2003,WLD,Management Type,Unspecified,215878053
2004,WLD,Management Type,Knowledge funding,166317979
2004,WLD,Management Type,Mixed,22067
2004,WLD,Management Type,NA,448693006443
2004,WLD,Management Type,Post-invasion_management,1265821450
2004,WLD,Management Type,Pre-invasion_management,904072745
2005,WLD,Management Type,Knowledge funding,169067002
2005,WLD,Management Type,Mixed,25460577
2005,WLD,Management Type,NA,547522118796
2005,WLD,Management Type,Post-invasion_management,7154181947
2005,WLD,Management Type,Pre-invasion_management,444546824
2005,WLD,Management Type,Unspecified,24648545237
2006,WLD,Management Type,Knowledge funding,15187423
2006,WLD,Management Type,Mixed,1534402006
2006,WLD,Management Type,NA,39648761633
2006,WLD,Management Type,Post-invasion_management,821837925
2007,WLD,Management Type,Knowledge funding,4365397
2007,WLD,Management Type,Mixed,2918217
2007,WLD,Management Type,NA,71404360743
2007,WLD,Management Type,Post-invasion_management,6028306174
2007,WLD,Management Type,Pre-invasion_management,5673652
2007,WLD,Management Type,Unspecified,2307186
2008,WLD,Management Type,Knowledge funding,14641961
2008,WLD,Management Type,Mixed,48637908
2008,WLD,Management Type,NA,6602501201
2008,WLD,Management Type,Post-invasion_management,596709690
2008,WLD,Management Type,Pre-invasion_management,86128719
2008,WLD,Management Type,Unspecified,2661572
2009,WLD,Management Type,Knowledge funding,15592035
2009,WLD,Management Type,Mixed,249142512
2009,WLD,Management Type,NA,35004177693
2009,WLD,Management Type,Post-invasion_management,7203963972
2009,WLD,Management Type,Pre-invasion_management,1907623
2009,WLD,Management Type,Unspecified,5522999
2010,WLD,Management Type,Knowledge funding,55020364
2010,WLD,Management Type,Mixed,67057257
2010,WLD,Management Type,NA,50665840869
2010,WLD,Management Type,Post-invasion_management,3900103348
2010,WLD,Management Type,Pre-invasion_management,1341207976
2010,WLD,Management Type,Unspecified,53299824
2011,WLD,Management Type,Knowledge funding,3205868
2011,WLD,Management Type,Mixed,461115905
