year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2016,WLD,Total,13.0,,,,
2020,WLD,Total,13.3,,,,
2021,WLD,Total,13.2,,,,
2026,WLD,Total,,13.5,,,
2030,WLD,Total,,,,6.5,
2050,WLD,Total,,,,6.5,
2016,014,Total,17,,,,
2020,014,Total,17,,,,
2021,014,Total,16,,,,
2016,017,Total,19,,,,
2020,017,Total,21,,,,
2021,017,Total,18,,,,
2016,015,Total,14,,,,
2020,015,Total,16,,,,
2021,015,Total,16,,,,
2016,018,Total,21,,,,
2020,018,Total,22,,,,
2021,018,Total,20,,,,
2016,202,Total,20,,,,
2020,202,Total,21,,,,
2021,202,Total,20,,,,
2016,011,Total,24,,,,
2020,011,Total,25,,,,
2021,011,Total,24,,,,
2016,021,Total,13,,,,
2020,021,Total,14,,,,
2021,021,Total,12,,,,
2016,013,Total,14,,,,
2020,013,Total,15,,,,
2021,013,Total,16,,,,
2016,029,Total,18,,,,
2020,029,Total,19,,,,
2021,029,Total,23,,,,
2016,005,Total,12,,,,
2020,005,Total,12,,,,
2021,005,Total,14,,,,
2016,143,Total,9.6,,,,
2020,143,Total,9.9,,,,
2021,143,Total,9.7,,,,
2016,030,Total,15,,,,
2020,030,Total,15,,,,
2021,030,Total,8.5,,,,
2016,034,Total,14,,,,
2020,034,Total,14,,,,
2021,034,Total,13,,,,
2016,035,Total,14,,,,
2020,035,Total,15,,,,
2021,035,Total,16,,,,
2016,145,Total,12,,,,
2020,145,Total,14,,,,
2021,145,Total,13,,,,
2016,151,Total,4.3,,,,
2020,151,Total,4.6,,,,
2021,151,Total,5,,,,
2016,154,Total,9.8,,,,
2020,154,Total,9.9,,,,
2021,154,Total,12,,,,
2016,039,Total,6.8,,,,
2020,039,Total,7.1,,,,
2021,039,Total,8.1,,,,
2016,155,Total,6.2,,,,
2020,155,Total,6.5,,,,
2021,155,Total,7.8,,,,
2016,053,Total,13,,,,
2020,053,Total,14,,,,
2021,053,Total,14,,,,
2016,054,Total,14,,,,
2020,054,Total,15,,,,
2021,054,Total,13,,,,
2016,057,Total,7.6,,,,
2020,057,Total,7.5,,,,
2021,057,Total,7.3,,,,
2016,061,Total,12,,,,
2020,061,Total,13,,,,
2021,061,Total,14,,,,
2010,AFG,Cereals,11,,,,
2011,AFG,Cereals,8.6,,,,
2012,AFG,Cereals,12,,,,
2013,AFG,Cereals,11,,,,
2014,AFG,Cereals,12,,,,
2015,AFG,Cereals,9.7,,,,
2016,AFG,Cereals,9.5,,,,
2017,AFG,Cereals,7.9,,,,
2018,AFG,Cereals,7.2,,,,
2019,AFG,Cereals,9.8,,,,
2020,AFG,Cereals,9.7,,,,
2021,AFG,Cereals,7.6,,,,
2022,AFG,Cereals,7.7,,,,
2010,AFG,Eggs,3.4,,,,
2011,AFG,Eggs,11,,,,
2012,AFG,Eggs,6.5,,,,
2013,AFG,Eggs,11,,,,
2014,AFG,Eggs,9.2,,,,
2015,AFG,Eggs,8.8,,,,
2016,AFG,Eggs,8.8,,,,
2017,AFG,Eggs,9.5,,,,
2018,AFG,Eggs,9,,,,
2019,AFG,Eggs,7.7,,,,
2020,AFG,Eggs,8.5,,,,
2021,AFG,Eggs,9.9,,,,
2022,AFG,Eggs,8.6,,,,
2010,AFG,Fruits,7.3,,,,
2011,AFG,Fruits,7.5,,,,
2012,AFG,Fruits,6.7,,,,
2013,AFG,Fruits,6.9,,,,
2014,AFG,Fruits,7,,,,
2015,AFG,Fruits,7.1,,,,
2016,AFG,Fruits,6.6,,,,
2017,AFG,Fruits,6.4,,,,
2018,AFG,Fruits,7.2,,,,
2019,AFG,Fruits,7.9,,,,
2020,AFG,Fruits,7.4,,,,
2021,AFG,Fruits,7.8,,,,
2022,AFG,Fruits,7.8,,,,
2010,AFG,Meat,0,,,,
2011,AFG,Meat,0,,,,
2012,AFG,Meat,0,,,,
2013,AFG,Meat,0,,,,
2014,AFG,Meat,0,,,,
2015,AFG,Meat,0,,,,
2016,AFG,Meat,0,,,,
2017,AFG,Meat,0,,,,
2018,AFG,Meat,0,,,,
2019,AFG,Meat,0,,,,
2020,AFG,Meat,0,,,,
2021,AFG,Meat,0,,,,
2022,AFG,Meat,0,,,,
2010,AFG,Milk,3.4,,,,
2011,AFG,Milk,3.4,,,,
2012,AFG,Milk,3.2,,,,
2013,AFG,Milk,3.3,,,,
2014,AFG,Milk,2,,,,
2015,AFG,Milk,2.9,,,,
2016,AFG,Milk,2.6,,,,
2017,AFG,Milk,2.4,,,,
2018,AFG,Milk,2.5,,,,
2019,AFG,Milk,2.6,,,,
2020,AFG,Milk,2.7,,,,
2021,AFG,Milk,2.7,,,,
2022,AFG,Milk,2.9,,,,
2010,AFG,Pulses,4.1,,,,
2011,AFG,Pulses,3.5,,,,
2012,AFG,Pulses,3.6,,,,
2013,AFG,Pulses,3.6,,,,
2014,AFG,Pulses,3.7,,,,
2015,AFG,Pulses,6.8,,,,
2016,AFG,Pulses,4.7,,,,
2017,AFG,Pulses,1.7,,,,
2018,AFG,Pulses,1.8,,,,
2019,AFG,Pulses,1.4,,,,
2020,AFG,Pulses,2,,,,
2021,AFG,Pulses,1.5,,,,
2022,AFG,Pulses,1.4,,,,
2010,AFG,Starchy Roots,5,,,,
2011,AFG,Starchy Roots,4.6,,,,
