year,year_max,geo,disagg,value,projections,benchmark_low,benchmark_mid
2015,2017,WLD,Total,78.3,,,
2030,2030,WLD,Total,,,,200
2015,2017,WLD,Public domestic,67.8,,,
2015,2017,WLD,International public,3.9,,,
2015,2017,WLD,Private ,6.6,,,
