year,year_max,geo,value
1990,2024,WLD,43
2024,,AFG,1
2024,,DZA,1
2024,,ATG,1
2024,,ARG,1
2024,,AUS,1
2024,,AUT,1
2024,,AZE,1
2024,,BGD,1
2024,,BLR,1
2024,,BEL,1
2024,,BLZ,1
2024,,BIH,1
2024,,BRA,1
2024,,CPV,1
2024,,CMR,1
2024,,CAN,1
2024,,TCD,1
2024,,CHL,1
2024,,CHN,1
2024,,COM,1
2024,,COG,1
2024,,COD,1
2024,,HRV,1
2024,,CYP,1
2024,,DNK,1
2024,,DJI,1
2024,,DOM,1
2024,,ECU,1
2024,,EGY,1
2024,,ERI,1
2024,,EST,1
2024,,ETH,1
2024,,FIN,1
2024,,FRA,1
2024,,GEO,1
2024,,DEU,1
2024,,ISL,1
2024,,IND,1
2024,,IDN,1
2024,,IRN,1
2024,,ITA,1
2024,,JOR,1
2024,,KEN,1
2024,,KOR,1
2024,,KOS,1
2024,,LAO,1
2024,,LVA,1
2024,,LBN,1
2024,,LUX,1
2024,,MDG,1
2024,,MWI,1
2024,,MLI,1
2024,,MRT,1
2024,,MEX,1
2024,,MNG,1
2024,,MNE,1
2024,,MAR,1
2024,,NPL,1
2024,,NLD,1
2024,,NZL,1
2024,,NIC,1
2024,,NGA,1
2024,,MKD,1
2024,,OMN,1
2024,,PAK,1
2024,,PSE,1
2024,,PAN,1
2024,,PNG,1
2024,,PHL,1
2024,,PRT,1
2024,,KNA,1
2024,,SMR,1
2024,,SEN,1
2024,,SRB,1
2024,,SLE,1
2024,,SOM,1
2024,,ZAF,1
2024,,SSD,1
2024,,ESP,1
2024,,SDN,1
2024,,SWE,1
2024,,CHE,1
2024,,TWN,1
2024,,TJK,1
2024,,TLS,1
2024,,TGO,1
2024,,TUR,1
2024,,TKM,1
2024,,USA,1
2024,,URY,1
2024,,VEN,1
