year,geog,value
2008,AFG,0.37
2012,AFG,9.17
2014,AFG,2.85
2017,AFG,5.05
2020,AFG,3.34
1990,ALB,44.46
1991,ALB,42.93
2007,ALB,8.94
2008,ALB,13.97
2009,ALB,10.87
2010,ALB,9.87
2011,ALB,58.67
2012,ALB,42.92
2013,ALB,28.2
2014,ALB,25.21
2015,ALB,29.58
2016,ALB,25.62
2017,ALB,24.86
2018,ALB,24.87
2019,ALB,23.15
2014,DZA,2.16
2017,DZA,3.34
2003,AND,38.81
2004,AND,36.69
2005,AND,37.68
2006,AND,39.31
2007,AND,36.81
2008,AND,34.48
2015,AND,33.54
2004,AGO,25.98
2009,AGO,41.4
2011,AGO,21.51
2014,AGO,33.73
1991,ARG,24.13
1992,ARG,14.3
1993,ARG,25.96
1994,ARG,22.22
1995,ARG,20.67
1996,ARG,10.65
1997,ARG,12.27
1998,ARG,8.54
1999,ARG,11.25
2000,ARG,11.85
2001,ARG,13.64
2002,ARG,25.05
2003,ARG,37.54
2004,ARG,32.8
2005,ARG,32.43
2006,ARG,24.98
2008,ARG,16.17
2009,ARG,16.26
2010,ARG,14.47
2011,ARG,16.38
2012,ARG,15.98
2013,ARG,13
2014,ARG,11.74
2017,ARG,11.47
2018,ARG,26.79
2019,ARG,15.84
2021,ARG,21.88
2009,ARM,41.94
2010,ARM,25.48
2011,ARM,30.81
2012,ARM,40.47
2013,ARM,36.96
2007,ARM,31.63
2008,ARM,42.24
2014,ARM,21.1
2015,ARM,46.65
2016,ARM,39.59
2017,ARM,43.13
2018,ARM,26.51
2019,ARM,33.85
2020,ARM,36.48
2007,ABW,40.17
2011,ABW,38.96
2000,ABW,23.08
2010,ABW,31.6
1990,AUS,25.81
2004,AUS,29.85
2005,AUS,26.46
2008,AUS,24.93
2009,AUS,26.82
2010,AUS,26.61
2011,AUS,26.7
2012,AUS,28.92
2013,AUS,24.18
2014,AUS,24.23
2015,AUS,29.9
2016,AUS,25.39
2017,AUS,26.91
2018,AUS,25.81
2019,AUS,28.03
2020,AUS,29.66
1995,AUT,31.82
1996,AUT,37.94
1997,AUT,38.44
1998,AUT,36.68
1999,AUT,36.58
2000,AUT,35.62
2001,AUT,38.77
2002,AUT,40.97
2003,AUT,36.46
2004,AUT,40.48
2005,AUT,35.59
2006,AUT,36.88
2007,AUT,41.56
2008,AUT,37.27
2009,AUT,40.16
2010,AUT,38.65
2011,AUT,39.54
2012,AUT,34.83
2013,AUT,36.5
2014,AUT,42.91
2015,AUT,38.94
2016,AUT,40.21
2017,AUT,45.33
2018,AUT,38.93
2019,AUT,38.8
2020,AUT,40.86
2021,AUT,45.15
2002,AZE,19.95
2004,AZE,22.25
2005,AZE,17.72
2009,AZE,20.11
2010,AZE,18.93
2011,AZE,23.11
2012,AZE,22.66
2013,AZE,22.64
2014,AZE,22.34
2015,AZE,21.02
2016,AZE,20.75
2017,AZE,21.51
2018,AZE,22.08
2019,AZE,22.7
2020,AZE,20.97
2003,AZE,34.49
2006,AZE,26.06
2007,AZE,41.35
2008,AZE,12.76
1990,BHR,3.62
1991,BHR,3.39
1992,BHR,3.04
1993,BHR,2.93
1994,BHR,2.88
1997,BHR,3.95
1999,BHR,4
2000,BHR,3.55
2001,BHR,3.22
2015,BHR,1.73
2006,BGD,6.27
2010,BGD,7.52
2013,BGD,12.43
2016,BGD,13.11
2017,BGD,13.97
2015,BRB,39.73
2016,BRB,43.9
2017,BRB,34.31
2018,BRB,32.62
2019,BRB,19.26
2011,BLR,39.02
2012,BLR,38.97
2013,BLR,38.79
2014,BLR,38.56
2015,BLR,37.98
2016,BLR,34.87
2017,BLR,34.1
2018,BLR,33.69
2019,BLR,34.08
2020,BLR,33.86
2021,BLR,36.2
1993,BEL,16.58
1994,BEL,26.86
1995,BEL,32.88
1996,BEL,27.81
1997,BEL,26.55
1998,BEL,26.29
1999,BEL,21.64
2002,BEL,18.61
2003,BEL,26.9
2004,BEL,25.97
2005,BEL,28.98
2006,BEL,22.38
2007,BEL,25.67
2008,BEL,25.56
2009,BEL,25.54
2010,BEL,31.29
2011,BEL,33.43
2012,BEL,28.51
2013,BEL,35.75
2014,BEL,37.65
2015,BEL,24.52
2016,BEL,26.31
2017,BEL,24.56
2018,BEL,28.7
2019,BEL,30.44
2020,BEL,32.8
2021,BEL,27.24
2014,BLZ,12.7
2015,BLZ,12.1
2016,BLZ,8.37
2017,BLZ,11.84
2019,BLZ,12.14
2020,BLZ,12.06
2021,BLZ,12.87
2010,BEN,24.83
2011,BEN,20.07
2018,BEN,37.24
2009,BMU,7.66
2010,BMU,14.67
2011,BTN,29.85
2012,BTN,34.83
2018,BTN,43.78
2019,BTN,41.68
2020,BTN,32.62
2021,BTN,33.79
2005,BOL,8.9
2006,BOL,14.69
2007,BOL,16.62
2008,BOL,23.9
2009,BOL,21.76
2011,BOL,25.07
2012,BOL,26.19
2013,BOL,23.11
2014,BOL,17.77
2015,BOL,20.32
2020,BOL,10.79
2001,BOL,27.17
2002,BOL,13.07
1993,BOL,15.25
1994,BOL,13.38
1995,BOL,6.24
1996,BOL,11.16
2016,BOL,15.45
2017,BOL,10.66
2018,BOL,14.04
2019,BOL,13.8
2021,BOL,16.76
2001,BIH,10.25
2006,BIH,18.15
2007,BIH,13.63
2008,BIH,19.43
2009,BIH,20.76
2010,BIH,18.18
2011,BIH,14.32
2012,BIH,17.21
2013,BIH,16.66
2014,BIH,21.85
2015,BIH,19.03
2016,BIH,12.68
2017,BIH,14.76
2018,BIH,16.52
2019,BIH,18.68
2020,BIH,17.9
2021,BIH,25.29
1990,BWA,25
1991,BWA,28.36
1992,BWA,30.51
1995,BWA,24.44
2002,BWA,26.9
2004,BWA,36.32
2005,BWA,35.34
2007,BWA,36.25
2010,BWA,45.67
2009,BWA,13.72
2019,BWA,20.21
2020,BWA,15.28
1996,BWA,14.84
1998,BWA,8.73
2000,BWA,17.4
2001,BWA,15.2
2003,BWA,17.42
2006,BWA,13.27
1994,BRA,13.04
2000,BRA,12.03
1992,BRA,12.18
1993,BRA,11.51
