year,geo,value
2017,AUS,0.3
2018,AUS,0.5
2019,AUS,1.8
2020,AUS,2.5
2021,AUS,1.9
2022,AUS,1.6
2017,CHL,14
2018,CHL,5.9
2019,CHL,1.7
2020,CHL,1.7
2021,CHL,2.4
2022,CHL,6
2023,CHL,7.7
2024,CHL,10
2011,CHN,14
2012,CHN,16
2013,CHN,10
2014,CHN,7.6
2015,CHN,15
2016,CHN,16
2017,CHN,10
2018,CHN,5.8
2019,CHN,3.3
2020,CHN,2.6
2021,CHN,2.7
2022,CHN,2.7
2023,CHN,2.4
2010,DEU,0.1
2011,DEU,0.3
2012,DEU,0.3
2013,DEU,0.4
2014,DEU,0.9
2015,DEU,2.4
2016,DEU,1.9
2017,DEU,2.4
2018,DEU,2.3
2019,DEU,2.6
2020,DEU,2.3
2021,DEU,2.4
2022,DEU,3
2023,DEU,3.7
2024,DEU,3.2
2016,ESP,0.1
2017,ESP,0.1
2018,ESP,0.1
2019,ESP,0.1
2020,ESP,0.1
2021,ESP,0.1
2022,ESP,0.8
2023,ESP,2
2024,ESP,1.6
2010,GBR,0
2011,GBR,0.4
2012,GBR,0.2
2013,GBR,1.3
2014,GBR,2
2015,GBR,3.1
2016,GBR,3
2017,GBR,3
2018,GBR,2.9
2019,GBR,2.9
2020,GBR,4.7
2021,GBR,3.5
2022,GBR,4.6
2023,GBR,5.1
2024,GBR,8.5
2016,IRL,2.8
2017,IRL,3.6
2018,IRL,5
2019,IRL,6.6
2020,IRL,11
2021,IRL,7.1
2022,IRL,8
2023,IRL,8.8
2024,IRL,9.6
2010,ITA,5.1
2011,ITA,2.1
2012,ITA,1.1
2013,ITA,1.2
2014,ITA,0.7
2015,ITA,1.1
2016,ITA,1.3
2017,ITA,2.1
2018,ITA,2.1
2019,ITA,2.7
2020,ITA,4.2
2021,ITA,2.3
2022,ITA,1.4
2018,JPN,0
2019,JPN,0.4
2020,JPN,0.6
2021,JPN,0.6
2022,JPN,0.3
