year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2021,WLD,Total public finance,183,,,,
2022,WLD,Total public finance,181,,,,
2023,WLD,Total public finance,189,,,,
2021,WLD,"Sustainable agriculture, fishing and forestry",71,,,,
2021,WLD,Biodiversity and landscape protection,72,,,,
2021,WLD,Environmental policy,12,,,,
2021,WLD,Pollution abatement,13,,,,
2021,WLD,Wastewater management,15,,,,
2022,WLD,"Sustainable agriculture, fishing and forestry",69,,,,
2022,WLD,Biodiversity and landscape protection,73,,,,
2022,WLD,Environmental policy,11,,,,
2022,WLD,Pollution abatement,13,,,,
2022,WLD,Wastewater management,15,,,,
2023,WLD,"Sustainable agriculture, fishing and forestry",66,,,,
2023,WLD,Biodiversity and landscape protection,82,,,,
2023,WLD,Environmental policy,11,,,,
2023,WLD,Pollution abatement,15,,,,
2023,WLD,Wastewater management,15,,,,
