year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2016,WLD,Oil & Gas,681,,,,
2017,WLD,Oil & Gas,712,,,,
2018,WLD,Oil & Gas,765,,,,
2019,WLD,Oil & Gas,798,,,,
2020,WLD,Oil & Gas,723,,,,
2021,WLD,Oil & Gas,744,,,,
2022,WLD,Oil & Gas,630,,,,
2016,WLD,Coal,57,,,,
2017,WLD,Coal,57,,,,
2018,WLD,Coal,70,,,,
2019,WLD,Coal,65,,,,
2020,WLD,Coal,66,,,,
2021,WLD,Coal,57,,,,
2022,WLD,Coal,43,,,,
2016,WLD,Total,738,,,,
2017,WLD,Total,769,,,,
2018,WLD,Total,834,,,,
2019,WLD,Total,864,,,,
2020,WLD,Total,789,,,,
2021,WLD,Total,801,,,,
2022,WLD,Total,673,,,,
2027,WLD,Total,,480,,,
