year,year_max,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2011,2015,AGO,Total,0.23,,,,
2016,2020,AGO,Total,0.4,,,,
2000,2005,AIA,Natural,0.00001,,,,
2006,2010,AIA,Natural,0.000012,,,,
2011,2015,AIA,Natural,0.00001,,,,
2016,2020,AIA,Natural,0.000037,,,,
2000,2005,AIA,Planted,0,,,,
2006,2010,AIA,Planted,0,,,,
2011,2015,AIA,Planted,0,,,,
2016,2020,AIA,Planted,0,,,,
2000,2005,AIA,Total,0.00001,,,,
2006,2010,AIA,Total,0.000012,,,,
2011,2015,AIA,Total,0.00001,,,,
2016,2020,AIA,Total,0.000037,,,,
2000,2005,ALA,Natural,0.00039,,,,
2006,2010,ALA,Natural,0.00029,,,,
2011,2015,ALA,Natural,0.00012,,,,
2016,2020,ALA,Natural,0.00046,,,,
2000,2005,ALA,Planted,0.00062,,,,
2006,2010,ALA,Planted,0.00043,,,,
2011,2015,ALA,Planted,0.0001,,,,
2016,2020,ALA,Planted,0.00017,,,,
2000,2005,ALA,Total,0.001,,,,
2006,2010,ALA,Total,0.00071,,,,
2011,2015,ALA,Total,0.00022,,,,
2016,2020,ALA,Total,0.00063,,,,
2000,2005,ALB,Natural,0.0023,,,,
2006,2010,ALB,Natural,0.0029,,,,
2011,2015,ALB,Natural,0.0045,,,,
2016,2020,ALB,Natural,0.006,,,,
2000,2005,ALB,Planted,0.00035,,,,
2006,2010,ALB,Planted,0.00024,,,,
2011,2015,ALB,Planted,0.00013,,,,
2016,2020,ALB,Planted,0.000062,,,,
2000,2005,ALB,Total,0.0026,,,,
2006,2010,ALB,Total,0.0032,,,,
2011,2015,ALB,Total,0.0046,,,,
2016,2020,ALB,Total,0.0061,,,,
2000,2005,AND,Natural,0.000028,,,,
2006,2010,AND,Natural,0.000024,,,,
2011,2015,AND,Natural,0.000023,,,,
2016,2020,AND,Natural,0.000043,,,,
2000,2005,AND,Planted,0.00000046,,,,
2006,2010,AND,Planted,0.00000068,,,,
2011,2015,AND,Planted,0.00000029,,,,
2016,2020,AND,Planted,0.00000029,,,,
2000,2005,AND,Total,0.000029,,,,
2006,2010,AND,Total,0.000024,,,,
2011,2015,AND,Total,0.000024,,,,
2016,2020,AND,Total,0.000043,,,,
2000,2005,ARE,Natural,0.0000098,,,,
2006,2010,ARE,Natural,0.000044,,,,
2011,2015,ARE,Natural,0.00011,,,,
2016,2020,ARE,Natural,0.00043,,,,
2000,2005,ARE,Planted,0,,,,
2006,2010,ARE,Planted,0,,,,
2011,2015,ARE,Planted,0.00000056,,,,
2016,2020,ARE,Planted,0.0000017,,,,
2000,2005,ARE,Total,0.0000098,,,,
2006,2010,ARE,Total,0.000044,,,,
2011,2015,ARE,Total,0.00011,,,,
2016,2020,ARE,Total,0.00043,,,,
2000,2005,ARG,Natural,0.1,,,,
2006,2010,ARG,Natural,0.17,,,,
2011,2015,ARG,Natural,0.27,,,,
2016,2020,ARG,Natural,0.32,,,,
2000,2005,ARG,Planted,0.08,,,,
2006,2010,ARG,Planted,0.085,,,,
2011,2015,ARG,Planted,0.042,,,,
2016,2020,ARG,Planted,0.048,,,,
2000,2005,ARG,Total,0.18,,,,
2006,2010,ARG,Total,0.25,,,,
2011,2015,ARG,Total,0.31,,,,
2016,2020,ARG,Total,0.36,,,,
2000,2005,ARM,Natural,0.0013,,,,
2006,2010,ARM,Natural,0.0022,,,,
2011,2015,ARM,Natural,0.0028,,,,
2016,2020,ARM,Natural,0.0057,,,,
2000,2005,ARM,Planted,0.000044,,,,
2006,2010,ARM,Planted,0.000061,,,,
2011,2015,ARM,Planted,0.00005,,,,
2016,2020,ARM,Planted,0.0001,,,,
2000,2005,ARM,Total,0.0013,,,,
2006,2010,ARM,Total,0.0023,,,,
2011,2015,ARM,Total,0.0029,,,,
2016,2020,ARM,Total,0.0058,,,,
2000,2005,ASM,Natural,0,,,,
2006,2010,ASM,Natural,0,,,,
2011,2015,ASM,Natural,0,,,,
2016,2020,ASM,Natural,0,,,,
2000,2005,ASM,Planted,0,,,,
2006,2010,ASM,Planted,0,,,,
2011,2015,ASM,Planted,0,,,,
2016,2020,ASM,Planted,0,,,,
2000,2005,ASM,Total,0,,,,
2006,2010,ASM,Total,0,,,,
2011,2015,ASM,Total,0,,,,
2016,2020,ASM,Total,0,,,,
2000,2005,ATA,Natural,0,,,,
2006,2010,ATA,Natural,0,,,,
2011,2015,ATA,Natural,0,,,,
2016,2020,ATA,Natural,0,,,,
2000,2005,ATA,Planted,0,,,,
2006,2010,ATA,Planted,0,,,,
2011,2015,ATA,Planted,0,,,,
2016,2020,ATA,Planted,0,,,,
2000,2005,ATA,Total,0,,,,
2006,2010,ATA,Total,0,,,,
2011,2015,ATA,Total,0,,,,
2016,2020,ATA,Total,0,,,,
2000,2005,ATF,Natural,0,,,,
2006,2010,ATF,Natural,0,,,,
2011,2015,ATF,Natural,0,,,,
2016,2020,ATF,Natural,0,,,,
2000,2005,ATF,Planted,0,,,,
2006,2010,ATF,Planted,0,,,,
2011,2015,ATF,Planted,0,,,,
2016,2020,ATF,Planted,0,,,,
2000,2005,ATF,Total,0,,,,
2006,2010,ATF,Total,0,,,,
2011,2015,ATF,Total,0,,,,
2016,2020,ATF,Total,0,,,,
2000,2005,ATG,Natural,0.000062,,,,
2006,2010,ATG,Natural,0.000054,,,,
2011,2015,ATG,Natural,0.000067,,,,
2016,2020,ATG,Natural,0.00018,,,,
2000,2005,ATG,Planted,0,,,,
2006,2010,ATG,Planted,0,,,,
2011,2015,ATG,Planted,0,,,,
2016,2020,ATG,Planted,0,,,,
2000,2005,ATG,Total,0.000062,,,,
2006,2010,ATG,Total,0.000054,,,,
2011,2015,ATG,Total,0.000067,,,,
2016,2020,ATG,Total,0.00018,,,,
2000,2005,AUS,Natural,0.21,,,,
2006,2010,AUS,Natural,0.27,,,,
2011,2015,AUS,Natural,0.47,,,,
2016,2020,AUS,Natural,0.29,,,,
2000,2005,AUS,Planted,0.15,,,,
2006,2010,AUS,Planted,0.1,,,,
2011,2015,AUS,Planted,0.07,,,,
2016,2020,AUS,Planted,0.041,,,,
2000,2005,AUS,Total,0.36,,,,
2006,2010,AUS,Total,0.37,,,,
2011,2015,AUS,Total,0.54,,,,
2016,2020,AUS,Total,0.33,,,,
2000,2005,AUT,Natural,0.011,,,,
2006,2010,AUT,Natural,0.0064,,,,
2011,2015,AUT,Natural,0.0049,,,,
2016,2020,AUT,Natural,0.0083,,,,
2000,2005,AUT,Planted,0.003,,,,
2006,2010,AUT,Planted,0.0015,,,,
2011,2015,AUT,Planted,0.00049,,,,
2016,2020,AUT,Planted,0.00029,,,,
2000,2005,AUT,Total,0.014,,,,
2006,2010,AUT,Total,0.008,,,,
2011,2015,AUT,Total,0.0054,,,,
2016,2020,AUT,Total,0.0086,,,,
2000,2005,AZE,Natural,0.0034,,,,
2006,2010,AZE,Natural,0.0028,,,,
2011,2015,AZE,Natural,0.0047,,,,
2016,2020,AZE,Natural,0.017,,,,
2000,2005,AZE,Planted,0.00012,,,,
2006,2010,AZE,Planted,0.00013,,,,
2011,2015,AZE,Planted,0.00071,,,,
2016,2020,AZE,Planted,0.0012,,,,
2000,2005,AZE,Total,0.0035,,,,
2006,2010,AZE,Total,0.003,,,,
2011,2015,AZE,Total,0.0054,,,,
2016,2020,AZE,Total,0.018,,,,
2000,2005,BDI,Natural,0.0052,,,,
2006,2010,BDI,Natural,0.004,,,,
2011,2015,BDI,Natural,0.0037,,,,
2016,2020,BDI,Natural,0.0028,,,,
2000,2005,BDI,Planted,0.00022,,,,
2006,2010,BDI,Planted,0.00018,,,,
2011,2015,BDI,Planted,0.00021,,,,
2016,2020,BDI,Planted,0.00016,,,,
2000,2005,BDI,Total,0.0054,,,,
2006,2010,BDI,Total,0.0042,,,,
2011,2015,BDI,Total,0.0039,,,,
2016,2020,BDI,Total,0.0029,,,,
2000,2005,BEL,Natural,0.0096,,,,
2006,2010,BEL,Natural,0.0059,,,,
2011,2015,BEL,Natural,0.0047,,,,
2016,2020,BEL,Natural,0.01,,,,
2000,2005,BEL,Planted,0.0068,,,,
2006,2010,BEL,Planted,0.0024,,,,
2011,2015,BEL,Planted,0.001,,,,
2016,2020,BEL,Planted,0.0011,,,,
2000,2005,BEL,Total,0.016,,,,
2006,2010,BEL,Total,0.0083,,,,
2011,2015,BEL,Total,0.0057,,,,
2016,2020,BEL,Total,0.011,,,,
2000,2005,BEN,Natural,0.026,,,,
2006,2010,BEN,Natural,0.042,,,,
2011,2015,BEN,Natural,0.029,,,,
2016,2020,BEN,Natural,0.044,,,,
2000,2005,BEN,Planted,0.0044,,,,
2006,2010,BEN,Planted,0.0097,,,,
2011,2015,BEN,Planted,0.013,,,,
2016,2020,BEN,Planted,0.012,,,,
2000,2005,BEN,Total,0.03,,,,
2006,2010,BEN,Total,0.052,,,,
2011,2015,BEN,Total,0.043,,,,
2016,2020,BEN,Total,0.056,,,,
2000,2005,BES,Natural,0.000015,,,,
2006,2010,BES,Natural,0.000025,,,,
2011,2015,BES,Natural,0.000019,,,,
2016,2020,BES,Natural,0.00021,,,,
2000,2005,BES,Planted,0,,,,
2006,2010,BES,Planted,0,,,,
2011,2015,BES,Planted,0,,,,
2016,2020,BES,Planted,0,,,,
2000,2005,BES,Total,0.000015,,,,
2006,2010,BES,Total,0.000025,,,,
2011,2015,BES,Total,0.000019,,,,
2016,2020,BES,Total,0.00021,,,,
2000,2005,BFA,Natural,0.017,,,,
2006,2010,BFA,Natural,0.034,,,,
