year,geo,value,projections,benchmark_low,benchmark_mid,benchmark _high
2017,WLD,0.51,,,,
2018,WLD,0.53,,,,
2019,WLD,0.52,,,,
2020,WLD,0.53,,,,
2021,WLD,0.46,,,,
2022,WLD,0.57,,,,
2030,WLD,,0.59,30,360,690
2050,WLD,,,740,3120,5500
