year,year_max,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
1990,2014,WLD,0.12,,,,
1990,2014,MAR,-0.2,,,,
1990,2014,AFG,0.1,,,,
1990,2014,AGO,0.2,,,,
1990,2014,ALA,0.9,,,,
1990,2014,ALB,0,,,,
1990,2014,AND,0,,,,
1990,2014,ARE,1.8,,,,
1990,2014,ARG,-0.1,,,,
1990,2014,ARM,0.1,,,,
1990,2014,ATG,0,,,,
1990,2014,AUS,-0.4,,,,
1990,2014,AUT,0,,,,
1990,2014,AZE,0.7,,,,
1990,2014,BDI,1.7,,,,
1990,2014,BEL,0.2,,,,
1990,2014,BEN,0.2,,,,
1990,2014,BES,-0.2,,,,
1990,2014,BFA,-1.4,,,,
1990,2014,BGD,2.3,,,,
1990,2014,BGR,-0.1,,,,
1990,2014,BHR,44.1,,,,
1990,2014,BHS,0.5,,,,
1990,2014,BIH,-0.1,,,,
1990,2014,BLR,0.1,,,,
1990,2014,BLZ,0,,,,
1990,2014,BOL,0.1,,,,
1990,2014,BRA,0.2,,,,
1990,2014,BRB,0,,,,
1990,2014,BRN,-0.6,,,,
1990,2014,BTN,0.3,,,,
1990,2014,BWA,0,,,,
1990,2014,CAF,1.3,,,,
1990,2014,CAN,-0.1,,,,
1990,2014,CHE,0.1,,,,
1990,2014,CHL,-0.3,,,,
1990,2014,CHN,0.2,,,,
1990,2014,CIV,0.7,,,,
1990,2014,CMR,1.6,,,,
1990,2014,COD,0.4,,,,
1990,2014,COG,1,,,,
1990,2014,COL,-0.2,,,,
1990,2014,COM,0,,,,
1990,2014,CRI,0.1,,,,
1990,2014,CUB,0.3,,,,
1990,2014,CYM,0,,,,
1990,2014,CYP,-0.1,,,,
1990,2014,CZE,0,,,,
1990,2014,DEU,0.1,,,,
1990,2014,DJI,-0.6,,,,
1990,2014,DMA,-0.1,,,,
1990,2014,DNK,0.2,,,,
1990,2014,DOM,0.3,,,,
1990,2014,DZA,0,,,,
1990,2014,ECU,-0.2,,,,
1990,2014,EGY,0.8,,,,
1990,2014,ERI,0.5,,,,
1990,2014,ESH,-1,,,,
1990,2014,ESP,-0.1,,,,
1990,2014,EST,0.1,,,,
1990,2014,ETH,-0.2,,,,
1990,2014,FIN,-1.5,,,,
1990,2014,FJI,-0.1,,,,
1990,2014,FRA,0.1,,,,
1990,2014,FRO,0,,,,
1990,2014,FSM,0,,,,
1990,2014,GAB,1.5,,,,
1990,2014,GBR,0.1,,,,
1990,2014,GEO,0.1,,,,
1990,2014,GGY,-1,,,,
1990,2014,GHA,0.4,,,,
1990,2014,GIN,1.1,,,,
1990,2014,GLP,-0.1,,,,
1990,2014,GMB,-0.3,,,,
1990,2014,GNB,0.7,,,,
1990,2014,GNQ,2.1,,,,
1990,2014,GRC,0,,,,
1990,2014,GRD,0,,,,
1990,2014,GRL,0.1,,,,
1990,2014,GTM,0,,,,
1990,2014,GUF,0.5,,,,
1990,2014,GUM,0,,,,
1990,2014,GUY,0.7,,,,
1990,2014,HKG,-0.2,,,,
1990,2014,HND,0.1,,,,
1990,2014,HRV,-0.1,,,,
1990,2014,HTI,0,,,,
1990,2014,HUN,-0.1,,,,
1990,2014,IDN,-0.3,,,,
1990,2014,IMN,-0.5,,,,
1990,2014,IND,1,,,,
1990,2014,IRL,0,,,,
1990,2014,IRN,0.5,,,,
1990,2014,IRQ,1.1,,,,
1990,2014,ISL,-0.1,,,,
1990,2014,ISR,1,,,,
1990,2014,ITA,0.3,,,,
1990,2014,JAM,0,,,,
1990,2014,JEY,-0.1,,,,
1990,2014,JOR,0.7,,,,
1990,2014,JPN,0.1,,,,
