year,year_max,geo,value
1979,2019,WLD,2
1979,2019,AFG,2.9
1979,2019,AGO,1.9
1979,2019,ALA,1.8
1979,2019,ALB,1.7
1979,2019,AND,1.6
1979,2019,ARE,4.1
1979,2019,ARG,2.4
1979,2019,ARM,1.2
1979,2019,ATF,5
1979,2019,ATG,1.9
1979,2019,AUS,4
1979,2019,AUT,1.2
1979,2019,AZE,1.4
1979,2019,BDI,1.2
1979,2019,BEL,1.7
1979,2019,BEN,1.3
1979,2019,BES,1.5
1979,2019,BFA,2.2
1979,2019,BGD,0.9
1979,2019,BGR,1.5
1979,2019,BHR,3.7
1979,2019,BHS,2.2
1979,2019,BIH,1.7
1979,2019,BLR,2.3
1979,2019,BLZ,1.4
1979,2019,BOL,1.6
1979,2019,BRA,1.9
1979,2019,BRB,1.2
1979,2019,BRN,1.8
1979,2019,BTN,0.9
1979,2019,BWA,4.3
1979,2019,CAF,1.4
1979,2019,CAN,1.7
1979,2019,CHE,1.3
1979,2019,CHL,1.8
1979,2019,CHN,2
1979,2019,CIV,1.1
1979,2019,CMR,1.3
1979,2019,COD,1.2
1979,2019,COG,1.4
1979,2019,COL,0.9
1979,2019,COM,2.1
1979,2019,CRI,1.3
1979,2019,CUB,2.1
1979,2019,CYM,3.4
1979,2019,CYP,2.2
1979,2019,CZE,1.6
1979,2019,DEU,1.5
1979,2019,DJI,1.9
1979,2019,DMA,1.9
1979,2019,DNK,1.7
1979,2019,DOM,1.7
1979,2019,DZA,2.9
1979,2019,ECU,1.8
1979,2019,EGY,2.2
1979,2019,ERI,2.5
1979,2019,ESH,3.8
1979,2019,ESP,2.4
1979,2019,EST,2
1979,2019,ETH,1.6
1979,2019,FIN,1.5
1979,2019,FJI,3.2
1979,2019,FRA,1.8
1979,2019,FRO,0.6
1979,2019,GAB,1.1
1979,2019,GBR,1.2
1979,2019,GEO,1
1979,2019,GGY,1.2
1979,2019,GHA,1.3
1979,2019,GIN,1.1
1979,2019,GLP,1.9
1979,2019,GMB,1.7
1979,2019,GNB,1
1979,2019,GNQ,1.3
1979,2019,GRC,1.5
1979,2019,GRD,1.2
1979,2019,GRL,1.6
1979,2019,GTM,1.5
1979,2019,GUF,1.3
1979,2019,GUY,1.6
1979,2019,HKG,1.4
1979,2019,HND,1.9
1979,2019,HRV,1.5
1979,2019,HTI,1.8
1979,2019,HUN,1.5
1979,2019,IDN,1.4
1979,2019,IMN,0.7
1979,2019,IND,1.9
1979,2019,IRL,1.4
1979,2019,IRN,2.6
1979,2019,IRQ,2.6
1979,2019,ISL,1.4
1979,2019,ISR,2.6
1979,2019,ITA,2.1
1979,2019,JAM,2.5
1979,2019,JEY,1.2
1979,2019,JOR,3.1
