year,geo,disagg,value,,,,
2016,WLD,Total,16.9,,,,
2017,WLD,Earmarking,14.976,,,,
2017,WLD,Tax exemptions,2.065,,,,
2017,WLD,Direct transfers,1.009,,,,
2017,WLD,Total,18.05,,,,
2018,WLD,Earmarking,24.342,,,,
2018,WLD,Tax exemptions,2.682,,,,
2018,WLD,Direct transfers,1.234,,,,
2018,WLD,Total,28.25,,,,
2019,WLD,Earmarking,22.606731,,,,
2019,WLD,Direct transfers,2.693818,,,,
2019,WLD,Tax exemptions,2.605137,,,,
2019,WLD,Total,27.91,,,,
2020,WLD,Earmarking,29.404516,,,,
2020,WLD,Direct transfers,4.128893,,,,
2020,WLD,Tax exemptions,2.602057,,,,
2020,WLD,Total,36.14,,,,
2021,WLD,Tax exemptions,9.283971,,,,
2021,WLD,Direct transfers,9.358362,,,,
2021,WLD,Earmarking,47.572686,,,,
2021,WLD,Total,66.21,,,,
2019,ARG,Earmarking,0.237178,,,,
2020,ARG,Total,0.237178,,,,
2020,ARG,Earmarking,0.095034,,,,
2021,ARG,Total,0.095034,,,,
2021,ARG,Earmarking,0.205477,,,,
2022,ARG,Total,0.205477,,,,
2019,CAN,Tax exemptions,0.196811,,,,
2019,CAN,Direct transfers,1.771297,,,,
2019,CAN,Total,1.968108,,,,
2020,CAN,Tax exemptions,0.342853,,,,
2020,CAN,Direct transfers,3.085677,,,,
2020,CAN,Total,3.42853,,,,
2021,CAN,Tax exemptions,0.495787,,,,
2021,CAN,Direct transfers,4.462085,,,,
2021,CAN,Total,4.957872,,,,
2017,CHE,Direct transfers,0.747,,,,
2017,CHE,Earmarking,0.368,,,,
2017,CHE,Total,1.115,,,,
2018,CHE,Direct transfers,0.822,,,,
2018,CHE,Earmarking,0.405,,,,
2018,CHE,Total,1.227,,,,
2019,CHE,Direct transfers,0.808817,,,,
2019,CHE,Earmarking,0.398372,,,,
2019,CHE,Total,1.207189,,,,
2020,CHE,Direct transfers,0.910164,,,,
2020,CHE,Earmarking,0.44829,,,,
2020,CHE,Total,1.358454,,,,
2021,CHE,Direct transfers,0.961858,,,,
2021,CHE,Earmarking,0.473751,,,,
2021,CHE,Total,1.435609,,,,
2017,COL,Earmarking,0.171,,,,
2019,COL,Earmarking,0.144855,,,,
2020,COL,Earmarking,0.079236,,,,
2021,COL,Earmarking,0.087568,,,,
2021,DEU,Tax exemptions,5.692131,,,,
2021,DEU,Earmarking,3.145063,,,,
2021,DEU,Total,8.837194,,,,
2017,DNK,Tax exemptions,0.185,,,,
2017,DNK,Earmarking,0.033,,,,
2019,DNK,Tax exemptions,0.242915,,,,
2019,DNK,Earmarking,0.043185,,,,
2019,DNK,Total,0.2861,,,,
2020,DNK,Tax exemptions,0.232425,,,,
2020,DNK,Earmarking,0.04132,,,,
2020,DNK,Total,0.273745,,,,
2021,DNK,Tax exemptions,0.243455,,,,
2021,DNK,Earmarking,0.043281,,,,
2021,DNK,Total,0.286736,,,,
2019,EST,Earmarking,0.003,,,,
2020,EST,Earmarking,0.003,,,,
2021,EST,Earmarking,0.002,,,,
2017,EUU,Earmarking,5.424,,,,
2018,EUU,Earmarking,13.403,,,,
2019,EUU,Earmarking,14.016,,,,
2020,EUU,Earmarking,18.294,,,,
2021,EUU,Earmarking,32.640,,,,
2017,FIN,Tax exemptions,0.654,,,,
2018,FIN,Tax exemptions,0.884,,,,
2019,FIN,Tax exemptions,0.919,,,,
2020,FIN,Tax exemptions,0.875,,,,
2021,FIN,Tax exemptions,0.842,,,,
2017,FRA,Earmarking,1.723,,,,
2018,FRA,Earmarking,2.582,,,,
2021,FRA,Tax exemptions,0.547,,,,
2021,FRA,Direct transfers,3.628,,,,
2017,GBR,Tax exemptions,0.189,,,,
2018,GBR,Tax exemptions,0.185,,,,
2019,GBR,Tax exemptions,0.173,,,,
2020,GBR,Tax exemptions,0.126,,,,
2017,IRL,Earmarking,0.075,,,,
2019,IRL,Earmarking,0.068,,,,
2020,IRL,Earmarking,0.163,,,,
2021,IRL,Earmarking,0.291,,,,
2017,JPN,Earmarking,2.471,,,,
2018,JPN,Earmarking,2.376,,,,
2019,JPN,Earmarking,2.37703,,,,
2020,JPN,Earmarking,6.183587,,,,
2021,JPN,Earmarking,2.352386,,,,
2019,KOR,Earmarking,0.16891,,,,
2020,KOR,Earmarking,0.121339,,,,
2021,KOR,Earmarking,0.276994,,,,
2019,LIE,Tax exemptions,0.004763,,,,
2019,LIE,Direct transfers,0.002097,,,,
2019,LIE,Total,0.00686,,,,
2020,LIE,Direct transfers,0.006711,,,,
2020,LIE,Earmarking,0.000746,,,,
2020,LIE,Total,0.007457,,,,
2021,LIE,Direct transfers,0.000327,,,,
2021,LIE,Earmarking,0.007728,,,,
2021,LIE,Total,0.008055,,,,
2021,LUX,Tax exemptions,0.063615,,,,
2021,LUX,Direct transfers,0.063615,,,,
2021,LUX,Earmarking,0.127814,,,,
2021,LUX,Total,0.255044,,,,
2019,NOR,Earmarking,0.62986,,,,
2020,NOR,Earmarking,0.59703,,,,
2021,NOR,Earmarking,0.674757,,,,
2019,POL,Earmarking,0.005155,,,,
2020,POL,Earmarking,0.005058,,,,
2021,POL,Earmarking,0.007292,,,,
2020,SGP,Earmarking,0.15121,,,,
2021,SGP,Earmarking,0.146911,,,,
2019,SVN,Tax exemptions,0.058481,,,,
2019,SVN,Direct transfers,0.045949,,,,
2019,SVN,Total,0.10443,,,,
2019,UKR,Earmarking,0.00136,,,,
2020,UKR,Earmarking,0.010358,,,,
2021,UKR,Earmarking,0.011703,,,,
