year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
1970,AFG,343,,,,
1971,AFG,344,,,,
1972,AFG,320,,,,
1973,AFG,292,,,,
1974,AFG,293,,,,
1975,AFG,295,,,,
1976,AFG,302,,,,
1977,AFG,307,,,,
1978,AFG,322,,,,
1979,AFG,326,,,,
1980,AFG,328,,,,
1981,AFG,330,,,,
1982,AFG,342,,,,
1983,AFG,380,,,,
1984,AFG,409,,,,
1985,AFG,439,,,,
1986,AFG,492,,,,
1987,AFG,431,,,,
1988,AFG,409,,,,
1989,AFG,392,,,,
1990,AFG,383,,,,
1991,AFG,341,,,,
1992,AFG,353,,,,
1993,AFG,268,,,,
1994,AFG,202,,,,
1995,AFG,252,,,,
1996,AFG,253,,,,
1997,AFG,222,,,,
1998,AFG,202,,,,
1999,AFG,192,,,,
2000,AFG,219,,,,
2001,AFG,216,,,,
2002,AFG,250,,,,
2003,AFG,271,,,,
2004,AFG,297,,,,
2005,AFG,270,,,,
2006,AFG,312,,,,
2007,AFG,354,,,,
2008,AFG,362,,,,
2009,AFG,322,,,,
2010,AFG,315,,,,
2011,AFG,340,,,,
2012,AFG,355,,,,
2013,AFG,364,,,,
2014,AFG,375,,,,
2015,AFG,375,,,,
2016,AFG,379,,,,
2017,AFG,431,,,,
2018,AFG,422,,,,
2019,AFG,443,,,,
1970,ALB,240,,,,
1971,ALB,246,,,,
1972,ALB,244,,,,
1973,ALB,234,,,,
1974,ALB,244,,,,
1975,ALB,227,,,,
1976,ALB,206,,,,
1977,ALB,203,,,,
1978,ALB,197,,,,
1979,ALB,213,,,,
1980,ALB,217,,,,
1981,ALB,210,,,,
1982,ALB,227,,,,
1983,ALB,221,,,,
1984,ALB,210,,,,
1985,ALB,216,,,,
1986,ALB,223,,,,
1987,ALB,218,,,,
1988,ALB,217,,,,
1989,ALB,226,,,,
1990,ALB,200,,,,
1991,ALB,198,,,,
1992,ALB,277,,,,
1993,ALB,297,,,,
1994,ALB,292,,,,
1995,ALB,330,,,,
1996,ALB,303,,,,
1997,ALB,284,,,,
1998,ALB,287,,,,
1999,ALB,296,,,,
2000,ALB,275,,,,
2001,ALB,274,,,,
2002,ALB,288,,,,
2003,ALB,268,,,,
2004,ALB,227,,,,
2005,ALB,260,,,,
2006,ALB,285,,,,
2007,ALB,334,,,,
2008,ALB,325,,,,
2009,ALB,283,,,,
2010,ALB,390,,,,
2011,ALB,386,,,,
2012,ALB,398,,,,
2013,ALB,466,,,,
2014,ALB,377,,,,
2015,ALB,415,,,,
2016,ALB,352,,,,
2017,ALB,378,,,,
2018,ALB,400,,,,
2019,ALB,410,,,,
1970,DZA,1055,,,,
1971,DZA,829,,,,
1972,DZA,907,,,,
1973,DZA,943,,,,
1974,DZA,836,,,,
1975,DZA,778,,,,
1976,DZA,781,,,,
1977,DZA,790,,,,
1978,DZA,729,,,,
1979,DZA,784,,,,
1980,DZA,668,,,,
1981,DZA,758,,,,
1982,DZA,699,,,,
1983,DZA,644,,,,
1984,DZA,607,,,,
1985,DZA,627,,,,
1986,DZA,535,,,,
1987,DZA,528,,,,
1988,DZA,553,,,,
1989,DZA,538,,,,
1990,DZA,596,,,,
1991,DZA,586,,,,
1992,DZA,598,,,,
1993,DZA,596,,,,
1994,DZA,588,,,,
1995,DZA,569,,,,
1996,DZA,594,,,,
1997,DZA,682,,,,
1998,DZA,641,,,,
1999,DZA,659,,,,
2000,DZA,678,,,,
2001,DZA,693,,,,
2002,DZA,646,,,,
2003,DZA,615,,,,
2004,DZA,639,,,,
2005,DZA,603,,,,
2006,DZA,567,,,,
2007,DZA,553,,,,
2008,DZA,468,,,,
2009,DZA,454,,,,
2010,DZA,489,,,,
2011,DZA,508,,,,
2012,DZA,503,,,,
2013,DZA,527,,,,
2014,DZA,526,,,,
2015,DZA,480,,,,
2016,DZA,480,,,,
2017,DZA,496,,,,
2018,DZA,473,,,,
2019,DZA,471,,,,
1990,AND,12854,,,,
1991,AND,13168,,,,
1992,AND,12465,,,,
1993,AND,12180,,,,
1994,AND,12614,,,,
1995,AND,1853,,,,
1996,AND,1929,,,,
1997,AND,2371,,,,
1998,AND,1926,,,,
1999,AND,1544,,,,
2000,AND,1526,,,,
2001,AND,1511,,,,
2002,AND,1497,,,,
2003,AND,1618,,,,
2004,AND,1511,,,,
2005,AND,7783,,,,
2006,AND,1966,,,,
2007,AND,2200,,,,
2008,AND,2461,,,,
2009,AND,3101,,,,
2010,AND,3563,,,,
2011,AND,3325,,,,
2012,AND,5407,,,,
2013,AND,4578,,,,
2014,AND,3117,,,,
2015,AND,2980,,,,
2016,AND,3515,,,,
2017,AND,3382,,,,
2018,AND,1186,,,,
2019,AND,1158,,,,
1970,AGO,901,,,,
1971,AGO,913,,,,
1972,AGO,969,,,,
1973,AGO,1045,,,,
1974,AGO,1086,,,,
1975,AGO,1010,,,,
1976,AGO,1202,,,,
1977,AGO,1237,,,,
1978,AGO,1304,,,,
1979,AGO,1262,,,,
1980,AGO,1217,,,,
1981,AGO,1177,,,,
1982,AGO,1202,,,,
1983,AGO,1290,,,,
1984,AGO,1296,,,,
1985,AGO,1364,,,,
1986,AGO,1508,,,,
1987,AGO,1420,,,,
