year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2020,FIN,Total,0.42,,,,
2010,FRA,Total,1.64,,,,
2015,FRA,Total,1.80,,,,
2020,FRA,Total,1.73,,,,
2010,GAB,Total,-0.15,,,,
2015,GAB,Total,0.35,,,,
2020,GAB,Total,0.19,,,,
2010,GBR,Total,0.67,,,,
2015,GBR,Total,0.76,,,,
2020,GBR,Total,0.48,,,,
2010,GEO,Total,0.48,,,,
2015,GEO,Total,0.30,,,,
2020,GEO,Total,0.55,,,,
2010,GHA,Total,0.63,,,,
2015,GHA,Total,0.60,,,,
2020,GHA,Total,0.50,,,,
2010,GIN,Total,0.46,,,,
2015,GIN,Total,-0.30,,,,
2020,GIN,Total,-0.11,,,,
2010,GLP,Total,0.20,,,,
2015,GLP,Total,0.24,,,,
2020,GLP,Total,0.24,,,,
2010,GNB,Total,0.05,,,,
2015,GNB,Total,-0.15,,,,
2020,GNB,Total,-0.33,,,,
2010,GRC,Total,1.04,,,,
2015,GRC,Total,1.07,,,,
2020,GRC,Total,1.10,,,,
2010,GTM,Total,0.40,,,,
2015,GTM,Total,0.29,,,,
2020,GTM,Total,0.29,,,,
2010,GUF,Total,0.31,,,,
2015,GUF,Total,0.17,,,,
2020,GUF,Total,0.24,,,,
2010,GUY,Total,-0.01,,,,
2015,GUY,Total,0.29,,,,
2020,GUY,Total,0.11,,,,
2010,HKG,Total,0.44,,,,
2015,HKG,Total,0.64,,,,
2020,HKG,Total,0.66,,,,
2010,HND,Total,0.17,,,,
2015,HND,Total,0.14,,,,
2020,HND,Total,0.10,,,,
2010,HRV,Total,1.46,,,,
2015,HRV,Total,1.47,,,,
2020,HRV,Total,1.49,,,,
2010,HTI,Total,-0.04,,,,
2015,HTI,Total,0.03,,,,
2020,HTI,Total,0.04,,,,
2010,HUN,Total,1.36,,,,
2015,HUN,Total,2.02,,,,
2020,HUN,Total,1.53,,,,
2010,IDN,Total,-0.07,,,,
2015,IDN,Total,-0.14,,,,
2020,IDN,Total,-0.12,,,,
2010,IND,Total,0.50,,,,
2015,IND,Total,0.57,,,,
2020,IND,Total,0.55,,,,
2010,IRL,Total,0.45,,,,
2015,IRL,Total,0.42,,,,
2020,IRL,Total,0.45,,,,
2010,IRN,Total,2.05,,,,
2015,IRN,Total,2.14,,,,
2020,IRN,Total,1.90,,,,
2010,IRQ,Total,1.77,,,,
2015,IRQ,Total,1.84,,,,
2020,IRQ,Total,2.33,,,,
2010,ISL,Total,0.03,,,,
2015,ISL,Total,-0.03,,,,
2020,ISL,Total,-0.05,,,,
2010,ISR,Total,0.78,,,,
2015,ISR,Total,0.93,,,,
2020,ISR,Total,0.95,,,,
2010,ITA,Total,1.53,,,,
2015,ITA,Total,1.56,,,,
2020,ITA,Total,1.56,,,,
2010,JAM,Total,0.16,,,,
2015,JAM,Total,0.23,,,,
2020,JAM,Total,0.05,,,,
2010,JOR,Total,1.26,,,,
2015,JOR,Total,1.29,,,,
2020,JOR,Total,1.47,,,,
2010,JPN,Total,1.49,,,,
2015,JPN,Total,1.29,,,,
2020,JPN,Total,0.99,,,,
2010,KAZ,Total,1.16,,,,
2015,KAZ,Total,1.25,,,,
2020,KAZ,Total,1.41,,,,
2010,KEN,Total,0.19,,,,
2015,KEN,Total,0.42,,,,
2020,KEN,Total,0.35,,,,
2010,KGZ,Total,2.05,,,,
2015,KGZ,Total,2.06,,,,
2020,KGZ,Total,2.30,,,,
2010,KHM,Total,0.04,,,,
2015,KHM,Total,-0.09,,,,
2020,KHM,Total,-0.24,,,,
