year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2020,WLD,Total,56,,,,
2020,ABW,Total,35.2,,,,
2020,AFG,Total,34.4,,,,
2020,AGO,Total,51.8,,,,
2020,AIA,Total,40.4,,,,
2020,ALA,Total,27.4,,,,
2020,ALB,Total,61.5,,,,
2020,AND,Total,61.8,,,,
2020,ANT,Total,12.0,,,,
2020,ARE,Total,42.7,,,,
2020,ARG,Total,56.9,,,,
2020,ARM,Total,57.7,,,,
2020,ASM,Total,35.8,,,,
2020,ATA,Total,2.8,,,,
2020,ATF,Total,13.9,,,,
2020,ATG,Total,64.5,,,,
2020,AUS,Total,64.0,,,,
2020,AUT,Total,63.2,,,,
2020,AZE,Total,47.2,,,,
2020,BDI,Total,50.9,,,,
2020,BEL,Total,64.3,,,,
2020,BEN,Total,50.4,,,,
2020,BES,Total,56.0,,,,
2020,BFA,Total,47.8,,,,
2020,BGD,Total,33.9,,,,
2020,BGR,Total,62.8,,,,
2020,BHR,Total,39.3,,,,
2020,BHS,Total,56.8,,,,
2020,BIH,Total,55.0,,,,
2020,BLM,Total,50.0,,,,
2020,BLR,Total,56.0,,,,
2020,BLZ,Total,66.2,,,,
2020,BMU,Total,48.8,,,,
2020,BOL,Total,65.6,,,,
2020,BRA,Total,70.8,,,,
2020,BRB,Total,57.9,,,,
2020,BRN,Total,50.5,,,,
2020,BTN,Total,54.4,,,,
2020,BVT,Total,0.0,,,,
2020,BWA,Total,54.2,,,,
2020,CAF,Total,45.8,,,,
2020,CAN,Total,63.9,,,,
2020,CCK,Total,10.0,,,,
2020,CHE,Total,61.9,,,,
2020,CHL,Total,62.4,,,,
2020,CHN,Total,52.1,,,,
2020,CIV,Total,44.9,,,,
2020,CMR,Total,57.0,,,,
2020,COD,Total,56.2,,,,
2020,COG,Total,51.6,,,,
2020,COK,Total,29.6,,,,
2020,COL,Total,66.6,,,,
2020,COM,Total,46.6,,,,
2020,CPV,Total,57.1,,,,
2020,CRI,Total,66.1,,,,
2020,CUB,Total,62.2,,,,
2020,CUW,Total,44.2,,,,
2020,CXR,Total,24.1,,,,
2020,CYM,Total,43.6,,,,
2020,CYP,Total,63.9,,,,
2020,CZE,Total,63.2,,,,
2020,DEU,Total,65.5,,,,
2020,DJI,Total,35.2,,,,
2020,DMA,Total,64.6,,,,
2020,DNK,Total,60.2,,,,
2020,DOM,Total,61.9,,,,
2020,DZA,Total,49.2,,,,
2020,ECU,Total,66.1,,,,
2020,EGY,Total,47.6,,,,
2020,ERI,Total,45.4,,,,
2020,ESH,Total,12.1,,,,
2020,ESP,Total,70.5,,,,
2020,EST,Total,57.0,,,,
2020,ETH,Total,55.2,,,,
2020,FIN,Total,59.8,,,,
2020,FJI,Total,47.9,,,,
2020,FLK,Total,42.4,,,,
2020,FRA,Total,68.7,,,,
2020,FRO,Total,34.4,,,,
2020,FSM,Total,33.4,,,,
2020,GAB,Total,59.2,,,,
2020,GBR,Total,66.2,,,,
2020,GEO,Total,57.6,,,,
2020,GGY,Total,22.4,,,,
2020,GHA,Total,51.4,,,,
2020,GIB,Total,37.3,,,,
2020,GIN,Total,49.9,,,,
2020,GLP,Total,38.1,,,,
2020,GMB,Total,44.4,,,,
2020,GNB,Total,47.9,,,,
2020,GNQ,Total,56.4,,,,
2020,GRC,Total,63.8,,,,
2020,GRD,Total,66.9,,,,
2020,GRL,Total,40.1,,,,
2020,GTM,Total,61.3,,,,
2020,GUF,Total,48.4,,,,
2020,GUM,Total,41.8,,,,
2020,GUY,Total,59.4,,,,
2020,HKG,Total,63.8,,,,
2020,HMD,Total,11.0,,,,
2020,HND,Total,56.6,,,,
2020,HRV,Total,60.8,,,,
2020,HTI,Total,52.7,,,,
2020,HUN,Total,61.9,,,,
2020,IDN,Total,49.4,,,,
2020,IMN,Total,21.3,,,,
2020,IND,Total,54.9,,,,
2020,IOT,Total,9.5,,,,
2020,IRL,Total,61.9,,,,
