year,year_max,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2000,2015,ABW,45.42,,,,
2015,2019,ABW,88.36,,,,
2019,2023,ABW,58.66,,,,
2000,2015,AFG,19.68,,,,
2015,2019,AFG,55.18,,,,
2019,2023,AFG,70.45,,,,
2000,2015,AGO,42.29,,,,
2015,2019,AGO,54.22,,,,
2019,2023,AGO,52.05,,,,
2000,2015,AIA,22.12,,,,
2015,2019,AIA,78.99,,,,
2019,2023,AIA,74.72,,,,
2000,2015,ALB,12.39,,,,
2015,2019,ALB,31.19,,,,
2019,2023,ALB,33.83,,,,
2000,2015,AND,5.47,,,,
2015,2019,AND,9.96,,,,
2019,2023,AND,33.12,,,,
2000,2015,ARE,38.99,,,,
2015,2019,ARE,75.01,,,,
2019,2023,ARE,59.26,,,,
2000,2015,ARG,34.41,,,,
2015,2019,ARG,38.52,,,,
2019,2023,ARG,43.58,,,,
2000,2015,ARM,40.43,,,,
2015,2019,ARM,68.45,,,,
2019,2023,ARM,87.32,,,,
2000,2015,ASM,30.19,,,,
2015,2019,ASM,46.9,,,,
2019,2023,ASM,44.96,,,,
2000,2015,ATG,26.25,,,,
2015,2019,ATG,70.29,,,,
2019,2023,ATG,74.32,,,,
2000,2015,AUS,48.29,,,,
2015,2019,AUS,73.48,,,,
2019,2023,AUS,55.85,,,,
2000,2015,AUT,21.56,,,,
2015,2019,AUT,39.65,,,,
2019,2023,AUT,42.36,,,,
2000,2015,AZE,48.79,,,,
2015,2019,AZE,63.52,,,,
2019,2023,AZE,79.28,,,,
2000,2015,BDI,50.51,,,,
2015,2019,BDI,50.96,,,,
2019,2023,BDI,53.59,,,,
2000,2015,BEL,17.67,,,,
2015,2019,BEL,44.89,,,,
2019,2023,BEL,29.54,,,,
2000,2015,BEN,54.73,,,,
2015,2019,BEN,65.51,,,,
2019,2023,BEN,63.47,,,,
2000,2015,BES,62.11,,,,
2015,2019,BES,86.79,,,,
2019,2023,BES,68.24,,,,
2000,2015,BFA,51.73,,,,
2015,2019,BFA,63.55,,,,
2019,2023,BFA,54.52,,,,
2000,2015,BGD,14.66,,,,
2015,2019,BGD,14.2,,,,
2019,2023,BGD,12.21,,,,
2000,2015,BGR,18.36,,,,
2015,2019,BGR,40.74,,,,
2019,2023,BGR,65.37,,,,
2000,2015,BHR,17.2,,,,
2015,2019,BHR,19.67,,,,
2019,2023,BHR,20.24,,,,
2000,2015,BHS,35.7,,,,
2015,2019,BHS,40.35,,,,
2019,2023,BHS,41.5,,,,
2000,2015,BIH,19.73,,,,
2015,2019,BIH,39.38,,,,
2019,2023,BIH,63.12,,,,
2000,2015,BLM,58.38,,,,
2015,2019,BLM,78.44,,,,
2019,2023,BLM,78.14,,,,
2000,2015,BLR,41.49,,,,
2015,2019,BLR,57.21,,,,
2019,2023,BLR,57.8,,,,
2000,2015,BLZ,34.22,,,,
2015,2019,BLZ,46.19,,,,
2019,2023,BLZ,37.56,,,,
2000,2015,BMU,26.46,,,,
2015,2019,BMU,41.17,,,,
2019,2023,BMU,40.45,,,,
2000,2015,BOL,19.07,,,,
2015,2019,BOL,34.37,,,,
2019,2023,BOL,37.39,,,,
2000,2015,BRA,35.81,,,,
2015,2019,BRA,46.56,,,,
2019,2023,BRA,46.18,,,,
2000,2015,BRB,53.86,,,,
2015,2019,BRB,63.6,,,,
2019,2023,BRB,58.01,,,,
2000,2015,BRN,29.56,,,,
2015,2019,BRN,32.66,,,,
2019,2023,BRN,26.53,,,,
2000,2015,BTN,19.89,,,,
2015,2019,BTN,28.11,,,,
2019,2023,BTN,17.28,,,,
2000,2015,BWA,49.36,,,,
2015,2019,BWA,66.89,,,,
2019,2023,BWA,49.67,,,,
2000,2015,CAF,6.16,,,,
2015,2019,CAF,14.42,,,,
2019,2023,CAF,10.28,,,,
2000,2015,CAN,20.29,,,,
2015,2019,CAN,35.97,,,,
2019,2023,CAN,38.36,,,,
2000,2015,CHE,20.12,,,,
2015,2019,CHE,35.24,,,,
2019,2023,CHE,39.35,,,,
2000,2015,CHL,22.87,,,,
2015,2019,CHL,30.57,,,,
2019,2023,CHL,34.21,,,,
2000,2015,CHN,15.46,,,,
2015,2019,CHN,22.3,,,,
2019,2023,CHN,22.84,,,,
2000,2015,CIV,27.72,,,,
2015,2019,CIV,43.72,,,,
2019,2023,CIV,35.88,,,,
2000,2015,CMR,18.65,,,,
2015,2019,CMR,29.89,,,,
2019,2023,CMR,23.73,,,,
2000,2015,COD,24.3,,,,
2015,2019,COD,31.5,,,,
2019,2023,COD,26.9,,,,
2000,2015,COG,19.33,,,,
2015,2019,COG,22.94,,,,
2019,2023,COG,19.42,,,,
2000,2015,COK,36.18,,,,
2015,2019,COK,45.93,,,,
2019,2023,COK,45.31,,,,
2000,2015,COL,30.58,,,,
2015,2019,COL,41.83,,,,
2019,2023,COL,37.02,,,,
2000,2015,COM,36.4,,,,
2015,2019,COM,49.14,,,,
2019,2023,COM,47.61,,,,
2000,2015,CPV,7.25,,,,
2015,2019,CPV,52.83,,,,
2019,2023,CPV,43.68,,,,
2000,2015,CRI,36.32,,,,
2015,2019,CRI,47.69,,,,
2019,2023,CRI,35.93,,,,
2000,2015,CUB,19.32,,,,
2015,2019,CUB,21.56,,,,
2019,2023,CUB,21.8,,,,
2000,2015,CUW,39.8,,,,
2015,2019,CUW,87.95,,,,
2019,2023,CUW,49.24,,,,
2000,2015,CYM,28.17,,,,
2015,2019,CYM,26.74,,,,
2019,2023,CYM,36.54,,,,
2000,2015,CYP,38.76,,,,
2015,2019,CYP,39.11,,,,
2019,2023,CYP,30.78,,,,
2000,2015,CZE,14.87,,,,
2015,2019,CZE,39.52,,,,
2019,2023,CZE,40.83,,,,
2000,2015,DEU,12.97,,,,
2015,2019,DEU,44.06,,,,
2019,2023,DEU,35.15,,,,
2000,2015,DJI,20.41,,,,
2015,2019,DJI,21.08,,,,
2019,2023,DJI,17.45,,,,
2000,2015,DMA,30.9,,,,
2015,2019,DMA,75.69,,,,
2019,2023,DMA,42.87,,,,
2000,2015,DNK,22.24,,,,
2015,2019,DNK,38.4,,,,
2019,2023,DNK,38.21,,,,
2000,2015,DOM,47.14,,,,
2015,2019,DOM,58.63,,,,
2019,2023,DOM,55.89,,,,
2000,2015,DZA,2.64,,,,
2015,2019,DZA,6.62,,,,
2019,2023,DZA,10.36,,,,
2000,2015,ECU,25.48,,,,
2015,2019,ECU,34.22,,,,
2019,2023,ECU,33.63,,,,
2000,2015,EGY,2.12,,,,
2015,2019,EGY,2.71,,,,
2019,2023,EGY,2.62,,,,
2000,2015,ERI,37.39,,,,
2015,2019,ERI,38.66,,,,
2019,2023,ERI,16.29,,,,
2000,2015,ESP,19.96,,,,
2015,2019,ESP,42.98,,,,
2019,2023,ESP,35.45,,,,
2000,2015,EST,28.71,,,,
2015,2019,EST,47.63,,,,
2019,2023,EST,48.94,,,,
2000,2015,ETH,33.84,,,,
2015,2019,ETH,46.79,,,,
2019,2023,ETH,35.19,,,,
2000,2015,FIN,18.93,,,,
2015,2019,FIN,30.66,,,,
2019,2023,FIN,24.36,,,,
2000,2015,FJI,25.87,,,,
2015,2019,FJI,33.21,,,,
2019,2023,FJI,29.63,,,,
2000,2015,FLK,33.54,,,,
2015,2019,FLK,53.53,,,,
2019,2023,FLK,73.97,,,,
2000,2015,FRA,14.12,,,,
2015,2019,FRA,38.39,,,,
2019,2023,FRA,27.21,,,,
2000,2015,FRO,28.78,,,,
2015,2019,FRO,37.33,,,,
2019,2023,FRO,45.45,,,,
2000,2015,FSM,22.18,,,,
2015,2019,FSM,30.39,,,,
2019,2023,FSM,29.23,,,,
2000,2015,GAB,27.01,,,,
2015,2019,GAB,30.87,,,,
2019,2023,GAB,29.8,,,,
2000,2015,GBR,23.49,,,,
2015,2019,GBR,43.76,,,,
2019,2023,GBR,35.53,,,,
2000,2015,GEO,42.33,,,,
2015,2019,GEO,56.74,,,,
2019,2023,GEO,53.81,,,,
2000,2015,GGY,25.22,,,,
2015,2019,GGY,40.89,,,,
2019,2023,GGY,37.79,,,,
2000,2015,GHA,43.78,,,,
2015,2019,GHA,61.94,,,,
2019,2023,GHA,55.93,,,,
2000,2015,GIB,40.16,,,,
2015,2019,GIB,50.82,,,,
2019,2023,GIB,59.84,,,,
2000,2015,GIN,34.01,,,,
2015,2019,GIN,64.6,,,,
2019,2023,GIN,41.2,,,,
2000,2015,GLP,39.48,,,,
2015,2019,GLP,57.4,,,,
2019,2023,GLP,47.68,,,,
2000,2015,GMB,37.96,,,,
2015,2019,GMB,70.2,,,,
2019,2023,GMB,45.26,,,,
2000,2015,GNB,27.98,,,,
2015,2019,GNB,65.14,,,,
2019,2023,GNB,31.03,,,,
2000,2015,GNQ,26.91,,,,
2015,2019,GNQ,31.62,,,,
2019,2023,GNQ,22.54,,,,
2000,2015,GRC,9.25,,,,
2015,2019,GRC,19.02,,,,
2019,2023,GRC,24.73,,,,
2000,2015,GRD,20.42,,,,
2015,2019,GRD,39.96,,,,
2019,2023,GRD,36.46,,,,
2000,2015,GRL,0.01,,,,
2015,2019,GRL,0.01,,,,
2019,2023,GRL,0.01,,,,
2000,2015,GTM,32.87,,,,
2015,2019,GTM,46.69,,,,
2019,2023,GTM,32.77,,,,
