year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2011,WLD,Geothermal,0.14,,,,
2012,WLD,Geothermal,0.37,,,,
2013,WLD,Geothermal,0.24,,,,
2014,WLD,Geothermal,0.44,,,,
2015,WLD,Geothermal,0.66,,,,
2016,WLD,Geothermal,0.32,,,,
2017,WLD,Geothermal,0.62,,,,
2018,WLD,Geothermal,0.45,,,,
2019,WLD,Geothermal,0.62,,,,
2020,WLD,Geothermal,0.34,,,,
2021,WLD,Geothermal,1.52,,,,
2011,WLD,Bioenergy,6.24,,,,
2012,WLD,Bioenergy,5.09,,,,
2013,WLD,Bioenergy,7.49,,,,
2014,WLD,Bioenergy,6.07,,,,
2015,WLD,Bioenergy,5.77,,,,
2016,WLD,Bioenergy,8.95,,,,
2017,WLD,Bioenergy,5.6,,,,
2018,WLD,Bioenergy,7.18,,,,
2019,WLD,Bioenergy,5.82,,,,
2020,WLD,Bioenergy,9.06,,,,
2021,WLD,Bioenergy,10.32,,,,
2011,WLD,Solar,32.32,,,,
2012,WLD,Solar,30.39,,,,
2013,WLD,Solar,36.86,,,,
2014,WLD,Solar,39.05,,,,
2015,WLD,Solar,47.84,,,,
2016,WLD,Solar,72.15,,,,
2017,WLD,Solar,95.07,,,,
2018,WLD,Solar,93.53,,,,
2019,WLD,Solar,102.2,,,,
2020,WLD,Solar,126.21,,,,
2021,WLD,Solar,137.58,,,,
2011,WLD,Wind,39.25,,,,
2012,WLD,Wind,46.8,,,,
2013,WLD,Wind,32.92,,,,
2014,WLD,Wind,49.47,,,,
2015,WLD,Wind,66.86,,,,
2016,WLD,Wind,50.7,,,,
2017,WLD,Wind,47.33,,,,
2018,WLD,Wind,50.12,,,,
2019,WLD,Wind,56.77,,,,
2020,WLD,Wind,110.54,,,,
2021,WLD,Wind,91.86,,,,
2011,WLD,Marine,0.25,,,,
2012,WLD,Marine,0.01,,,,
2013,WLD,Marine,0,,,,
2014,WLD,Marine,0,,,,
2015,WLD,Marine,0,,,,
2016,WLD,Marine,0.01,,,,
2017,WLD,Marine,0,,,,
2018,WLD,Marine,0,,,,
2019,WLD,Marine,0,,,,
2020,WLD,Marine,0,,,,
2021,WLD,Marine,0,,,,
2011,WLD,Renewable Hydropower,28.25,,,,
2012,WLD,Renewable Hydropower,30.62,,,,
2013,WLD,Renewable Hydropower,44.83,,,,
2014,WLD,Renewable Hydropower,36.69,,,,
2015,WLD,Renewable Hydropower,32.22,,,,
2016,WLD,Renewable Hydropower,30.23,,,,
2017,WLD,Renewable Hydropower,22.1,,,,
2018,WLD,Renewable Hydropower,22.22,,,,
2019,WLD,Renewable Hydropower,18.12,,,,
2020,WLD,Renewable Hydropower,20.65,,,,
2021,WLD,Renewable Hydropower,18.73,,,,
2011,WLD,Total,106.46,,,,
2012,WLD,Total,113.28,,,,
2013,WLD,Total,122.35,,,,
2014,WLD,Total,131.72,,,,
2015,WLD,Total,153.36,,,,
2016,WLD,Total,162.35,,,,
2017,WLD,Total,170.73,,,,
2018,WLD,Total,173.5,,,,
2019,WLD,Total,183.52,,,,
2020,WLD,Total,266.8,,,,
2021,WLD,Total,260.02,,,,
2030,WLD,,,504.72,,,
