year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
1995,WLD,18.9,,,,
1996,WLD,20.1,,,,
1997,WLD,21,,,,
1998,WLD,21.7,,,,
1999,WLD,23,,,,
2000,WLD,23.8,,,,
2001,WLD,24.5,,,,
2002,WLD,25.3,,,,
2003,WLD,26.3,,,,
2004,WLD,27.2,,,,
2005,WLD,28.2,,,,
2006,WLD,28.9,,,,
2007,WLD,30,,,,
2008,WLD,30.8,,,,
2009,WLD,30.9,,,,
2010,WLD,31.2,,,,
2011,WLD,31.6,,,,
2012,WLD,32.2,,,,
2013,WLD,32.4,,,,
2014,WLD,33,,,,
2015,WLD,33.4,,,,
2016,WLD,33.9,,,,
2017,WLD,34,,,,
2018,WLD,34,,,,
2019,WLD,34.2,,,,
2020,WLD,34.8,,,,
2025,WLD,,35.8,,,
2030,WLD,,,,60.0,
2007,AUS,37.5,,,,
2008,AUS,38.1,,,,
2009,AUS,40,,,,
2010,AUS,40.6,,,,
2011,AUS,42.9,,,,
2012,AUS,43.3,,,,
2013,AUS,44.3,,,,
2014,AUS,45.3,,,,
2015,AUS,45.4,,,,
2016,AUS,42.2,,,,
2017,AUS,38.8,,,,
2018,AUS,39.9,,,,
2019,AUS,40.5,,,,
1995,AUT,45.8,,,,
1996,AUT,56.9,,,,
1997,AUT,57.6,,,,
1998,AUT,58.4,,,,
1999,AUT,58.4,,,,
2000,AUT,58.1,,,,
2001,AUT,58.7,,,,
2002,AUT,59.7,,,,
2003,AUT,60,,,,
2004,AUT,58.1,,,,
2005,AUT,59.9,,,,
2006,AUT,60.4,,,,
2007,AUT,61.3,,,,
2008,AUT,64.6,,,,
2009,AUT,63.6,,,,
2010,AUT,60.9,,,,
2011,AUT,58.8,,,,
2012,AUT,59.7,,,,
2013,AUT,59.6,,,,
2014,AUT,58.3,,,,
2015,AUT,58.2,,,,
2016,AUT,58.8,,,,
2017,AUT,58.6,,,,
2018,AUT,58.5,,,,
2019,AUT,59,,,,
2020,AUT,62.1,,,,
1995,BEL,19.5,,,,
1996,BEL,26,,,,
1997,BEL,34.5,,,,
1998,BEL,41.8,,,,
1999,BEL,47.1,,,,
2000,BEL,48.4,,,,
2001,BEL,51.2,,,,
2002,BEL,52.4,,,,
2003,BEL,52.2,,,,
2004,BEL,53.1,,,,
2005,BEL,53.2,,,,
2006,BEL,55.8,,,,
2007,BEL,54.6,,,,
2008,BEL,55.4,,,,
2009,BEL,56.9,,,,
2010,BEL,56.7,,,,
2011,BEL,57.2,,,,
2012,BEL,55.1,,,,
2013,BEL,54.2,,,,
2014,BEL,54.7,,,,
2015,BEL,54.3,,,,
2016,BEL,53.5,,,,
2017,BEL,54.3,,,,
2018,BEL,54.4,,,,
2019,BEL,54.7,,,,
2020,BEL,50.8,,,,
2021,BEL,52,,,,
1996,CAN,23.1,,,,
1998,CAN,25,,,,
2000,CAN,21.8,,,,
2002,CAN,22.5,,,,
2004,CAN,22.9,,,,
2006,CAN,23.3,,,,
2008,CAN,25.2,,,,
2010,CAN,25.5,,,,
2012,CAN,26.5,,,,
2014,CAN,27.8,,,,
2016,CAN,28.1,,,,
2018,CAN,28.1,,,,
2014,CHL,0.2,,,,
2015,CHL,0.3,,,,
2016,CHL,0.4,,,,
2017,CHL,1.4,,,,
2018,CHL,0.5,,,,
2015,CRI,0.9,,,,
2016,CRI,3.3,,,,
2017,CRI,8,,,,
2018,CRI,4,,,,
2019,CRI,6.7,,,,
2020,CRI,6.1,,,,
2021,CRI,6.7,,,,
2007,CZE,10.9,,,,
2008,CZE,12,,,,
2009,CZE,14.1,,,,
2010,CZE,16.6,,,,
2011,CZE,17,,,,
2012,CZE,23.2,,,,
2013,CZE,24.2,,,,
2014,CZE,25.4,,,,
2015,CZE,29.7,,,,
2016,CZE,33.6,,,,
2017,CZE,33.5,,,,
2018,CZE,33.6,,,,
2019,CZE,34.5,,,,
2020,CZE,40,,,,
2021,CZE,42.6,,,,
1995,DNK,25.2,,,,
1996,DNK,37,,,,
1997,DNK,35.4,,,,
1998,DNK,36,,,,
1999,DNK,38.9,,,,
2000,DNK,37.1,,,,
2001,DNK,36.1,,,,
2002,DNK,37.6,,,,
2003,DNK,40.9,,,,
2004,DNK,41,,,,
2005,DNK,41,,,,
2006,DNK,41.8,,,,
2007,DNK,44.2,,,,
2008,DNK,47.9,,,,
2009,DNK,48.8,,,,
2010,DNK,48.8,,,,
2011,DNK,42.4,,,,
2012,DNK,42.5,,,,
2013,DNK,43.3,,,,
2014,DNK,45.4,,,,
2015,DNK,47.4,,,,
2016,DNK,48.3,,,,
2017,DNK,47.6,,,,
2018,DNK,50,,,,
2019,DNK,51.5,,,,
2020,DNK,45,,,,
2021,DNK,33.3,,,,
1995,EST,0.6,,,,
1996,EST,0.2,,,,
1997,EST,0.2,,,,
1998,EST,0.2,,,,
1999,EST,0,,,,
