year,geo,value,
AFG,2014,5,
AFG,2017,4,
AFG,2019,6,
ALB,2017,4,
ALB,2019,6,
ALB,2021,6,
AGO,2014,5,
AGO,2019,2,
ATG,2019,3,
ARG,2014,4,
ARG,2017,5,
ARG,2019,6,
ARG,2021,6,
AUT,2019,5,
AZE,2014,5,
AZE,2017,6,
AZE,2019,6,
AZE,2021,6,
BHR,2021,6,
BGD,2014,5,
BGD,2017,6,
BGD,2019,6,
BGD,2021,6,
BRB,2017,2,
BRB,2019,6,
BRB,2021,6,
BLR,2014,5,
BLR,2017,6,
BLR,2019,6,
BLR,2021,6,
BLZ,2019,6,
BLZ,2021,6,
BEN,2014,5,
BEN,2019,6,
BTN,2014,5,
BTN,2017,6,
BTN,2019,6,
BTN,2021,6,
BOL,2014,5,
BOL,2017,6,
BOL,2019,6,
BOL,2021,6,
BIH,2017,6,
BIH,2019,6,
BIH,2021,6,
BWA,2014,5,
BWA,2017,6,
BWA,2019,6,
BWA,2021,6,
BRA,2014,5,
BRA,2017,6,
BRA,2019,6,
BRA,2021,5,
VGB,2019,6,
VGB,2021,3,
BFA,2014,5,
BFA,2017,2,
BFA,2019,6,
BFA,2021,6,
BDI,2014,5,
BDI,2017,6,
BDI,2019,6,
CPV,2021,6,
KHM,2014,5,
KHM,2017,6,
KHM,2019,6,
KHM,2021,6,
CMR,2014,5,
CMR,2021,4,
CAF,2014,3,
CAF,2019,6,
CAF,2021,6,
TCD,2014,4,
TCD,2019,6,
TCD,2021,5,
CHL,2014,1,
CHL,2017,4,
CHL,2019,3,
CHL,2021,4,
CHN,2017,6,
CHN,2019,2,
CHN,2021,6,
COL,2014,5,
COL,2017,6,
COL,2019,6,
COL,2021,5,
COM,2019,6,
COM,2021,6,
COG,2019,6,
COG,2021,6,
COK,2014,3,
CRI,2014,5,
CRI,2017,6,
CRI,2019,5,
CRI,2021,5,
CIV,2014,5,
CIV,2017,4,
CIV,2019,2,
HRV,2021,6,
CUB,2014,5,
CUB,2017,5,
CUB,2019,6,
CUB,2021,6,
PRK,2019,4,
COD,2014,5,
COD,2017,1,
COD,2019,6,
COD,2021,5,
DOM,2017,3,
DOM,2019,5,
DOM,2021,5,
ECU,2017,5,
ECU,2019,6,
ECU,2021,6,
EGY,2021,6,
SLV,2014,4,
SLV,2017,6,
SLV,2019,5,
SLV,2021,6,
ERI,2014,5,
ERI,2019,6,
ERI,2021,5,
EST,2014,5,
EST,2021,6,
SWZ,2019,6,
ETH,2014,5,
ETH,2017,6,
ETH,2019,6,
ETH,2021,6,
FJI,2014,5,
FJI,2017,6,
FJI,2019,3,
FJI,2021,4,
GAB,2014,5,
GAB,2019,6,
GMB,2014,5,
GMB,2019,6,
GMB,2021,6,
GEO,2014,2,
GEO,2017,2,
GEO,2019,6,
GEO,2021,6,
GHA,2014,5,
GHA,2017,2,
GHA,2019,6,
GHA,2021,6,
GRC,2021,6,
GTM,2021,6,
GIN,2014,5,
GIN,2017,6,
GIN,2019,6,
GIN,2021,6,
GUY,2017,2,
GUY,2019,6,
HTI,2014,5,
HTI,2017,6,
HTI,2019,3,
HTI,2021,6,
HND,2014,5,
HND,2017,6,
HND,2019,6,
HND,2021,6,
HUN,2019,6,
HUN,2021,6,
IND,2014,2,
IND,2017,6,
IDN,2014,5,
IDN,2019,6,
IDN,2021,6,
IRN,2019,6,
IRN,2021,6,
IRQ,2021,6,
JAM,2017,6,
JAM,2019,6,
JAM,2021,4,
JOR,2014,5,
JOR,2019,6,
JOR,2021,6,
KAZ,2014,5,
KAZ,2021,6,
KEN,2014,5,
KEN,2017,6,
KEN,2019,6,
KEN,2021,6,
KWT,2021,4,
KGZ,2014,5,
KGZ,2019,4,
KGZ,2021,6,
LAO,2014,5,
LAO,2017,6,
LAO,2019,6,
LAO,2021,6,
LBN,2014,4,
LBN,2019,2,
LBN,2021,6,
LSO,2014,5,
LSO,2017,5,
LSO,2019,6,
LSO,2021,6,
LBR,2014,4,
LBR,2017,6,
LBR,2019,6,
LBR,2021,6,
LTU,2014,5,
LTU,2017,6,
LTU,2019,6,
MDG,2014,4,
MDG,2017,6,
MDG,2019,5,
MDG,2021,5,
MWI,2019,5,
MWI,2021,6,
MYS,2017,3,
MDV,2017,6,
MDV,2019,4,
MDV,2021,6,
MLI,2014,5,
MLI,2017,6,
MLI,2019,6,
MLI,2021,6,
MHL,2019,6,
MRT,2019,6,
MRT,2021,6,
MUS,2021,5,
MEX,2014,5,
MEX,2017,6,
MEX,2019,6,
MEX,2021,5,
FSM,2017,6,
MNG,2014,5,
MNG,2017,5,
MNG,2019,6,
MNG,2021,6,
MNE,2019,6,
MNE,2021,6,
MAR,2014,5,
MAR,2019,6,
MAR,2021,6,
MOZ,2014,5,
MOZ,2017,6,
MOZ,2019,6,
MOZ,2021,6,
MMR,2014,5,
MMR,2017,2,
MMR,2019,6,
NAM,2021,6,
NPL,2014,5,
NPL,2017,6,
NPL,2019,6,
NPL,2021,6,
NLD,2019,6,
NZL,2019,6,
NIC,2021,6,
NER,2014,5,
NER,2019,6,
NER,2021,6,
NGA,2014,5,
NGA,2017,6,
NGA,2019,6,
NGA,2021,1,
NOR,2021,2,
OMN,2014,5,
OMN,2019,6,
OMN,2021,6,
PAK,2014,5,
PAK,2017,6,
PAK,2019,6,
PAK,2021,6,
PAN,2014,5,
PAN,2017,6,
PAN,2019,6,
PAN,2021,6,
PNG,2019,5,
PNG,2021,6,
PRY,2014,5,
PRY,2017,6,
PRY,2019,4,
PRY,2021,5,
PER,2014,5,
PER,2017,6,
PER,2019,6,
PER,2021,6,
PHL,2014,5,
PHL,2017,6,
PHL,2019,6,
PHL,2021,6,
MDA,2014,5,
ROU,2021,5,
RWA,2014,5,
RWA,2017,6,
STP,2021,6,
SEN,2014,5,
SEN,2017,6,
SEN,2019,6,
SEN,2021,6,
SRB,2014,5,
SRB,2017,6,
SRB,2019,6,
SRB,2021,6,
SYC,2021,6,
SLE,2014,5,
SLE,2017,1,
SLE,2021,6,
SLB,2017,5,
SLB,2019,6,
SLB,2021,6,
SOM,2021,6,
ZAF,2014,5,
ZAF,2017,6,
ZAF,2019,6,
ZAF,2021,6,
SSD,2014,5,
SSD,2017,2,
SSD,2019,6,
SSD,2021,6,
LKA,2014,4,
LKA,2019,6,
PSE,2014,10,
PSE,2017,4,
PSE,2021,12,
SDN,2014,5,
SDN,2019,6,
SDN,2021,6,
SYR,2019,6,
SYR,2021,6,
TJK,2014,4,
TJK,2017,6,
TJK,2019,5,
TJK,2021,6,
THA,2014,5,
THA,2017,6,
THA,2019,6,
THA,2021,6,
TLS,2014,5,
TLS,2017,4,
TLS,2019,5,
TLS,2021,6,
TGO,2014,5,
TGO,2017,1,
TGO,2019,6,
TGO,2021,6,
TON,2014,5,
TON,2017,6,
TTO,2019,6,
TTO,2021,6,
TUN,2014,5,
TUN,2019,3,
TUN,2021,6,
TKM,2021,6,
TUV,2019,5,
TUV,2021,6,
UGA,2014,5,
UGA,2019,6,
UGA,2021,6,
UKR,2014,5,
UKR,2017,4,
UKR,2019,6,
UKR,2021,6,
TZA,2014,5,
TZA,2017,6,
TZA,2019,6,
TZA,2021,6,
URY,2014,4,
URY,2017,5,
URY,2021,5,
UZB,2017,4,
UZB,2019,2,
UZB,2021,6,
VUT,2014,5,
VUT,2017,6,
VEN,2017,6,
VEN,2019,6,
VNM,2014,5,
VNM,2017,4,
