year,geo,value
2000,WLD,67
2001,WLD,68
2002,WLD,69
2003,WLD,67
2004,WLD,67
2005,WLD,68
2006,WLD,69
2007,WLD,69
2008,WLD,71
2009,WLD,72
2010,WLD,73
2011,WLD,74
2012,WLD,75
2013,WLD,76
2014,WLD,76
2015,WLD,77
2016,WLD,79
2017,WLD,81
2018,WLD,82
2019,WLD,83
2020,WLD,83
2021,WLD,85
2022,WLD,84
2003,AFG,2
2004,AFG,8
2005,AFG,15
2006,AFG,19
2007,AFG,25
2008,AFG,28
2009,AFG,37
2010,AFG,30
2011,AFG,30
2012,AFG,61
2013,AFG,60
2014,AFG,87
2015,AFG,65
2016,AFG,97
2017,AFG,97
2018,AFG,92
2019,AFG,97
2020,AFG,97
2021,AFG,97
2022,AFG,82
2000,ALB,100
2001,ALB,100
2002,ALB,100
2003,ALB,100
2004,ALB,100
2005,ALB,100
2006,ALB,100
2007,ALB,100
2008,ALB,100
2009,ALB,100
2010,ALB,100
2011,ALB,100
2012,ALB,100
2013,ALB,100
2014,ALB,100
2015,ALB,100
2016,ALB,100
2017,ALB,100
2018,ALB,100
2019,ALB,100
2020,ALB,100
2021,ALB,100
2022,ALB,100
2000,DZA,97
2001,DZA,97
2002,DZA,97
2003,DZA,97
2004,DZA,97
2005,DZA,97
2006,DZA,97
2007,DZA,97
2008,DZA,98
2009,DZA,97
2010,DZA,97
2011,DZA,98
2012,DZA,98
2013,DZA,98
2014,DZA,98
2015,DZA,98
2016,DZA,98
2017,DZA,99
2018,DZA,99
2019,DZA,99
2020,DZA,99
2021,DZA,99
2022,DZA,99
2000,AND,100
2001,AND,100
2002,AND,100
2003,AND,100
2004,AND,100
2005,AND,100
2006,AND,100
2007,AND,100
2008,AND,100
2009,AND,100
2010,AND,100
2011,AND,100
2012,AND,100
2013,AND,100
2014,AND,100
2015,AND,100
2016,AND,100
2017,AND,100
2018,AND,100
2019,AND,100
2020,AND,100
2021,AND,100
2022,AND,100
2000,AGO,3
2001,AGO,9
2002,AGO,3
2003,AGO,2
2004,AGO,2
2005,AGO,1
2006,AGO,1
2008,AGO,7
2015,AGO,4
2018,AGO,7
2022,AGO,0
2000,ATG,97
2001,ATG,97
2002,ATG,100
2003,ATG,97
2004,ATG,97
2005,ATG,100
2006,ATG,100
2007,ATG,100
2008,ATG,100
2009,ATG,98
2010,ATG,98
2011,ATG,93
2012,ATG,100
2013,ATG,100
2014,ATG,100
2015,ATG,100
2016,ATG,100
2017,ATG,100
2018,ATG,100
2019,ATG,100
2020,ATG,100
2021,ATG,100
2022,ATG,100
2000,ARG,92
2001,ARG,89
2002,ARG,93
2003,ARG,93
2004,ARG,93
2005,ARG,93
2006,ARG,94
2007,ARG,94
2008,ARG,94
2009,ARG,94
2010,ARG,99
2011,ARG,98
2012,ARG,96
2013,ARG,95
2014,ARG,100
2015,ARG,98
2016,ARG,99
2017,ARG,100
2018,ARG,100
2019,ARG,100
2020,ARG,100
2021,ARG,100
2022,ARG,100
2000,ARM,99
2001,ARM,100
2002,ARM,96
2003,ARM,99
2004,ARM,99
2005,ARM,100
2006,ARM,99
2007,ARM,99
2008,ARM,99
2009,ARM,99
2010,ARM,100
2011,ARM,99
2012,ARM,99
2013,ARM,99
2014,ARM,100
2015,ARM,100
2016,ARM,100
2017,ARM,100
2018,ARM,100
2019,ARM,100
2020,ARM,100
2021,ARM,100
2022,ARM,100
2000,ABW,100
2001,ABW,100
2002,ABW,100
2003,ABW,100
2004,ABW,100
2005,ABW,100
2006,ABW,100
2007,ABW,100
2008,ABW,100
2009,ABW,100
2010,ABW,100
2011,ABW,100
2012,ABW,100
2013,ABW,100
2014,ABW,100
2015,ABW,100
2016,ABW,100
2017,ABW,100
2018,ABW,100
2019,ABW,100
2020,ABW,100
2021,ABW,100
2022,ABW,100
2000,AUS,100
2001,AUS,100
2002,AUS,100
2003,AUS,100
2004,AUS,100
2005,AUS,100
2006,AUS,100
2007,AUS,100
2008,AUS,100
2009,AUS,100
2010,AUS,100
2011,AUS,100
2012,AUS,100
2013,AUS,100
2014,AUS,100
2015,AUS,100
2016,AUS,100
2017,AUS,100
2018,AUS,100
2019,AUS,100
2020,AUS,100
2021,AUS,100
2022,AUS,100
2000,AUT,100
2001,AUT,100
2002,AUT,100
2003,AUT,100
2004,AUT,100
2005,AUT,100
2006,AUT,100
2007,AUT,100
2008,AUT,100
2009,AUT,100
2010,AUT,100
2011,AUT,100
2012,AUT,100
2013,AUT,100
2014,AUT,100
2015,AUT,100
2016,AUT,100
2017,AUT,100
2018,AUT,100
2019,AUT,100
2020,AUT,100
2021,AUT,100
2022,AUT,100
2000,AZE,98
2001,AZE,98
2002,AZE,100
2003,AZE,98
2004,AZE,98
2005,AZE,99
2006,AZE,99
2007,AZE,99
2008,AZE,100
2009,AZE,100
2010,AZE,100
2011,AZE,100
2012,AZE,100
2013,AZE,100
2014,AZE,100
2015,AZE,100
2016,AZE,100
2017,AZE,100
2018,AZE,100
2019,AZE,100
2020,AZE,100
2021,AZE,100
2022,AZE,100
2000,BHS,100
2001,BHS,100
2002,BHS,100
2003,BHS,100
2004,BHS,100
2005,BHS,100
2006,BHS,100
2007,BHS,100
2008,BHS,100
2009,BHS,100
2010,BHS,100
2011,BHS,100
2012,BHS,100
2013,BHS,100
2014,BHS,100
2015,BHS,100
2016,BHS,100
2017,BHS,100
2018,BHS,100
2019,BHS,100
2020,BHS,100
2021,BHS,100
2022,BHS,100
2000,BHR,100
2001,BHR,100
2002,BHR,100
2003,BHR,100
2004,BHR,100
2005,BHR,100
2006,BHR,100
2007,BHR,100
2008,BHR,100
2009,BHR,100
2010,BHR,100
2011,BHR,100
2012,BHR,100
2013,BHR,100
2014,BHR,100
2015,BHR,100
2016,BHR,100
2017,BHR,100
2018,BHR,100
2019,BHR,100
2020,BHR,100
2021,BHR,100
2022,BHR,100
2000,BGD,17
2001,BGD,22
2002,BGD,24
2003,BGD,27
2004,BGD,28
2005,BGD,30
2006,BGD,40
2007,BGD,32
2008,BGD,42
2009,BGD,45
2010,BGD,40
2011,BGD,46
2012,BGD,54
2013,BGD,49
2014,BGD,48
2015,BGD,64
2016,BGD,66
2017,BGD,82
2018,BGD,81
2019,BGD,89
2020,BGD,95
2021,BGD,99
2022,BGD,99
2000,BRB,100
2001,BRB,100
2002,BRB,100
2003,BRB,100
2004,BRB,100
2005,BRB,100
2006,BRB,100
2007,BRB,100
2008,BRB,100
2009,BRB,100
2010,BRB,100
2011,BRB,100
2012,BRB,100
2013,BRB,100
2014,BRB,100
2015,BRB,100
2016,BRB,100
2017,BRB,100
2018,BRB,100
2019,BRB,100
2020,BRB,100
2021,BRB,100
2022,BRB,100
2000,BLR,79
2001,BLR,80
2002,BLR,81
2003,BLR,82
2004,BLR,83
2005,BLR,83
2006,BLR,84
2007,BLR,85
2008,BLR,86
2009,BLR,87
2010,BLR,88
2011,BLR,89
2012,BLR,90
2013,BLR,91
2014,BLR,92
2015,BLR,93
2016,BLR,95
2017,BLR,97
2018,BLR,98
2019,BLR,100
2020,BLR,100
2021,BLR,100
2022,BLR,100
2000,BEL,100
2001,BEL,100
2002,BEL,100
2003,BEL,100
2004,BEL,100
2005,BEL,100
2006,BEL,100
2007,BEL,100
2008,BEL,100
2009,BEL,100
2010,BEL,100
2011,BEL,100
2012,BEL,100
2013,BEL,100
2014,BEL,100
2015,BEL,100
2016,BEL,100
2017,BEL,100
2018,BEL,100
2019,BEL,100
2020,BEL,100
2021,BEL,100
2022,BEL,100
2000,BLZ,66
2001,BLZ,67
2002,BLZ,69
2003,BLZ,70
2004,BLZ,72
2005,BLZ,73
2006,BLZ,85
2007,BLZ,76
2008,BLZ,77
2009,BLZ,79
2010,BLZ,84
2011,BLZ,88
2012,BLZ,86
2013,BLZ,86
2014,BLZ,86
2015,BLZ,88
2016,BLZ,89
2017,BLZ,91
2018,BLZ,87
2019,BLZ,88
2020,BLZ,96
2021,BLZ,97
2022,BLZ,97
2000,BEN,5
2001,BEN,4
2002,BEN,7
2003,BEN,7
2004,BEN,8
2005,BEN,9
2006,BEN,8
2007,BEN,10
2008,BEN,10
2009,BEN,11
2010,BEN,11
2011,BEN,14
2012,BEN,15
2013,BEN,13
2014,BEN,16
2015,BEN,11
2016,BEN,15
2017,BEN,17
2018,BEN,16
2019,BEN,17
2020,BEN,17
2021,BEN,18
2022,BEN,46
2000,BMU,100
2001,BMU,100
2002,BMU,100
2003,BMU,100
2004,BMU,100
2005,BMU,100
2006,BMU,100
2007,BMU,100
2008,BMU,100
2009,BMU,100
2010,BMU,100
2011,BMU,100
2012,BMU,100
2013,BMU,100
2014,BMU,100
2015,BMU,100
2016,BMU,100
2017,BMU,100
2018,BMU,100
2019,BMU,100
2020,BMU,100
2021,BMU,100
2022,BMU,100
2000,BTN,9
2001,BTN,20
2002,BTN,24
2003,BTN,18
2004,BTN,32
2005,BTN,43
2006,BTN,42
2007,BTN,59
2008,BTN,52
2009,BTN,58
2010,BTN,59
2011,BTN,72
2012,BTN,87
2013,BTN,80
2014,BTN,86
2015,BTN,93
2016,BTN,99
2017,BTN,97
2018,BTN,100
2019,BTN,100
2020,BTN,100
2021,BTN,100
2022,BTN,100
2000,BOL,28
