year,geog,value
2018,EST,100
2019,EST,100
2020,EST,100
2000,SWZ,20.2
2001,SWZ,26.9
2002,SWZ,25.8
2003,SWZ,28.6
2004,SWZ,31.4
2005,SWZ,34.2
2006,SWZ,35.2
2007,SWZ,39.8
2008,SWZ,42.6
2009,SWZ,38.6
2010,SWZ,45.6
2011,SWZ,51.1
2012,SWZ,54.4
2013,SWZ,57.6
2014,SWZ,65
2015,SWZ,64
2016,SWZ,63.4
2017,SWZ,73.5
2018,SWZ,73.9
2019,SWZ,76.9
2020,SWZ,79.7
2000,ETH,12.7
2001,ETH,10.2
2002,ETH,11.9
2003,ETH,13.5
2004,ETH,15.2
2005,ETH,14
2006,ETH,18.6
2007,ETH,20.3
2008,ETH,22
2009,ETH,23.7
2010,ETH,25.4
2011,ETH,23
2012,ETH,28.9
2013,ETH,30.7
2014,ETH,27.2
2015,ETH,29
2016,ETH,42.9
2017,ETH,44.3
2018,ETH,44.9
2019,ETH,48.1
2020,ETH,51.1
2000,FRO,100
2001,FRO,100
2002,FRO,100
2003,FRO,100
2004,FRO,100
2005,FRO,100
2006,FRO,100
2007,FRO,100
2008,FRO,100
2009,FRO,100
2010,FRO,100
2011,FRO,100
2012,FRO,100
2013,FRO,100
2014,FRO,100
2015,FRO,100
2016,FRO,100
2017,FRO,100
2018,FRO,100
2019,FRO,100
2020,FRO,100
2000,FJI,75.7
2001,FJI,77
2002,FJI,79.6
2003,FJI,80
2004,FJI,80.8
2005,FJI,82.1
2006,FJI,83.3
2007,FJI,88.9
2008,FJI,86.2
2009,FJI,87.1
2010,FJI,89.2
2011,FJI,90.1
2012,FJI,91.1
2013,FJI,91.8
2014,FJI,93.8
2015,FJI,95.2
2016,FJI,96.6
2017,FJI,96
2018,FJI,99.4
2019,FJI,99.7
2020,FJI,100
2000,FIN,100
2001,FIN,100
2002,FIN,100
2003,FIN,100
2004,FIN,100
2005,FIN,100
2006,FIN,100
2007,FIN,100
2008,FIN,100
2009,FIN,100
2010,FIN,100
2011,FIN,100
2012,FIN,100
2013,FIN,100
2014,FIN,100
2015,FIN,100
2016,FIN,100
2017,FIN,100
2018,FIN,100
2019,FIN,100
2020,FIN,100
2000,FRA,100
2001,FRA,100
2002,FRA,100
2003,FRA,100
2004,FRA,100
2005,FRA,100
2006,FRA,100
2007,FRA,100
2008,FRA,100
2009,FRA,100
2010,FRA,100
2011,FRA,100
2012,FRA,100
2013,FRA,100
2014,FRA,100
2015,FRA,100
2016,FRA,100
2017,FRA,100
2018,FRA,100
2019,FRA,100
2020,FRA,100
2000,PYF,100
2001,PYF,100
2002,PYF,100
2003,PYF,100
2004,PYF,100
2005,PYF,100
2006,PYF,100
2007,PYF,100
2008,PYF,100
2009,PYF,100
2010,PYF,100
2011,PYF,100
2012,PYF,100
2013,PYF,100
2014,PYF,100
2015,PYF,100
2016,PYF,100
2017,PYF,100
2018,PYF,100
2019,PYF,100
2020,PYF,100
2000,GAB,73.6
2001,GAB,77.1
2002,GAB,77.8
2003,GAB,78.5
2004,GAB,79.2
2005,GAB,81.6
2006,GAB,80.6
2007,GAB,81.3
2008,GAB,82
2009,GAB,82.7
2010,GAB,89.5
2011,GAB,88.9
2012,GAB,89.3
2013,GAB,86.4
2014,GAB,87
2015,GAB,87.4
2016,GAB,88.2
2017,GAB,86.3
2018,GAB,89.9
2019,GAB,90.7
2020,GAB,91.6
2000,GMB,34.3
2001,GMB,29.9
2002,GMB,31.5
2003,GMB,27.8
2004,GMB,34.8
2005,GMB,30.5
2006,GMB,38.1
2007,GMB,39.7
2008,GMB,41.4
2009,GMB,43
2010,GMB,46.7
2011,GMB,48.2
2012,GMB,49.8
2013,GMB,51.5
2014,GMB,52.9
2015,GMB,54.6
2016,GMB,56.3
2017,GMB,56.2
2018,GMB,60.3
2019,GMB,62.1
2020,GMB,62.3
2000,GEO,99.8
2001,GEO,99.8
2002,GEO,99.9
2003,GEO,100
2004,GEO,99.9
2005,GEO,97.9
2006,GEO,100
2007,GEO,100
2008,GEO,100
2009,GEO,100
2010,GEO,100
2011,GEO,100
2012,GEO,100
2013,GEO,100
2014,GEO,100
2015,GEO,100
2016,GEO,100
2017,GEO,100
2018,GEO,99.9
2019,GEO,100
2020,GEO,100
2000,DEU,100
2001,DEU,100
2002,DEU,100
2003,DEU,100
2004,DEU,100
2005,DEU,100
2006,DEU,100
2007,DEU,100
2008,DEU,100
2009,DEU,100
2010,DEU,100
2011,DEU,100
2012,DEU,100
2013,DEU,100
2014,DEU,100
2015,DEU,100
2016,DEU,100
2017,DEU,100
2018,DEU,100
2019,DEU,100
2020,DEU,100
2000,GHA,43.7
2001,GHA,44.8
2002,GHA,46.9
2003,GHA,48.3
2004,GHA,50.9
2005,GHA,41.3
2006,GHA,55.1
2007,GHA,56.9
2008,GHA,60.5
2009,GHA,61
2010,GHA,64.2
2011,GHA,64.1
2012,GHA,56.5
2013,GHA,70.7
2014,GHA,78.3
2015,GHA,74.1
2016,GHA,79.3
2017,GHA,79
2018,GHA,80.4
2019,GHA,83.5
2020,GHA,85.9
2000,GIB,100
2001,GIB,100
2002,GIB,100
2003,GIB,100
2004,GIB,100
2005,GIB,100
2006,GIB,100
2007,GIB,100
2008,GIB,100
2009,GIB,100
2010,GIB,100
2011,GIB,100
2012,GIB,100
2013,GIB,100
2014,GIB,100
2015,GIB,100
2016,GIB,100
2017,GIB,100
2018,GIB,100
2019,GIB,100
2020,GIB,100
2000,GRC,100
2001,GRC,100
2002,GRC,100
2003,GRC,100
2004,GRC,100
2005,GRC,100
2006,GRC,100
2007,GRC,100
2008,GRC,100
2009,GRC,100
2010,GRC,100
2011,GRC,100
2012,GRC,100
2013,GRC,100
2014,GRC,100
2015,GRC,100
2016,GRC,100
2017,GRC,100
2018,GRC,100
2019,GRC,100
2020,GRC,100
2000,GRL,100
2001,GRL,100
2002,GRL,100
2003,GRL,100
2004,GRL,100
2005,GRL,100
2006,GRL,100
2007,GRL,100
2008,GRL,100
2009,GRL,100
2010,GRL,100
2011,GRL,100
2012,GRL,100
2013,GRL,100
2014,GRL,100
2015,GRL,100
2016,GRL,100
2017,GRL,100
2018,GRL,100
2019,GRL,100
2020,GRL,100
2000,GRD,86
2001,GRD,86.4
2002,GRD,86.7
2003,GRD,87
2004,GRD,87.3
2005,GRD,87.6
2006,GRD,88
2007,GRD,88.3
2008,GRD,90
2009,GRD,88.9
2010,GRD,89.3
2011,GRD,88.8
2012,GRD,90
2013,GRD,90.4
2014,GRD,90.9
2015,GRD,91.3
2016,GRD,91.7
2017,GRD,92.2
2018,GRD,92.3
2019,GRD,93.1
2020,GRD,93.6
2000,GUM,100
2001,GUM,100
2002,GUM,100
2003,GUM,100
2004,GUM,100
2005,GUM,100
2006,GUM,100
2007,GUM,100
2008,GUM,100
2009,GUM,100
2010,GUM,100
2011,GUM,100
2012,GUM,100
2013,GUM,100
2014,GUM,100
2015,GUM,100
2016,GUM,100
2017,GUM,100
2018,GUM,100
2019,GUM,100
2020,GUM,100
2000,GTM,73.3
2001,GTM,73.7
2002,GTM,78.7
2003,GTM,78.5
2004,GTM,77.2
2005,GTM,78.4
2006,GTM,83.7
2007,GTM,80.7
2008,GTM,81.9
2009,GTM,83.1
2010,GTM,84.3
2011,GTM,84
2012,GTM,86.7
2013,GTM,88
2014,GTM,85.5
2015,GTM,90.5
2016,GTM,91.8
2017,GTM,93.3
2018,GTM,94.4
2019,GTM,95.7
2020,GTM,97.1
2000,GIN,15.1
2001,GIN,16.4
2002,GIN,17.7
2003,GIN,19
2004,GIN,20.3
2005,GIN,20.2
2006,GIN,22.8
2007,GIN,24.1
2008,GIN,25.4
2009,GIN,26.6
2010,GIN,28
2011,GIN,29.3
2012,GIN,26.2
2013,GIN,32
2014,GIN,33.4
2015,GIN,34.7
2016,GIN,33.5
2017,GIN,35.4
2018,GIN,45
2019,GIN,42.2
2020,GIN,44.7
2002,GNB,1.3
2003,GNB,2.6
2004,GNB,3.9
2005,GNB,5.3
2006,GNB,14.5
2007,GNB,7.9
2008,GNB,9.3
2009,GNB,4.7
2010,GNB,6
2011,GNB,13.4
2012,GNB,14.8
2013,GNB,16.2
2014,GNB,17.2
2015,GNB,20.1
2016,GNB,23
2017,GNB,26
2018,GNB,28.5
2019,GNB,31
2020,GNB,33.3
2000,GUY,74.5
2001,GUY,75.1
2002,GUY,75.7
2003,GUY,76.2
2004,GUY,76.8
2005,GUY,77.5
2006,GUY,73.4
2007,GUY,78.5
2008,GUY,79.1
2009,GUY,77.6
2010,GUY,83.1
2011,GUY,84.1
2012,GUY,85.1
2013,GUY,86
2014,GUY,86.9
2015,GUY,88
2016,GUY,89.2
2017,GUY,90.3
2018,GUY,91.2
2019,GUY,91.9
2020,GUY,92.5
2000,HTI,33.7
2001,HTI,31.5
2002,HTI,33.2
2003,HTI,31.6
2004,HTI,34.1
2005,HTI,34.6
2006,HTI,33.9
2007,HTI,35.6
2008,HTI,36
2009,HTI,36.5
2010,HTI,37.1
2011,HTI,37.6
2012,HTI,37.9
2013,HTI,38.7
2014,HTI,39.5
2015,HTI,40.8
2016,HTI,40.4
2017,HTI,43.7
2018,HTI,45
2019,HTI,46
2020,HTI,46.9
2000,HND,67.4
2001,HND,64.2
2002,HND,63.1
2003,HND,65.1
2004,HND,67.1
2005,HND,68.9
2006,HND,71.3
2007,HND,73.5
2008,HND,76.4
2009,HND,78.3
2010,HND,81
2011,HND,82.2
2012,HND,83.6
2013,HND,87.2
2014,HND,88.7
2015,HND,90
2016,HND,91.6
2017,HND,86.5
2018,HND,91.6
2019,HND,91.1
2020,HND,93.2
2000,HUN,100
2001,HUN,100
2002,HUN,100
2003,HUN,100
2004,HUN,100
2005,HUN,100
2006,HUN,100
2007,HUN,100
2008,HUN,100
2009,HUN,100
2010,HUN,100
2011,HUN,100
2012,HUN,100
2013,HUN,100
2014,HUN,100
2015,HUN,100
2016,HUN,100
2017,HUN,100
2018,HUN,100
2019,HUN,100
2020,HUN,100
2000,ISL,100
2001,ISL,100
2002,ISL,100
2003,ISL,100
2004,ISL,100
2005,ISL,100
2006,ISL,100
2007,ISL,100
2008,ISL,100
2009,ISL,100
2010,ISL,100
2011,ISL,100
2012,ISL,100
2013,ISL,100
2014,ISL,100
2015,ISL,100
2016,ISL,100
2017,ISL,100
2018,ISL,100
2019,ISL,100
2020,ISL,100
2000,IND,58.7
2001,IND,55.8
2002,IND,62.3
2003,IND,64
2004,IND,64.4
2005,IND,67.6
2006,IND,67.9
2007,IND,71.1
2008,IND,72.9
2009,IND,75
2010,IND,76.3
2011,IND,67.6
2012,IND,79.9
2013,IND,82
2014,IND,83.9
2015,IND,88
2016,IND,89.2
2017,IND,92.1
2018,IND,95.7
2019,IND,97.3
2020,IND,99
2000,IDN,86.3
2001,IDN,86.3
2002,IDN,87.6
2003,IDN,87.9
2004,IDN,89
2005,IDN,85
2006,IDN,90.6
2007,IDN,91.1
2008,IDN,92.7
2009,IDN,93.6
2010,IDN,94.2
2011,IDN,94.8
2012,IDN,96
2013,IDN,96.5
2014,IDN,97
2015,IDN,97.5
2016,IDN,97.6
2017,IDN,98.1
2018,IDN,98.5
2019,IDN,98.9
2020,IDN,97
2000,IRN,97.9
2001,IRN,98.1
2002,IRN,98.2
2003,IRN,98.3
2004,IRN,98.4
2005,IRN,98.5
2006,IRN,98.4
2007,IRN,98.7
2008,IRN,98.8
2009,IRN,99.7
2010,IRN,99.5
2011,IRN,99.6
2012,IRN,99.6
2013,IRN,99.8
2014,IRN,100
2015,IRN,100
2016,IRN,100
2017,IRN,99.9
2018,IRN,100
2019,IRN,100
2020,IRN,100
2000,IRQ,96.9
2001,IRQ,97.1
2002,IRQ,97.2
2003,IRQ,97.3
2004,IRQ,97.5
2005,IRQ,97.6
2006,IRQ,97.6
2007,IRQ,98.1
2008,IRQ,98
2009,IRQ,98.1
2010,IRQ,98.3
2011,IRQ,98
2012,IRQ,99.3
2013,IRQ,98.9
2014,IRQ,99.1
2015,IRQ,99.3
2016,IRQ,99.6
2017,IRQ,99.9
2018,IRQ,99.9
2019,IRQ,100
2020,IRQ,100
2000,IRL,100
2001,IRL,100
2002,IRL,100
2003,IRL,100
2004,IRL,100
2005,IRL,100
2006,IRL,100
2007,IRL,100
2008,IRL,100
2009,IRL,100
2010,IRL,100
2011,IRL,100
2012,IRL,100
2013,IRL,100
2014,IRL,100
2015,IRL,100
2016,IRL,100
2017,IRL,100
2018,IRL,100
2019,IRL,100
2020,IRL,100
2000,IMN,100
2001,IMN,100
2002,IMN,100
2003,IMN,100
2004,IMN,100
2005,IMN,100
2006,IMN,100
2007,IMN,100
2008,IMN,100
2009,IMN,100
2010,IMN,100
2011,IMN,100
2012,IMN,100
2013,IMN,100
2014,IMN,100
2015,IMN,100
2016,IMN,100
2017,IMN,100
2018,IMN,100
2019,IMN,100
2020,IMN,100
2000,ISR,100
2001,ISR,100
2002,ISR,100
2003,ISR,100
2004,ISR,100
2005,ISR,100
2006,ISR,100
2007,ISR,100
2008,ISR,100
2009,ISR,100
2010,ISR,100
2011,ISR,100
2012,ISR,100
2013,ISR,100
2014,ISR,100
2015,ISR,100
2016,ISR,100
2017,ISR,100
2018,ISR,100
2019,ISR,100
2020,ISR,100
2000,ITA,100
2001,ITA,100
2002,ITA,100
2003,ITA,100
2004,ITA,100
2005,ITA,100
2006,ITA,100
2007,ITA,100
2008,ITA,100
2009,ITA,100
2010,ITA,100
2011,ITA,100
2012,ITA,100
2013,ITA,100
2014,ITA,100
2015,ITA,100
2016,ITA,100
2017,ITA,100
2018,ITA,100
2019,ITA,100
2020,ITA,100
2000,JAM,84.4
2001,JAM,87.7
2002,JAM,86.7
2003,JAM,86.6
2004,JAM,87.3
2005,JAM,88.1
2006,JAM,88.8
2007,JAM,89.5
2008,JAM,92
2009,JAM,91
2010,JAM,92.2
2011,JAM,91.1
2012,JAM,93.1
2013,JAM,93.9
2014,JAM,93.3
2015,JAM,94.9
2016,JAM,96.7
2017,JAM,97.6
2018,JAM,98.5
2019,JAM,99.4
2020,JAM,100
2000,JPN,100
2001,JPN,100
2002,JPN,100
2003,JPN,100
2004,JPN,100
2005,JPN,100
2006,JPN,100
2007,JPN,100
2008,JPN,100
2009,JPN,100
2010,JPN,100
2011,JPN,100
2012,JPN,100
2013,JPN,100
2014,JPN,100
2015,JPN,100
2016,JPN,100
2017,JPN,100
2018,JPN,100
2019,JPN,100
2020,JPN,100
2000,JOR,98.9
2001,JOR,99
2002,JOR,99.5
2003,JOR,99
2004,JOR,99.2
2005,JOR,99.1
2006,JOR,100
2007,JOR,98.8
2008,JOR,100
2009,JOR,99.4
2010,JOR,100
2011,JOR,99.7
2012,JOR,99.5
2013,JOR,99.7
2014,JOR,99.7
2015,JOR,99.9
2016,JOR,100
2017,JOR,100
2018,JOR,99.9
2019,JOR,100
2020,JOR,99.9
2000,KAZ,99.5
2001,KAZ,99.7
2002,KAZ,99.8
2003,KAZ,99.9
2004,KAZ,100
2005,KAZ,100
2006,KAZ,99.8
2007,KAZ,100
2008,KAZ,100
2009,KAZ,100
2010,KAZ,100
2011,KAZ,99.8
2012,KAZ,100
2013,KAZ,100
2014,KAZ,100
2015,KAZ,100
2016,KAZ,100
2017,KAZ,100
2018,KAZ,100
2019,KAZ,100
2020,KAZ,100
2000,KEN,15.1
2001,KEN,17
2002,KEN,18.9
2003,KEN,16
2004,KEN,22.7
2005,KEN,24.6
2006,KEN,26.5
2007,KEN,28.4
2008,KEN,30.3
2009,KEN,23
2010,KEN,19.2
2011,KEN,36
2012,KEN,38
2013,KEN,40
2014,KEN,36
2015,KEN,41.6
2016,KEN,53.1
2017,KEN,56
2018,KEN,61.3
2019,KEN,69.7
2020,KEN,71.4
2000,KIR,55.1
2001,KIR,56.9
2002,KIR,58.7
2003,KIR,60.5
2004,KIR,62.3
2005,KIR,69.7
2006,KIR,68.8
2007,KIR,67.6
2008,KIR,69.4
2009,KIR,64.2
2010,KIR,63.2
2011,KIR,74.8
2012,KIR,76.7
2013,KIR,78.9
2014,KIR,83.5
2015,KIR,90.6
2016,KIR,92.8
2017,KIR,86.2
2018,KIR,88.1
2019,KIR,90
2020,KIR,92
2000,KWT,100
2001,KWT,100
2002,KWT,100
2003,KWT,100
2004,KWT,100
2005,KWT,100
2006,KWT,100
2007,KWT,100
2008,KWT,100
2009,KWT,100
2010,KWT,100
2011,KWT,100
2012,KWT,100
2013,KWT,100
2014,KWT,100
2015,KWT,100
2016,KWT,100
2017,KWT,100
2018,KWT,100
2019,KWT,100
2020,KWT,100
2000,KGZ,99.6
2001,KGZ,99.6
2002,KGZ,100
2003,KGZ,99.5
2004,KGZ,99.5
2005,KGZ,99.4
2006,KGZ,98.9
2007,KGZ,99.5
2008,KGZ,99.5
2009,KGZ,99.5
2010,KGZ,99
2011,KGZ,98.3
2012,KGZ,99.8
2013,KGZ,98.9
2014,KGZ,99.8
2015,KGZ,98.7
2016,KGZ,99.7
2017,KGZ,100
2018,KGZ,100
2019,KGZ,99.9
2020,KGZ,100
2000,LAO,42.5
2001,LAO,45.3
2002,LAO,46.3
2003,LAO,48
2004,LAO,53.5
2005,LAO,57.2
2006,LAO,57
2007,LAO,55
2008,LAO,66
2009,LAO,67.4
2010,LAO,70.1
2011,LAO,70
2012,LAO,76.4
2013,LAO,79.6
2014,LAO,83.1
2015,LAO,89.7
2016,LAO,90.5
2017,LAO,93.6
2018,LAO,97.8
2019,LAO,99.1
2020,LAO,100
2000,LVA,100
2001,LVA,100
2002,LVA,100
2003,LVA,100
2004,LVA,100
2005,LVA,100
2006,LVA,100
2007,LVA,100
2008,LVA,100
2009,LVA,100
2010,LVA,100
2011,LVA,100
2012,LVA,100
2013,LVA,100
2014,LVA,100
2015,LVA,100
2016,LVA,100
2017,LVA,100
2018,LVA,100
2019,LVA,100
2020,LVA,100
2000,LBN,99.4
2001,LBN,99.3
2002,LBN,99.3
2003,LBN,99.3
2004,LBN,99.9
2005,LBN,99.3
2006,LBN,99.4
2007,LBN,97.8
2008,LBN,99.9
2009,LBN,99.2
2010,LBN,99.5
2011,LBN,99.7
2012,LBN,99.5
2013,LBN,99.5
2014,LBN,99.5
2015,LBN,99.6
2016,LBN,99.7
2017,LBN,99.9
2018,LBN,99.7
2019,LBN,100
2020,LBN,100
2000,LSO,4.3
2001,LSO,1.3
2002,LSO,3.4
2003,LSO,5.5
2004,LSO,6.8
2005,LSO,9.7
2006,LSO,9.7
2007,LSO,13.9
2008,LSO,16
2009,LSO,17
2010,LSO,17
2011,LSO,22.4
2012,LSO,20.6
2013,LSO,26.8
2014,LSO,27.8
2015,LSO,31.7
2016,LSO,35.1
2017,LSO,33.7
2018,LSO,47
2019,LSO,44.5
2020,LSO,47.4
2007,LBR,3
2008,LBR,1.3
2009,LBR,1.9
2010,LBR,5.2
2011,LBR,4.1
2012,LBR,9.1
2013,LBR,9.8
2014,LBR,9.4
2015,LBR,15.2
2016,LBR,17.7
2017,LBR,24.2
2018,LBR,22.9
2019,LBR,23.1
2020,LBR,27.5
2000,LBY,99.8
2001,LBY,97.1
2002,LBY,95.4
2003,LBY,93.7
2004,LBY,92
2005,LBY,90.2
2006,LBY,88.5
2007,LBY,86.8
2008,LBY,85.1
2009,LBY,83.3
2010,LBY,81.7
2011,LBY,80
2012,LBY,78.3
2013,LBY,76.7
2014,LBY,75
2015,LBY,73.4
2016,LBY,71.8
2017,LBY,70.2
2018,LBY,67
2019,LBY,68.6
2020,LBY,69.7
2000,LIE,100
2001,LIE,100
2002,LIE,100
2003,LIE,100
2004,LIE,100
2005,LIE,100
2006,LIE,100
2007,LIE,100
2008,LIE,100
2009,LIE,100
2010,LIE,100
2011,LIE,100
2012,LIE,100
2013,LIE,100
2014,LIE,100
2015,LIE,100
2016,LIE,100
2017,LIE,100
2018,LIE,100
2019,LIE,100
2020,LIE,100
2000,LTU,100
2001,LTU,100
2002,LTU,100
2003,LTU,100
2004,LTU,100
2005,LTU,100
2006,LTU,100
2007,LTU,100
2008,LTU,100
2009,LTU,100
2010,LTU,100
2011,LTU,100
2012,LTU,100
2013,LTU,100
2014,LTU,100
2015,LTU,100
2016,LTU,100
2017,LTU,100
2018,LTU,100
2019,LTU,100
2020,LTU,100
2000,LUX,100
2001,LUX,100
2002,LUX,100
2003,LUX,100
2004,LUX,100
2005,LUX,100
2006,LUX,100
2007,LUX,100
2008,LUX,100
2009,LUX,100
2010,LUX,100
2011,LUX,100
2012,LUX,100
2013,LUX,100
2014,LUX,100
2015,LUX,100
2016,LUX,100
2017,LUX,100
2018,LUX,100
2019,LUX,100
2020,LUX,100
2000,MDG,12.7
2001,MDG,14.8
2002,MDG,14
2003,MDG,20.3
2004,MDG,15.3
2005,MDG,16
2006,MDG,16.6
2007,MDG,17.3
2008,MDG,18
2009,MDG,17.4
2010,MDG,12.3
2011,MDG,14.3
2012,MDG,18.7
2013,MDG,12.9
2014,MDG,22.2
2015,MDG,23
2016,MDG,22.9
2017,MDG,24.1
2018,MDG,36.5
2019,MDG,31
2020,MDG,33.7
2000,MWI,4.8
2001,MWI,5.1
2002,MWI,5.5
2003,MWI,6.2
2004,MWI,6.9
2005,MWI,6.7
2006,MWI,3.7
2007,MWI,7.5
2008,MWI,7.9
2009,MWI,8.3
2010,MWI,8.7
2011,MWI,7.6
2012,MWI,7.4
2013,MWI,9
2014,MWI,11.9
2015,MWI,10.8
2016,MWI,11
2017,MWI,12.7
2018,MWI,18
2019,MWI,11.2
2020,MWI,14.9
2000,MYS,99.1
2001,MYS,99.1
2002,MYS,99.1
2003,MYS,99.1
2004,MYS,99.2
2005,MYS,99.2
2006,MYS,99.2
2007,MYS,99.2
2008,MYS,99.2
2009,MYS,99.3
2010,MYS,99.4
2011,MYS,99.5
2012,MYS,99.8
2013,MYS,99.6
2014,MYS,99.7
2015,MYS,99.8
2016,MYS,99.9
2017,MYS,100
2018,MYS,100
2019,MYS,100
2020,MYS,100
2000,MDV,83.8
2001,MDV,87.5
2002,MDV,88.4
2003,MDV,89.2
2004,MDV,90.1
2005,MDV,90.9
2006,MDV,91.8
2007,MDV,92.7
2008,MDV,93.6
2009,MDV,99.9
2010,MDV,99.2
2011,MDV,99.3
2012,MDV,99.4
2013,MDV,99.5
2014,MDV,100
2015,MDV,99.7
2016,MDV,100
2017,MDV,99.8
2018,MDV,100
2019,MDV,100
2020,MDV,100
2000,MLI,9.6
2001,MLI,10.8
2002,MLI,13.1
2003,MLI,14.8
2004,MLI,16.5
2005,MLI,18.2
2006,MLI,16.6
2007,MLI,21.7
2008,MLI,23.4
2009,MLI,24
2010,MLI,26.9
2011,MLI,28.7
2012,MLI,25.6
2013,MLI,32.3
2014,MLI,34.1
2015,MLI,37.6
2016,MLI,38.8
2017,MLI,34.8
2018,MLI,50.9
2019,MLI,47.8
2020,MLI,50.6
2000,MLT,100
2001,MLT,100
2002,MLT,100
2003,MLT,100
2004,MLT,100
2005,MLT,100
2006,MLT,100
2007,MLT,100
2008,MLT,100
2009,MLT,100
2010,MLT,100
2011,MLT,100
2012,MLT,100
2013,MLT,100
2014,MLT,100
2015,MLT,100
2016,MLT,100
2017,MLT,100
2018,MLT,100
2019,MLT,100
2020,MLT,100
2000,MHL,68.5
2001,MHL,70
2002,MHL,71.4
2003,MHL,72.9
2004,MHL,74.4
2005,MHL,75.9
2006,MHL,77.3
2007,MHL,72.3
2008,MHL,80.3
2009,MHL,81.8
2010,MHL,89.2
2011,MHL,89.9
2012,MHL,90.6
2013,MHL,91.2
2014,MHL,91.8
2015,MHL,92.5
2016,MHL,93.4
2017,MHL,94.3
2018,MHL,95.9
2019,MHL,97.5
2020,MHL,99.2
2000,MRT,18.7
2001,MRT,22.2
2002,MRT,21.5
2003,MRT,22.9
2004,MRT,24.2
2005,MRT,18.2
2006,MRT,27
2007,MRT,33
2008,MRT,30
2009,MRT,31.1
2010,MRT,34
2011,MRT,35.2
2012,MRT,36.4
2013,MRT,37.5
2014,MRT,38.8
2015,MRT,39.5
2016,MRT,41.3
2017,MRT,42.9
2018,MRT,44.3
2019,MRT,45.8
2020,MRT,47.3
2000,MUS,99
2001,MUS,99.3
2002,MUS,99.4
2003,MUS,99.2
2004,MUS,99.1
2005,MUS,99.1
2006,MUS,99.1
2007,MUS,99
2008,MUS,99
2009,MUS,99
2010,MUS,99.7
2011,MUS,99.6
2012,MUS,99.6
2013,MUS,99.5
2014,MUS,99.4
2015,MUS,99.4
2016,MUS,99.5
2017,MUS,99.6
2018,MUS,99.4
2019,MUS,100
2020,MUS,99.7
2000,MEX,98
2001,MEX,97.1
2002,MEX,97.9
2003,MEX,97.4
2004,MEX,98.6
2005,MEX,98.9
2006,MEX,99.1
2007,MEX,97.9
2008,MEX,98.9
2009,MEX,98.2
2010,MEX,99.2
2011,MEX,99
2012,MEX,99.1
2013,MEX,99.1
2014,MEX,99.2
2015,MEX,99
2016,MEX,99.5
2017,MEX,100
2018,MEX,99.5
2019,MEX,99.6
2020,MEX,99.4
2000,FSM,46
2001,FSM,48.3
2002,FSM,50.1
2003,FSM,51.9
2004,FSM,53.6
2005,FSM,55.4
2006,FSM,57.1
2007,FSM,58.9
2008,FSM,60.6
2009,FSM,62.4
2010,FSM,64.5
2011,FSM,66.6
2012,FSM,68.4
2013,FSM,70.2
2014,FSM,72.1
2015,FSM,73.9
2016,FSM,76
2017,FSM,77.9
2018,FSM,79.7
2019,FSM,81.3
2020,FSM,82.9
2000,MCO,100
2001,MCO,100
2002,MCO,100
2003,MCO,100
2004,MCO,100
2005,MCO,100
2006,MCO,100
2007,MCO,100
2008,MCO,100
2009,MCO,100
2010,MCO,100
2011,MCO,100
2012,MCO,100
2013,MCO,100
2014,MCO,100
2015,MCO,100
2016,MCO,100
2017,MCO,100
2018,MCO,100
2019,MCO,100
2020,MCO,100
2000,MNG,67.3
2001,MNG,71.1
2002,MNG,72.3
2003,MNG,76.3
2004,MNG,74.7
2005,MNG,86.2
2006,MNG,77.1
2007,MNG,78.3
2008,MNG,79.5
2009,MNG,80.7
2010,MNG,78.5
2011,MNG,72.1
2012,MNG,84.5
2013,MNG,81.2
2014,MNG,87.1
2015,MNG,88.4
2016,MNG,89.8
2017,MNG,92.5
2018,MNG,98.1
2019,MNG,97.2
2020,MNG,98.1
2000,MNE,100
2001,MNE,100
2002,MNE,100
2003,MNE,100
2004,MNE,100
2005,MNE,99.8
2006,MNE,100
2007,MNE,100
2008,MNE,100
2009,MNE,100
2010,MNE,100
2011,MNE,99
2012,MNE,100
2013,MNE,99.7
2014,MNE,97.7
2015,MNE,100
2016,MNE,100
2017,MNE,100
2018,MNE,100
2019,MNE,100
2020,MNE,100
2000,MAR,69.6
2001,MAR,71.3
2002,MAR,73.1
2003,MAR,74.9
2004,MAR,78.2
2005,MAR,78.4
2006,MAR,96.5
2007,MAR,82
2008,MAR,83.7
2009,MAR,85.5
2010,MAR,92.7
2011,MAR,93.4
2012,MAR,94.2
2013,MAR,97.2
2014,MAR,91.6
2015,MAR,97.3
2016,MAR,97.8
2017,MAR,100
2018,MAR,98.1
2019,MAR,99.6
2020,MAR,100
2000,MOZ,6.1
2001,MOZ,5.7
2002,MOZ,8.4
2003,MOZ,8.1
2004,MOZ,10.8
2005,MOZ,11.9
2006,MOZ,13.1
2007,MOZ,12.4
2008,MOZ,13.6
2009,MOZ,15
2010,MOZ,18.8
2011,MOZ,20.2
2012,MOZ,21.2
2013,MOZ,22.4
2014,MOZ,24.8
2015,MOZ,24
2016,MOZ,26.2
2017,MOZ,24.3
2018,MOZ,31.1
2019,MOZ,29.7
2020,MOZ,30.6
2000,MMR,41.8
2001,MMR,42.9
2002,MMR,47
2003,MMR,45.1
2004,MMR,46.2
2005,MMR,47.3
2006,MMR,48.4
2007,MMR,49.5
2008,MMR,50.6
