year,geog,value
2004,AZE,99.1
2005,AZE,99.2
2006,AZE,99.5
2007,AZE,99.5
2008,AZE,99.7
2009,AZE,99.9
2010,AZE,99.9
2011,AZE,99.9
2012,AZE,100
2013,AZE,100
2014,AZE,100
2015,AZE,100
2016,AZE,100
2017,AZE,100
2018,AZE,100
2019,AZE,100
2020,AZE,100
2000,BHS,100
2001,BHS,100
2002,BHS,100
2003,BHS,100
2004,BHS,100
2005,BHS,100
2006,BHS,100
2007,BHS,100
2008,BHS,100
2009,BHS,100
2010,BHS,100
2011,BHS,100
2012,BHS,100
2013,BHS,100
2014,BHS,100
2015,BHS,100
2016,BHS,100
2017,BHS,100
2018,BHS,100
2019,BHS,100
2020,BHS,100
2000,BHR,100
2001,BHR,100
2002,BHR,100
2003,BHR,100
2004,BHR,100
2005,BHR,100
2006,BHR,100
2007,BHR,100
2008,BHR,100
2009,BHR,100
2010,BHR,100
2011,BHR,100
2012,BHR,100
2013,BHR,100
2014,BHR,100
2015,BHR,100
2016,BHR,100
2017,BHR,100
2018,BHR,100
2019,BHR,100
2020,BHR,100
2000,BGD,32
2001,BGD,35
2002,BGD,37.9
2003,BGD,40.7
2004,BGD,40.6
2005,BGD,44.2
2006,BGD,50.5
2007,BGD,46.5
2008,BGD,54.7
2009,BGD,57.6
2010,BGD,55.3
2011,BGD,59.6
2012,BGD,66.2
2013,BGD,61.5
2014,BGD,62.4
2015,BGD,74.9
2016,BGD,75.9
2017,BGD,88
2018,BGD,91.8
2019,BGD,92.2
2020,BGD,96.2
2000,BRB,100
2001,BRB,100
2002,BRB,100
2003,BRB,100
2004,BRB,100
2005,BRB,100
2006,BRB,100
2007,BRB,100
2008,BRB,100
2009,BRB,100
2010,BRB,100
2011,BRB,100
2012,BRB,100
2013,BRB,100
2014,BRB,100
2015,BRB,100
2016,BRB,100
2017,BRB,100
2018,BRB,100
2019,BRB,100
2020,BRB,100
2000,BLR,100
2001,BLR,100
2002,BLR,100
2003,BLR,100
2004,BLR,100
2005,BLR,100
2006,BLR,100
2007,BLR,100
2008,BLR,100
2009,BLR,100
2010,BLR,100
2011,BLR,100
2012,BLR,100
2013,BLR,100
2014,BLR,100
2015,BLR,100
2016,BLR,100
2017,BLR,100
2018,BLR,100
2019,BLR,100
2020,BLR,100
2000,BEL,100
2001,BEL,100
2002,BEL,100
2003,BEL,100
2004,BEL,100
2005,BEL,100
2006,BEL,100
2007,BEL,100
2008,BEL,100
2009,BEL,100
2010,BEL,100
2011,BEL,100
2012,BEL,100
2013,BEL,100
2014,BEL,100
2015,BEL,100
2016,BEL,100
2017,BEL,100
2018,BEL,100
2019,BEL,100
2020,BEL,100
2000,BLZ,79
2001,BLZ,80.2
2002,BLZ,81
2003,BLZ,81.9
2004,BLZ,82.7
2005,BLZ,83.5
2006,BLZ,91
2007,BLZ,85.2
2008,BLZ,86
2009,BLZ,86.8
2010,BLZ,89.9
2011,BLZ,91.7
2012,BLZ,91
2013,BLZ,91.2
2014,BLZ,91.4
2015,BLZ,91.8
2016,BLZ,93.2
2017,BLZ,94.2
2018,BLZ,91.7
2019,BLZ,92.7
2020,BLZ,97.1
2000,BEN,21.5
2001,BEN,21.9
2002,BEN,23.4
2003,BEN,24.3
2004,BEN,25.3
2005,BEN,26.2
2006,BEN,27.9
2007,BEN,28.1
2008,BEN,29
2009,BEN,30
2010,BEN,34.2
2011,BEN,36.9
2012,BEN,38.4
2013,BEN,34.7
2014,BEN,34.1
2015,BEN,29.6
2016,BEN,37.1
2017,BEN,34.5
2018,BEN,39.2
2019,BEN,40.3
2020,BEN,41.4
2000,BMU,100
2001,BMU,100
2002,BMU,100
2003,BMU,100
2004,BMU,100
2005,BMU,100
2006,BMU,100
2007,BMU,100
2008,BMU,100
2009,BMU,100
2010,BMU,100
2011,BMU,100
2012,BMU,100
2013,BMU,100
2014,BMU,100
2015,BMU,100
2016,BMU,100
2017,BMU,100
2018,BMU,100
2019,BMU,100
2020,BMU,100
2000,BTN,31.2
2001,BTN,40
2002,BTN,44
2003,BTN,41.1
2004,BTN,51.8
2005,BTN,59.8
2006,BTN,59.7
2007,BTN,71.8
2008,BTN,67.6
2009,BTN,71.5
2010,BTN,73.3
2011,BTN,81.8
2012,BTN,91.5
2013,BTN,87.5
2014,BTN,91.5
2015,BTN,95.5
2016,BTN,99.6
2017,BTN,97.7
2018,BTN,100
2019,BTN,100
2020,BTN,100
2000,BOL,70
2001,BOL,69.3
2002,BOL,64
2003,BOL,72.3
2004,BOL,75.9
2005,BOL,68.3
2006,BOL,76.2
2007,BOL,80.2
2008,BOL,84.7
2009,BOL,86.8
2010,BOL,87.9
2011,BOL,88.3
2012,BOL,90.4
2013,BOL,89.5
2014,BOL,90
2015,BOL,91.5
2016,BOL,91.8
2017,BOL,91.8
2018,BOL,92.8
2019,BOL,95.1
2020,BOL,97.6
2000,BIH,100
2001,BIH,99.4
2002,BIH,98.5
2003,BIH,100
2004,BIH,100
2005,BIH,100
2006,BIH,99.4
2007,BIH,99.7
2008,BIH,100
2009,BIH,100
2010,BIH,100
2011,BIH,99.7
2012,BIH,100
2013,BIH,99.5
2014,BIH,100
2015,BIH,99.7
2016,BIH,100
2017,BIH,100
2018,BIH,100
2019,BIH,100
2020,BIH,100
2000,BWA,26.4
2001,BWA,24.8
2002,BWA,27
2003,BWA,33.1
2004,BWA,35.3
2005,BWA,37.5
2006,BWA,39.7
2007,BWA,42
2008,BWA,44.5
2009,BWA,43.4
2010,BWA,52
2011,BWA,53.2
2012,BWA,56
2013,BWA,58
2014,BWA,60
2015,BWA,62.1
2016,BWA,64.2
2017,BWA,67.4
2018,BWA,68.2
2019,BWA,70
2020,BWA,72
2000,BRA,94.4
2001,BRA,96
2002,BRA,96.7
2003,BRA,97
2004,BRA,96.8
2005,BRA,97.1
2006,BRA,97.6
2007,BRA,98.1
2008,BRA,98.5
2009,BRA,98.9
2010,BRA,98.6
2011,BRA,99.3
2012,BRA,99.5
2013,BRA,99.6
2014,BRA,99.7
2015,BRA,99.7
2016,BRA,99.7
2017,BRA,99.8
2018,BRA,99.7
2019,BRA,99.8
2020,BRA,100
2000,VGB,97.4
2001,VGB,97.5
2002,VGB,97.6
2003,VGB,97.7
2004,VGB,97.8
2005,VGB,97.9
2006,VGB,98
2007,VGB,98.1
2008,VGB,98.2
2009,VGB,98.3
2010,VGB,98.3
2011,VGB,98.7
2012,VGB,98.9
2013,VGB,99
2014,VGB,99.2
2015,VGB,100
2016,VGB,100
