year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark _high
2015,WLD,Public domestic,67.8,,,,
2016,WLD,Public domestic,67.8,,,,
2017,WLD,Public domestic,67.8,,,,
2015,WLD,International public,6.1,,,,
2016,WLD,International public,6.1,,,,
2017,WLD,International public,6.1,,,,
2015,WLD,Total,73.9,,,,
2016,WLD,Total,73.9,,,,
2017,WLD,Total,73.9,,,,
2030,WLD,Total,,,,200,
