year,geo,disagg_type,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2000,WLD,All,Total,8.7,,,,
2001,WLD,All,Total,9,,,,
2002,WLD,All,Total,9.3,,,,
2003,WLD,All,Total,9.5,,,,
2004,WLD,All,Total,9.8,,,,
2005,WLD,All,Total,10.1,,,,
2006,WLD,All,Total,10.4,,,,
2007,WLD,All,Total,10.7,,,,
2008,WLD,All,Total,11,,,,
2009,WLD,All,Total,11.3,,,,
2010,WLD,All,Total,11.5,,,,
2011,WLD,All,Total,11.8,,,,
2012,WLD,All,Total,12.1,,,,
2013,WLD,All,Total,12.4,,,,
2014,WLD,All,Total,12.7,,,,
2015,WLD,All,Total,13.1,,,,
2016,WLD,All,Total,13.4,,,,
2017,WLD,All,Total,13.8,,,,
2018,WLD,All,Total,14.2,,,,
2019,WLD,All,Total,14.5,,,,
2020,WLD,All,Total,14.9,,,,
2021,WLD,All,Total,15.3,,,,
2022,WLD,All,Total,15.8,,,,
2025,WLD,All,Total,,,,12.4,
2027,WLD,All,Total,,17.8,,,
2000,WLD,Income group,High income ,16.9,,,,
2000,WLD,Income group,Upper middle income ,7.4,,,,
2000,WLD,Income group,Lower middle income ,5,,,,
2000,WLD,Income group,Low income ,3.6,,,,
2001,WLD,Income group,High income ,17.4,,,,
2001,WLD,Income group,Upper middle income ,7.7,,,,
2001,WLD,Income group,Lower middle income ,5.2,,,,
2001,WLD,Income group,Low income ,3.8,,,,
2002,WLD,Income group,High income ,17.9,,,,
2002,WLD,Income group,Upper middle income ,7.9,,,,
2002,WLD,Income group,Lower middle income ,5.5,,,,
2002,WLD,Income group,Low income ,4,,,,
2003,WLD,Income group,High income ,18.5,,,,
2003,WLD,Income group,Upper middle income ,8.1,,,,
2003,WLD,Income group,Lower middle income ,5.7,,,,
2003,WLD,Income group,Low income ,4.3,,,,
2004,WLD,Income group,High income ,19,,,,
2004,WLD,Income group,Upper middle income ,8.4,,,,
2004,WLD,Income group,Lower middle income ,6,,,,
2004,WLD,Income group,Low income ,4.5,,,,
2005,WLD,Income group,High income ,19.5,,,,
2005,WLD,Income group,Upper middle income ,8.7,,,,
2005,WLD,Income group,Lower middle income ,6.2,,,,
2005,WLD,Income group,Low income ,4.7,,,,
2006,WLD,Income group,High income ,20,,,,
2006,WLD,Income group,Upper middle income ,8.9,,,,
2006,WLD,Income group,Lower middle income ,6.5,,,,
2006,WLD,Income group,Low income ,5,,,,
2007,WLD,Income group,High income ,20.4,,,,
2007,WLD,Income group,Upper middle income ,9.2,,,,
2007,WLD,Income group,Lower middle income ,6.8,,,,
2007,WLD,Income group,Low income ,5.3,,,,
2008,WLD,Income group,High income ,20.9,,,,
2008,WLD,Income group,Upper middle income ,9.5,,,,
2008,WLD,Income group,Lower middle income ,7,,,,
2008,WLD,Income group,Low income ,5.6,,,,
2009,WLD,Income group,High income ,21.3,,,,
2009,WLD,Income group,Upper middle income ,9.9,,,,
2009,WLD,Income group,Lower middle income ,7.3,,,,
2009,WLD,Income group,Low income ,5.8,,,,
2010,WLD,Income group,High income ,21.7,,,,
2010,WLD,Income group,Upper middle income ,10.2,,,,
2010,WLD,Income group,Lower middle income ,7.6,,,,
2010,WLD,Income group,Low income ,6,,,,
2011,WLD,Income group,High income ,22,,,,
2011,WLD,Income group,Upper middle income ,10.6,,,,
2011,WLD,Income group,Lower middle income ,7.9,,,,
2011,WLD,Income group,Low income ,6.3,,,,
2012,WLD,Income group,High income ,22.4,,,,
2012,WLD,Income group,Upper middle income ,11,,,,
2012,WLD,Income group,Lower middle income ,8.2,,,,
2012,WLD,Income group,Low income ,6.5,,,,
2013,WLD,Income group,High income ,22.7,,,,
2013,WLD,Income group,Upper middle income ,11.4,,,,
2013,WLD,Income group,Lower middle income ,8.6,,,,
2013,WLD,Income group,Low income ,6.7,,,,
2014,WLD,Income group,High income ,23,,,,
2014,WLD,Income group,Upper middle income ,11.8,,,,
2014,WLD,Income group,Lower middle income ,8.9,,,,
2014,WLD,Income group,Low income ,6.9,,,,
2015,WLD,Income group,High income ,23.4,,,,
2015,WLD,Income group,Upper middle income ,12.2,,,,
2015,WLD,Income group,Lower middle income ,9.3,,,,
2015,WLD,Income group,Low income ,7.1,,,,
2016,WLD,Income group,High income ,23.7,,,,
2016,WLD,Income group,Upper middle income ,12.7,,,,
2016,WLD,Income group,Lower middle income ,9.6,,,,
2016,WLD,Income group,Low income ,7.4,,,,
2017,WLD,Income group,High income ,24.1,,,,
2017,WLD,Income group,Upper middle income ,13.2,,,,
2017,WLD,Income group,Lower middle income ,10,,,,
2017,WLD,Income group,Low income ,7.7,,,,
2018,WLD,Income group,High income ,24.4,,,,
2018,WLD,Income group,Upper middle income ,13.6,,,,
2018,WLD,Income group,Lower middle income ,10.4,,,,
2018,WLD,Income group,Low income ,8,,,,
2019,WLD,Income group,High income ,24.8,,,,
2019,WLD,Income group,Upper middle income ,14.2,,,,
2019,WLD,Income group,Lower middle income ,10.8,,,,
2019,WLD,Income group,Low income ,8.4,,,,
2020,WLD,Income group,High income ,25.2,,,,
2020,WLD,Income group,Upper middle income ,14.7,,,,
2020,WLD,Income group,Lower middle income ,11.2,,,,
2020,WLD,Income group,Low income ,8.8,,,,
2021,WLD,Income group,High income ,25.5,,,,
2021,WLD,Income group,Upper middle income ,15.2,,,,
2021,WLD,Income group,Lower middle income ,11.6,,,,
2021,WLD,Income group,Low income ,9.2,,,,
2022,WLD,Income group,High income ,25.9,,,,
2022,WLD,Income group,Upper middle income ,15.8,,,,
2022,WLD,Income group,Lower middle income ,12.1,,,,
2022,WLD,Income group,Low income ,9.6,,,,
2000,WLD,Sex,Female,10.6,,,,
2001,WLD,Sex,Female,10.8,,,,
2002,WLD,Sex,Female,11.1,,,,
2003,WLD,Sex,Female,11.4,,,,
2004,WLD,Sex,Female,11.6,,,,
2005,WLD,Sex,Female,11.9,,,,
2006,WLD,Sex,Female,12.2,,,,
2007,WLD,Sex,Female,12.5,,,,
2008,WLD,Sex,Female,12.8,,,,
2009,WLD,Sex,Female,13.1,,,,
2010,WLD,Sex,Female,13.4,,,,
2011,WLD,Sex,Female,13.7,,,,
2012,WLD,Sex,Female,14,,,,
2013,WLD,Sex,Female,14.3,,,,
2014,WLD,Sex,Female,14.7,,,,
2015,WLD,Sex,Female,15,,,,
