year,geo,value,projections,benchmark_low,benchmark_mid
2000,WLD,57.9,,,
2001,WLD,58.4,,,
2002,WLD,59,,,
2003,WLD,59.6,,,
2004,WLD,60.1,,,
2005,WLD,60.7,,,
2006,WLD,61.3,,,
2007,WLD,61.8,,,
2008,WLD,62.4,,,
2009,WLD,62.9,,,
2010,WLD,63.4,,,
2011,WLD,63.9,,,
2012,WLD,64.4,,,
2013,WLD,64.8,,,
2014,WLD,65.3,,,
2015,WLD,65.7,,,
2016,WLD,66.1,,,
2017,WLD,66.5,,,
2018,WLD,66.9,,,
2019,WLD,67.3,,,
2020,WLD,67.6,,,
2030,WLD,,71.3,,100
2000,AFG,6.2,,,
2001,AFG,7.2,,,
2002,AFG,8.2,,,
2003,AFG,9.5,,,
2004,AFG,10.9,,,
2005,AFG,12.2,,,
2006,AFG,13.9,,,
2007,AFG,15.3,,,
2008,AFG,16.7,,,
2009,AFG,18.4,,,
2010,AFG,20,,,
2011,AFG,21.8,,,
2012,AFG,23,,,
2013,AFG,24.8,,,
2014,AFG,26.1,,,
2015,AFG,27.4,,,
2016,AFG,28.6,,,
2017,AFG,29.7,,,
2018,AFG,30.9,,,
2019,AFG,31.9,,,
2020,AFG,33.2,,,
2000,AGO,41.1,,,
2001,AGO,41.7,,,
2002,AGO,41.7,,,
2003,AGO,42,,,
2004,AGO,41.9,,,
2005,AGO,42.6,,,
2006,AGO,42.9,,,
2007,AGO,43.5,,,
2008,AGO,43.6,,,
2009,AGO,43.8,,,
2010,AGO,44.3,,,
2011,AGO,44.8,,,
2012,AGO,45.2,,,
2013,AGO,45.8,,,
2014,AGO,46.5,,,
2015,AGO,47.2,,,
2016,AGO,47.8,,,
2017,AGO,48.4,,,
2018,AGO,49.1,,,
2019,AGO,49.5,,,
2020,AGO,50.2,,,
2000,ALB,38.2,,,
2001,ALB,40.5,,,
2002,ALB,43.2,,,
2003,ALB,46.4,,,
2004,ALB,49,,,
2005,ALB,51.9,,,
2006,ALB,54.8,,,
2007,ALB,58.1,,,
2008,ALB,60.8,,,
2009,ALB,63.6,,,
2010,ALB,66.5,,,
2011,ALB,68.9,,,
2012,ALB,71.3,,,
2013,ALB,73.2,,,
2014,ALB,74.6,,,
2015,ALB,76.2,,,
2016,ALB,77.8,,,
2017,ALB,78.7,,,
2018,ALB,79.8,,,
2019,ALB,80.7,,,
2020,ALB,81.3,,,
2000,AND,100,,,
2001,AND,100,,,
2002,AND,100,,,
2003,AND,100,,,
