year,geo,value,projections,benchmark_low,benchmark_mid
2013,DZA,99.4,,,
2014,DZA,99.5,,,
2015,DZA,99.5,,,
2016,DZA,99.6,,,
2017,DZA,99.6,,,
2018,DZA,99.6,,,
2019,DZA,99.7,,,
2020,DZA,99.7,,,
2000,ECU,87.8,,,
2001,ECU,88.8,,,
2002,ECU,89.8,,,
2003,ECU,90.6,,,
2004,ECU,91.1,,,
2005,ECU,91.7,,,
2006,ECU,92.3,,,
2007,ECU,92.7,,,
2008,ECU,93.1,,,
2009,ECU,93.3,,,
2010,ECU,93.6,,,
2011,ECU,93.9,,,
2012,ECU,94,,,
2013,ECU,94.1,,,
2014,ECU,94.3,,,
2015,ECU,94.4,,,
2016,ECU,94.4,,,
2017,ECU,94.4,,,
2018,ECU,94.5,,,
2019,ECU,94.5,,,
2020,ECU,94.3,,,
2000,EGY,83.5,,,
2001,EGY,86.7,,,
2002,EGY,89.4,,,
2003,EGY,92,,,
2004,EGY,93.9,,,
2005,EGY,95.5,,,
2006,EGY,96.7,,,
2007,EGY,97.6,,,
2008,EGY,98.2,,,
2009,EGY,98.8,,,
2010,EGY,99.1,,,
2011,EGY,99.4,,,
2012,EGY,99.6,,,
2013,EGY,99.7,,,
2014,EGY,99.8,,,
2015,EGY,99.8,,,
2016,EGY,99.8,,,
2017,EGY,99.9,,,
2018,EGY,99.9,,,
2019,EGY,99.9,,,
2020,EGY,99.9,,,
2000,ERI,3.5,,,
2001,ERI,3.9,,,
2002,ERI,4.4,,,
2003,ERI,4.9,,,
2004,ERI,5.4,,,
2005,ERI,5.8,,,
2006,ERI,6.4,,,
2007,ERI,6.8,,,
2008,ERI,7.4,,,
2009,ERI,7.7,,,
2010,ERI,8,,,
2011,ERI,8.3,,,
2012,ERI,8.6,,,
2013,ERI,8.9,,,
2014,ERI,8.9,,,
2015,ERI,9,,,
2016,ERI,9,,,
2017,ERI,9.2,,,
2018,ERI,9.1,,,
2019,ERI,9.2,,,
2020,ERI,9.3,,,
2000,ESP,100,,,
2001,ESP,100,,,
2002,ESP,100,,,
2003,ESP,100,,,
2004,ESP,100,,,
2005,ESP,100,,,
2006,ESP,100,,,
2007,ESP,100,,,
2008,ESP,100,,,
2009,ESP,100,,,
2010,ESP,100,,,
2011,ESP,100,,,
2012,ESP,100,,,
2013,ESP,100,,,
2014,ESP,100,,,
2015,ESP,100,,,
2016,ESP,100,,,
2017,ESP,100,,,
2018,ESP,100,,,
2019,ESP,100,,,
2020,ESP,100,,,
2000,EST,100,,,
2001,EST,100,,,
2002,EST,100,,,
2003,EST,100,,,
2004,EST,100,,,
2005,EST,100,,,
2006,EST,100,,,
2007,EST,100,,,
2008,EST,100,,,
2009,EST,100,,,
2010,EST,100,,,
2011,EST,100,,,
2012,EST,100,,,
2013,EST,100,,,
2014,EST,100,,,
2015,EST,100,,,
2016,EST,100,,,
2017,EST,100,,,
2018,EST,100,,,
2019,EST,100,,,
2020,EST,100,,,
2000,ETH,0.9,,,
2001,ETH,0.9,,,
2002,ETH,1,,,
2003,ETH,1,,,
2004,ETH,1.1,,,
2005,ETH,1.1,,,
2006,ETH,1.3,,,
2007,ETH,1.4,,,
2008,ETH,1.6,,,
2009,ETH,1.9,,,
2010,ETH,2.1,,,
2011,ETH,2.5,,,
2012,ETH,2.9,,,
2013,ETH,3.2,,,
2014,ETH,3.7,,,
2015,ETH,4.3,,,
2016,ETH,4.9,,,
2017,ETH,5.5,,,
2018,ETH,6.2,,,
2019,ETH,7,,,
2020,ETH,7.8,,,
2000,FIN,100,,,
2001,FIN,100,,,
2002,FIN,100,,,
2003,FIN,100,,,
2004,FIN,100,,,
2005,FIN,100,,,
2006,FIN,100,,,
2007,FIN,100,,,
2008,FIN,100,,,
2009,FIN,100,,,
2010,FIN,100,,,
2011,FIN,100,,,
2012,FIN,100,,,
2013,FIN,100,,,
2014,FIN,100,,,
2015,FIN,100,,,
2016,FIN,100,,,
2017,FIN,100,,,
2018,FIN,100,,,
2019,FIN,100,,,
2020,FIN,100,,,
2000,FJI,28.2,,,
2001,FJI,28.2,,,
2002,FJI,28.2,,,
2003,FJI,28.3,,,
2004,FJI,28.5,,,
2005,FJI,28.7,,,
2006,FJI,29.2,,,
2007,FJI,29.6,,,
2008,FJI,30.2,,,
2009,FJI,31,,,
2010,FJI,31.9,,,
2011,FJI,33.2,,,
2012,FJI,34.5,,,
2013,FJI,36.6,,,
2014,FJI,38.1,,,
2015,FJI,40.3,,,
2016,FJI,42.4,,,
2017,FJI,44.6,,,
2018,FJI,46.7,,,
2019,FJI,49.4,,,
2020,FJI,51.4,,,
2000,FRA,100,,,
2001,FRA,100,,,
2002,FRA,100,,,
2003,FRA,100,,,
2004,FRA,100,,,
2005,FRA,100,,,
2006,FRA,100,,,
2007,FRA,100,,,
2008,FRA,100,,,
2009,FRA,100,,,
2010,FRA,100,,,
2011,FRA,100,,,
2012,FRA,100,,,
2013,FRA,100,,,
2014,FRA,100,,,
2015,FRA,100,,,
2016,FRA,100,,,
2017,FRA,100,,,
2018,FRA,100,,,
2019,FRA,100,,,
2020,FRA,100,,,
2000,FSM,10.8,,,
2001,FSM,10.9,,,
2002,FSM,10.8,,,
2003,FSM,10.7,,,
2004,FSM,10.9,,,
2005,FSM,10.9,,,
2006,FSM,11.1,,,
2007,FSM,11.2,,,
2008,FSM,11.3,,,
2009,FSM,11.4,,,
2010,FSM,11.6,,,
2011,FSM,11.8,,,
2012,FSM,11.9,,,
2013,FSM,12,,,
2014,FSM,12.2,,,
2015,FSM,12.4,,,
2016,FSM,12.6,,,
2017,FSM,12.6,,,
2018,FSM,12.7,,,
2019,FSM,12.8,,,
2020,FSM,13,,,
2000,GAB,64.6,,,
2001,GAB,66.5,,,
2002,GAB,68,,,
2003,GAB,69.6,,,
2004,GAB,71.1,,,
2005,GAB,72.7,,,
2006,GAB,74.5,,,
2007,GAB,75.9,,,
2008,GAB,77.7,,,
2009,GAB,79,,,
2010,GAB,80.4,,,
2011,GAB,81.6,,,
2012,GAB,82.7,,,
2013,GAB,83.6,,,
2014,GAB,84.7,,,
2015,GAB,85.6,,,
2016,GAB,86.2,,,
2017,GAB,86.8,,,
2018,GAB,87.4,,,
2019,GAB,87.8,,,
2020,GAB,88.1,,,
2000,GBR,100,,,
2001,GBR,100,,,
2002,GBR,100,,,
2003,GBR,100,,,
2004,GBR,100,,,
2005,GBR,100,,,
2006,GBR,100,,,
2007,GBR,100,,,
2008,GBR,100,,,
2009,GBR,100,,,
2010,GBR,100,,,
2011,GBR,100,,,
2012,GBR,100,,,
2013,GBR,100,,,
2014,GBR,100,,,
2015,GBR,100,,,
2016,GBR,100,,,
2017,GBR,100,,,
2018,GBR,100,,,
2019,GBR,100,,,
2020,GBR,100,,,
2000,GEO,48.1,,,
2001,GEO,49.1,,,
2002,GEO,49.6,,,
2003,GEO,51.1,,,
2004,GEO,52.7,,,
2005,GEO,54.2,,,
2006,GEO,56.4,,,
2007,GEO,58.3,,,
2008,GEO,60.8,,,
2009,GEO,63,,,
2010,GEO,65.6,,,
2011,GEO,68.7,,,
2012,GEO,71.7,,,
2013,GEO,74.1,,,
2014,GEO,77,,,
2015,GEO,79.3,,,
2016,GEO,81.7,,,
2017,GEO,84,,,
2018,GEO,85.8,,,
2019,GEO,87.7,,,
2020,GEO,89.1,,,
2000,GHA,6.2,,,
2001,GHA,6.6,,,
2002,GHA,7.2,,,
2003,GHA,7.9,,,
2004,GHA,8.5,,,
2005,GHA,9.5,,,
2006,GHA,10.5,,,
2007,GHA,11.8,,,
2008,GHA,13,,,
2009,GHA,14.5,,,
2010,GHA,16,,,
2011,GHA,17.3,,,
2012,GHA,18.7,,,
2013,GHA,19.6,,,
2014,GHA,20.5,,,
2015,GHA,21.1,,,
2016,GHA,21.8,,,
2017,GHA,21.9,,,
2018,GHA,22.2,,,
2019,GHA,22.4,,,
2020,GHA,22.2,,,
2000,GIN,0.7,,,
2001,GIN,0.7,,,
2002,GIN,0.7,,,
2003,GIN,0.7,,,
2004,GIN,0.7,,,
2005,GIN,0.7,,,
2006,GIN,0.7,,,
2007,GIN,0.7,,,
2008,GIN,0.7,,,
2009,GIN,0.7,,,
2010,GIN,0.7,,,
2011,GIN,0.8,,,
2012,GIN,0.8,,,
2013,GIN,0.8,,,
2014,GIN,0.9,,,
2015,GIN,1,,,
2016,GIN,1.1,,,
2017,GIN,1.2,,,
2018,GIN,1.4,,,
2019,GIN,1.6,,,
2020,GIN,1.9,,,
2000,GMB,3.7,,,
2001,GMB,3.7,,,
2002,GMB,3.8,,,
2003,GMB,3.7,,,
2004,GMB,3.6,,,
2005,GMB,3.4,,,
2006,GMB,3.3,,,
2007,GMB,3.1,,,
2008,GMB,3,,,
2009,GMB,2.8,,,
2010,GMB,2.7,,,
2011,GMB,2.4,,,
2012,GMB,2.3,,,
2013,GMB,2.2,,,
2014,GMB,2.1,,,
2015,GMB,2,,,
2016,GMB,1.9,,,
2017,GMB,1.9,,,
2018,GMB,1.8,,,
2019,GMB,1.8,,,
2020,GMB,1.7,,,
2000,GNB,1.4,,,
2001,GNB,1.3,,,
2002,GNB,1.3,,,
2003,GNB,1.2,,,
2004,GNB,1.2,,,
2005,GNB,1.2,,,
2006,GNB,1.2,,,
2007,GNB,1.1,,,
2008,GNB,1.1,,,
2009,GNB,1.1,,,
2010,GNB,1.1,,,
2011,GNB,1.1,,,
2012,GNB,1.1,,,
2013,GNB,1.1,,,
2014,GNB,1.1,,,
2015,GNB,1.1,,,
2016,GNB,1.1,,,
2017,GNB,1.1,,,
2018,GNB,1.2,,,
2019,GNB,1,,,
2020,GNB,1.1,,,
2000,GNQ,19,,,
2001,GNQ,19.5,,,
2002,GNQ,19.4,,,
2003,GNQ,19.6,,,
2004,GNQ,20.1,,,
2005,GNQ,20.8,,,
2006,GNQ,21.3,,,
2007,GNQ,21.7,,,
2008,GNQ,22.1,,,
2009,GNQ,22.5,,,
2010,GNQ,22.7,,,
2011,GNQ,23.4,,,
2012,GNQ,24,,,
2013,GNQ,23.6,,,
2014,GNQ,23.9,,,
2015,GNQ,24,,,
2016,GNQ,23.9,,,
2017,GNQ,24.2,,,
2018,GNQ,24.1,,,
2019,GNQ,24,,,
2020,GNQ,24.5,,,
2000,GRC,100,,,
2001,GRC,100,,,
2002,GRC,100,,,
2003,GRC,100,,,
2004,GRC,100,,,
2005,GRC,100,,,
2006,GRC,100,,,
2007,GRC,100,,,
2008,GRC,100,,,
2009,GRC,100,,,
2010,GRC,100,,,
2011,GRC,100,,,
2012,GRC,100,,,
2013,GRC,100,,,
2014,GRC,100,,,
2015,GRC,100,,,
2016,GRC,100,,,
2017,GRC,100,,,
2018,GRC,100,,,
2019,GRC,100,,,
2020,GRC,100,,,
2000,GRD,92.4,,,
2001,GRD,92.8,,,
2002,GRD,92.8,,,
2003,GRD,93.1,,,
2004,GRD,93.1,,,
2005,GRD,93.2,,,
2006,GRD,93.3,,,
2007,GRD,93.2,,,
2008,GRD,93.2,,,
2009,GRD,92.9,,,
2010,GRD,92.7,,,
2011,GRD,92.6,,,
2012,GRD,92.2,,,
2013,GRD,91.7,,,
2014,GRD,91.5,,,
2015,GRD,91.2,,,
2016,GRD,90.9,,,
2017,GRD,90.3,,,
2018,GRD,89.9,,,
2019,GRD,89.6,,,
2020,GRD,89.1,,,
2000,GTM,40.6,,,
2001,GTM,39.7,,,
2002,GTM,39,,,
2003,GTM,38.2,,,
2004,GTM,37.6,,,
2005,GTM,37.5,,,
2006,GTM,37.3,,,
2007,GTM,37.1,,,
2008,GTM,37.1,,,
2009,GTM,37.4,,,
2010,GTM,38.1,,,
2011,GTM,38.4,,,
2012,GTM,39.2,,,
2013,GTM,40.2,,,
2014,GTM,41.6,,,
2015,GTM,42.7,,,
2016,GTM,44.3,,,
2017,GTM,45.7,,,
2018,GTM,47,,,
2019,GTM,48.6,,,
2020,GTM,50.1,,,
2000,GUY,35.6,,,
2001,GUY,37.7,,,
2002,GUY,39.9,,,
2003,GUY,42.4,,,
2004,GUY,45,,,
2005,GUY,47.6,,,
2006,GUY,50.3,,,
2007,GUY,53,,,
2008,GUY,55.8,,,
2009,GUY,58.5,,,
2010,GUY,61,,,
2011,GUY,63.7,,,
2012,GUY,66.2,,,
2013,GUY,68.6,,,
2014,GUY,70.9,,,
2015,GUY,72.8,,,
2016,GUY,74.7,,,
2017,GUY,76.2,,,
2018,GUY,77.9,,,
2019,GUY,79.5,,,
2020,GUY,80.6,,,
2000,HND,30.7,,,
2001,HND,32.2,,,
2002,HND,33.8,,,
2003,HND,35,,,
2004,HND,36.3,,,
2005,HND,37.4,,,
2006,HND,38.7,,,
2007,HND,39.8,,,
2008,HND,40.8,,,
2009,HND,41.5,,,
2010,HND,42.5,,,
2011,HND,43.2,,,
2012,HND,43.8,,,
2013,HND,44.5,,,
2014,HND,45.1,,,
2015,HND,45.9,,,
2016,HND,46.5,,,
2017,HND,47.1,,,
2018,HND,47.2,,,
2019,HND,48.1,,,
2020,HND,48.3,,,
2000,HRV,100,,,
2001,HRV,100,,,
2002,HRV,100,,,
2003,HRV,100,,,
2004,HRV,100,,,
2005,HRV,100,,,
2006,HRV,100,,,
2007,HRV,100,,,
2008,HRV,100,,,
2009,HRV,100,,,
2010,HRV,100,,,
2011,HRV,100,,,
2012,HRV,100,,,
2013,HRV,100,,,
2014,HRV,100,,,
2015,HRV,100,,,
2016,HRV,100,,,
2017,HRV,100,,,
2018,HRV,100,,,
2019,HRV,100,,,
2020,HRV,100,,,
2000,HTI,2.6,,,
2001,HTI,2.7,,,
2002,HTI,2.9,,,
2003,HTI,3,,,
2004,HTI,3.1,,,
2005,HTI,3.1,,,
2006,HTI,3.3,,,
2007,HTI,3.4,,,
2008,HTI,3.4,,,
2009,HTI,3.6,,,
2010,HTI,3.6,,,
2011,HTI,3.7,,,
2012,HTI,3.7,,,
2013,HTI,3.7,,,
2014,HTI,3.8,,,
2015,HTI,4,,,
2016,HTI,4,,,
2017,HTI,4.1,,,
2018,HTI,4.3,,,
2019,HTI,4.4,,,
2020,HTI,4.5,,,
2000,HUN,100,,,
2001,HUN,100,,,
2002,HUN,100,,,
2003,HUN,100,,,
2004,HUN,100,,,
2005,HUN,100,,,
2006,HUN,100,,,
2007,HUN,100,,,
2008,HUN,100,,,
2009,HUN,100,,,
2010,HUN,100,,,
2011,HUN,100,,,
2012,HUN,100,,,
2013,HUN,100,,,
2014,HUN,100,,,
2015,HUN,100,,,
2016,HUN,100,,,
2017,HUN,100,,,
2018,HUN,100,,,
2019,HUN,100,,,
2020,HUN,100,,,
2000,IDN,6.1,,,
2001,IDN,6.9,,,
2002,IDN,8,,,
2003,IDN,9.3,,,
2004,IDN,11.3,,,
2005,IDN,14.1,,,
2006,IDN,17.9,,,
2007,IDN,22.5,,,
2008,IDN,28.5,,,
2009,IDN,34.7,,,
2010,IDN,41.3,,,
2011,IDN,47.3,,,
2012,IDN,52.9,,,
2013,IDN,58,,,
2014,IDN,62.8,,,
2015,IDN,67.1,,,
2016,IDN,71.2,,,
2017,IDN,75.1,,,
2018,IDN,78.7,,,
2019,IDN,81.9,,,
2020,IDN,84.5,,,
2000,IND,22.3,,,
2001,IND,23.4,,,
2002,IND,24.7,,,
2003,IND,25.9,,,
2004,IND,27.3,,,
2005,IND,28.6,,,
2006,IND,29.5,,,
2007,IND,30.6,,,
2008,IND,32,,,
2009,IND,34,,,
2010,IND,35.4,,,
2011,IND,37.2,,,
2012,IND,39.6,,,
2013,IND,41.6,,,
2014,IND,44.8,,,
2015,IND,48.2,,,
2016,IND,51.4,,,
2017,IND,55.8,,,
2018,IND,59.8,,,
2019,IND,63.9,,,
2020,IND,67.9,,,
2000,IRL,100,,,
2001,IRL,100,,,
2002,IRL,100,,,
2003,IRL,100,,,
2004,IRL,100,,,
2005,IRL,100,,,
2006,IRL,100,,,
2007,IRL,100,,,
2008,IRL,100,,,
2009,IRL,100,,,
2010,IRL,100,,,
2011,IRL,100,,,
2012,IRL,100,,,
2013,IRL,100,,,
2014,IRL,100,,,
2015,IRL,100,,,
2016,IRL,100,,,
2017,IRL,100,,,
2018,IRL,100,,,
2019,IRL,100,,,
2020,IRL,100,,,
2000,IRN,93.2,,,
2001,IRN,93.6,,,
2002,IRN,94.3,,,
2003,IRN,94.6,,,
2004,IRN,95.1,,,
2005,IRN,95.3,,,
2006,IRN,95.8,,,
2007,IRN,96,,,
2008,IRN,96.1,,,
2009,IRN,96.4,,,
2010,IRN,96.5,,,
2011,IRN,96.8,,,
2012,IRN,96.7,,,
2013,IRN,96.6,,,
2014,IRN,96.7,,,
2015,IRN,96.6,,,
2016,IRN,96.7,,,
2017,IRN,96.7,,,
2018,IRN,96.5,,,
2019,IRN,96.4,,,
2020,IRN,96.1,,,
2000,IRQ,74.1,,,
2001,IRQ,77,,,
2002,IRQ,79.4,,,
2003,IRQ,82.2,,,
2004,IRQ,84.9,,,
2005,IRQ,87,,,
2006,IRQ,89.1,,,
2007,IRQ,90.9,,,
2008,IRQ,92.6,,,
2009,IRQ,93.9,,,
2010,IRQ,95,,,
2011,IRQ,96.1,,,
2012,IRQ,96.7,,,
2013,IRQ,97.3,,,
2014,IRQ,97.7,,,
2015,IRQ,98.1,,,
2016,IRQ,98.3,,,
2017,IRQ,98.7,,,
2018,IRQ,98.8,,,
2019,IRQ,98.9,,,
2020,IRQ,99,,,
2000,ISL,100,,,
2001,ISL,100,,,
2002,ISL,100,,,
2003,ISL,100,,,
2004,ISL,100,,,
2005,ISL,100,,,
2006,ISL,100,,,
2007,ISL,100,,,
2008,ISL,100,,,
2009,ISL,100,,,
2010,ISL,100,,,
2011,ISL,100,,,
2012,ISL,100,,,
2013,ISL,100,,,
2014,ISL,100,,,
2015,ISL,100,,,
2016,ISL,100,,,
2017,ISL,100,,,
2018,ISL,100,,,
2019,ISL,100,,,
2020,ISL,100,,,
2000,ISR,100,,,
2001,ISR,100,,,
2002,ISR,100,,,
2003,ISR,100,,,
2004,ISR,100,,,
2005,ISR,100,,,
2006,ISR,100,,,
2007,ISR,100,,,
2008,ISR,100,,,
2009,ISR,100,,,
2010,ISR,100,,,
2011,ISR,100,,,
2012,ISR,100,,,
2013,ISR,100,,,
2014,ISR,100,,,
2015,ISR,100,,,
2016,ISR,100,,,
2017,ISR,100,,,
2018,ISR,100,,,
2019,ISR,100,,,
2020,ISR,100,,,
2000,ITA,100,,,
2001,ITA,100,,,
2002,ITA,100,,,
2003,ITA,100,,,
2004,ITA,100,,,
2005,ITA,100,,,
2006,ITA,100,,,
2007,ITA,100,,,
2008,ITA,100,,,
2009,ITA,100,,,
2010,ITA,100,,,
2011,ITA,100,,,
2012,ITA,100,,,
2013,ITA,100,,,
2014,ITA,100,,,
2015,ITA,100,,,
2016,ITA,100,,,
2017,ITA,100,,,
2018,ITA,100,,,
2019,ITA,100,,,
2020,ITA,100,,,
2000,JAM,75.7,,,
2001,JAM,77.6,,,
2002,JAM,79.2,,,
2003,JAM,80.6,,,
2004,JAM,81.9,,,
2005,JAM,83.4,,,
2006,JAM,84.1,,,
2007,JAM,84.9,,,
2008,JAM,85.4,,,
2009,JAM,85.8,,,
2010,JAM,85.9,,,
2011,JAM,86.2,,,
2012,JAM,86.1,,,
2013,JAM,86,,,
2014,JAM,85.9,,,
2015,JAM,85.4,,,
2016,JAM,85,,,
2017,JAM,84.5,,,
2018,JAM,83.9,,,
2019,JAM,83.4,,,
2020,JAM,82.7,,,
2000,JOR,99.6,,,
2001,JOR,99.7,,,
2002,JOR,99.8,,,
2003,JOR,99.8,,,
2004,JOR,99.8,,,
2005,JOR,99.8,,,
2006,JOR,99.9,,,
2007,JOR,99.9,,,
2008,JOR,99.9,,,
2009,JOR,99.9,,,
2010,JOR,99.9,,,
2011,JOR,99.9,,,
2012,JOR,99.9,,,
2013,JOR,99.9,,,
2014,JOR,99.9,,,
2015,JOR,99.9,,,
2016,JOR,99.9,,,
2017,JOR,99.9,,,
2018,JOR,99.9,,,
2019,JOR,99.9,,,
2020,JOR,99.9,,,
2000,JPN,100,,,
2001,JPN,100,,,
2002,JPN,100,,,
2003,JPN,100,,,
2004,JPN,100,,,
2005,JPN,100,,,
2006,JPN,100,,,
2007,JPN,100,,,
2008,JPN,100,,,
2009,JPN,100,,,
2010,JPN,100,,,
2011,JPN,100,,,
2012,JPN,100,,,
2013,JPN,100,,,
2014,JPN,100,,,
2015,JPN,100,,,
2016,JPN,100,,,
2017,JPN,100,,,
2018,JPN,100,,,
2019,JPN,100,,,
2020,JPN,100,,,
2000,KAZ,84.4,,,
2001,KAZ,85.7,,,
2002,KAZ,86.5,,,
2003,KAZ,87.4,,,
2004,KAZ,87.8,,,
2005,KAZ,88.7,,,
2006,KAZ,89.3,,,
2007,KAZ,89.9,,,
2008,KAZ,90.6,,,
2009,KAZ,91.2,,,
2010,KAZ,91.7,,,
2011,KAZ,92.3,,,
2012,KAZ,92.4,,,
2013,KAZ,92.6,,,
2014,KAZ,92.9,,,
2015,KAZ,93.3,,,
2016,KAZ,93.1,,,
2017,KAZ,93.1,,,
2018,KAZ,92.9,,,
2019,KAZ,92.8,,,
2020,KAZ,92.7,,,
2000,KEN,1.8,,,
2001,KEN,2.2,,,
2002,KEN,2.6,,,
2003,KEN,3.1,,,
2004,KEN,3.6,,,
2005,KEN,4.2,,,
2006,KEN,4.8,,,
2007,KEN,5.3,,,
2008,KEN,6,,,
2009,KEN,6.6,,,
2010,KEN,7.2,,,
2011,KEN,8,,,
2012,KEN,8.7,,,
2013,KEN,9.6,,,
2014,KEN,10.6,,,
2015,KEN,11.6,,,
2016,KEN,13,,,
2017,KEN,14.4,,,
2018,KEN,16,,,
2019,KEN,17.7,,,
2020,KEN,19.5,,,
2000,KGZ,52.7,,,
2001,KGZ,55,,,
2002,KGZ,56.4,,,
2003,KGZ,58.2,,,
2004,KGZ,60.5,,,
2005,KGZ,62.4,,,
2006,KGZ,64.3,,,
2007,KGZ,66.4,,,
2008,KGZ,68.2,,,
2009,KGZ,70,,,
2010,KGZ,71.6,,,
2011,KGZ,73.3,,,
2012,KGZ,74.7,,,
2013,KGZ,75.4,,,
2014,KGZ,76,,,
2015,KGZ,76.3,,,
2016,KGZ,76.6,,,
2017,KGZ,76.6,,,
2018,KGZ,76.9,,,
2019,KGZ,76.6,,,
2020,KGZ,76.6,,,
2000,KHM,3.6,,,
2001,KHM,4.1,,,
2002,KHM,4.7,,,
2003,KHM,5.3,,,
2004,KHM,5.9,,,
2005,KHM,6.7,,,
2006,KHM,7.6,,,
2007,KHM,8.4,,,
2008,KHM,9.4,,,
2009,KHM,10.5,,,
2010,KHM,11.7,,,
2011,KHM,13.1,,,
2012,KHM,14.5,,,
2013,KHM,16.2,,,
2014,KHM,18,,,
2015,KHM,20.3,,,
2016,KHM,22.7,,,
2017,KHM,25.5,,,
2018,KHM,28.9,,,
2019,KHM,32.6,,,
2020,KHM,36.8,,,
2000,KIR,1.6,,,
2001,KIR,1.7,,,
2002,KIR,1.7,,,
2003,KIR,1.8,,,
2004,KIR,1.9,,,
2005,KIR,2,,,
2006,KIR,2.1,,,
2007,KIR,2.3,,,
2008,KIR,2.6,,,
2009,KIR,2.9,,,
2010,KIR,3.2,,,
2011,KIR,3.6,,,
2012,KIR,4.1,,,
2013,KIR,4.5,,,
2014,KIR,5.2,,,
2015,KIR,5.7,,,
2016,KIR,6.5,,,
2017,KIR,7.2,,,
2018,KIR,8.2,,,
2019,KIR,9.1,,,
2020,KIR,9.9,,,
2000,KNA,100,,,
2001,KNA,100,,,
2002,KNA,100,,,
2003,KNA,100,,,
2004,KNA,100,,,
2005,KNA,100,,,
2006,KNA,100,,,
2007,KNA,100,,,
2008,KNA,100,,,
2009,KNA,100,,,
2010,KNA,100,,,
2011,KNA,100,,,
2012,KNA,100,,,
2013,KNA,100,,,
2014,KNA,100,,,
2015,KNA,100,,,
2016,KNA,100,,,
2017,KNA,100,,,
2018,KNA,100,,,
2019,KNA,100,,,
2020,KNA,100,,,
2000,KOR,100,,,
2001,KOR,100,,,
2002,KOR,100,,,
2003,KOR,100,,,
2004,KOR,100,,,
2005,KOR,100,,,
2006,KOR,100,,,
2007,KOR,100,,,
2008,KOR,100,,,
2009,KOR,100,,,
2010,KOR,100,,,
2011,KOR,100,,,
2012,KOR,100,,,
2013,KOR,100,,,
2014,KOR,100,,,
2015,KOR,100,,,
2016,KOR,100,,,
2017,KOR,100,,,
2018,KOR,100,,,
2019,KOR,100,,,
2020,KOR,100,,,
2000,KWT,100,,,
2001,KWT,100,,,
2002,KWT,100,,,
2003,KWT,100,,,
2004,KWT,100,,,
2005,KWT,100,,,
2006,KWT,100,,,
2007,KWT,100,,,
2008,KWT,100,,,
2009,KWT,100,,,
2010,KWT,100,,,
2011,KWT,100,,,
2012,KWT,100,,,
2013,KWT,100,,,
2014,KWT,100,,,
2015,KWT,100,,,
2016,KWT,100,,,
2017,KWT,100,,,
2018,KWT,100,,,
2019,KWT,100,,,
2020,KWT,100,,,
2000,LAO,1.3,,,
2001,LAO,1.4,,,
2002,LAO,1.5,,,
2003,LAO,1.7,,,
2004,LAO,1.8,,,
2005,LAO,2.1,,,
2006,LAO,2.3,,,
2007,LAO,2.6,,,
2008,LAO,2.9,,,
2009,LAO,3.3,,,
2010,LAO,3.5,,,
2011,LAO,4.1,,,
2012,LAO,4.4,,,
2013,LAO,4.8,,,
2014,LAO,5.2,,,
2015,LAO,5.7,,,
2016,LAO,6.2,,,
2017,LAO,6.7,,,
2018,LAO,7.2,,,
2019,LAO,7.7,,,
2020,LAO,8.5,,,
2000,LBR,0.7,,,
2001,LBR,0.6,,,
2002,LBR,0.6,,,
2003,LBR,0.6,,,
2004,LBR,0.5,,,
2005,LBR,0.5,,,
2006,LBR,0.5,,,
2007,LBR,0.4,,,
2008,LBR,0.4,,,
2009,LBR,0.4,,,
2010,LBR,0.4,,,
2011,LBR,0.4,,,
2012,LBR,0.4,,,
2013,LBR,0.3,,,
2014,LBR,0.4,,,
2015,LBR,0.4,,,
2016,LBR,0.4,,,
2017,LBR,0.4,,,
2018,LBR,0.4,,,
2019,LBR,0.4,,,
2020,LBR,0.4,,,
2000,LCA,86.2,,,
2001,LCA,87.7,,,
2002,LCA,89.1,,,
2003,LCA,90.4,,,
2004,LCA,91.4,,,
2005,LCA,92.3,,,
2006,LCA,93.2,,,
2007,LCA,93.9,,,
2008,LCA,94.4,,,
2009,LCA,94.9,,,
2010,LCA,95.2,,,
2011,LCA,95.4,,,
2012,LCA,95.4,,,
2013,LCA,95.5,,,
2014,LCA,95.5,,,
2015,LCA,95.3,,,
2016,LCA,95.2,,,
2017,LCA,95,,,
2018,LCA,94.8,,,
2019,LCA,94.4,,,
2020,LCA,94.3,,,
2000,LKA,16.9,,,
2001,LKA,17.5,,,
2002,LKA,17.9,,,
2003,LKA,18.5,,,
2004,LKA,18.7,,,
2005,LKA,19.5,,,
2006,LKA,19.8,,,
2007,LKA,20.3,,,
2008,LKA,20.9,,,
2009,LKA,21.3,,,
2010,LKA,21.7,,,
2011,LKA,22.3,,,
2012,LKA,23,,,
2013,LKA,24,,,
2014,LKA,24.8,,,
2015,LKA,25.8,,,
2016,LKA,26.9,,,
2017,LKA,28.2,,,
2018,LKA,29.4,,,
2019,LKA,30.6,,,
2020,LKA,32.2,,,
2000,LSO,16,,,
2001,LSO,17.5,,,
2002,LSO,19.2,,,
2003,LSO,20.8,,,
2004,LSO,22.2,,,
2005,LSO,23.9,,,
2006,LSO,25.5,,,
2007,LSO,26.9,,,
2008,LSO,28.4,,,
2009,LSO,29.9,,,
2010,LSO,31.2,,,
2011,LSO,32.5,,,
2012,LSO,33.8,,,
2013,LSO,35,,,
2014,LSO,35.8,,,
2015,LSO,36.5,,,
