year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2012,WLD,Public,136,,,,
2013,WLD,Public,143,,,,
2014,WLD,Public,147,,,,
2015,WLD,Public,205,,,,
2016,WLD,Public,224,,,,
2017,WLD,Public,341,,,,
2018,WLD,Public,261,,,,
2019,WLD,Public,343,,,,
2020,WLD,Public,300,,,,
2012,WLD,Private,224,,,,
2013,WLD,Private,199,,,,
2014,WLD,Private,241,,,,
2015,WLD,Private,267,,,,
2016,WLD,Private,230,,,,
2017,WLD,Private,268,,,,
2018,WLD,Private,280,,,,
2019,WLD,Private,280,,,,
2020,WLD,Private,340,,,,
2012,WLD,Total,360,,,,
2013,WLD,Total,342,,,,
2014,WLD,Total,388,,,,
2015,WLD,Total,472,,,,
2016,WLD,Total,454,,,,
2017,WLD,Total,609,,,,
2018,WLD,Total,541,,,,
2019,WLD,Total,623,,,,
2020,WLD,Total,640,,,,
2030,WLD,,,454,1305,1957.5,2610
2050,WLD,,,,1285,1927.5,2570
