year,geo,disagg_type,disagg,value
2005,WLD,All,Total,34
2006,WLD,All,Total,42
2007,WLD,All,Total,51
2008,WLD,All,Total,60
2009,WLD,All,Total,68
2010,WLD,All,Total,77
2011,WLD,All,Total,84
2012,WLD,All,Total,89
2013,WLD,All,Total,93
2014,WLD,All,Total,97
2015,WLD,All,Total,96
2016,WLD,All,Total,99
2017,WLD,All,Total,101
2018,WLD,All,Total,103
2019,WLD,All,Total,106
2020,WLD,All,Total,105
2021,WLD,All,Total,107
2022,WLD,All,Total,108
2023,WLD,All,Total,110
2024,WLD,All,Total,110
2025,WLD,All,Total,112
2015,WLD,Income level,High income,123
2016,WLD,Income level,High income,123
2017,WLD,Income level,High income,123
2018,WLD,Income level,High income,124
2019,WLD,Income level,High income,126
2020,WLD,Income level,High income,126
2021,WLD,Income level,High income,129
2022,WLD,Income level,High income,131
2023,WLD,Income level,High income,136
2024,WLD,Income level,High income,139
2025,WLD,Income level,High income,142
2015,WLD,Income level,Upper middle income,106
2016,WLD,Income level,Upper middle income,110
2017,WLD,Income level,Upper middle income,114
2018,WLD,Income level,Upper middle income,116
2019,WLD,Income level,Upper middle income,121
2020,WLD,Income level,Upper middle income,120
2021,WLD,Income level,Upper middle income,123
2022,WLD,Income level,Upper middle income,124
2023,WLD,Income level,Upper middle income,128
2024,WLD,Income level,Upper middle income,130
2025,WLD,Income level,Upper middle income,132
2015,WLD,Income level,Lower middle income,82
2016,WLD,Income level,Lower middle income,87
2017,WLD,Income level,Lower middle income,88
2018,WLD,Income level,Lower middle income,91
2019,WLD,Income level,Lower middle income,92
2020,WLD,Income level,Lower middle income,93
2021,WLD,Income level,Lower middle income,93
2022,WLD,Income level,Lower middle income,94
2023,WLD,Income level,Lower middle income,93
2024,WLD,Income level,Lower middle income,91
2025,WLD,Income level,Lower middle income,90
2015,WLD,Income level,Low income,53
2016,WLD,Income level,Low income,51
2017,WLD,Income level,Low income,51
2018,WLD,Income level,Low income,51
2019,WLD,Income level,Low income,52
2020,WLD,Income level,Low income,58
2021,WLD,Income level,Low income,60
2022,WLD,Income level,Low income,63
2023,WLD,Income level,Low income,65
2024,WLD,Income level,Low income,67
2025,WLD,Income level,Low income,69
2000,WLD,Regions,East Asia & Pacific,11
2001,WLD,Regions,East Asia & Pacific,16
2002,WLD,Regions,East Asia & Pacific,20
2003,WLD,Regions,East Asia & Pacific,25
2004,WLD,Regions,East Asia & Pacific,30
2005,WLD,Regions,East Asia & Pacific,34
2006,WLD,Regions,East Asia & Pacific,40
2007,WLD,Regions,East Asia & Pacific,48
2008,WLD,Regions,East Asia & Pacific,57
2009,WLD,Regions,East Asia & Pacific,65
