year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
1990,WLD,19.7,,,,
1991,WLD,19.5,,,,
1992,WLD,19.0,,,,
1993,WLD,19.1,,,,
1994,WLD,19.3,,,,
1995,WLD,19.5,,,,
1996,WLD,20.0,,,,
1997,WLD,20.0,,,,
1998,WLD,20.4,,,,
1999,WLD,20.6,,,,
2000,WLD,20.7,,,,
2001,WLD,21.1,,,,
2002,WLD,21.5,,,,
2003,WLD,22.3,,,,
2004,WLD,22.9,,,,
2005,WLD,23.5,,,,
2006,WLD,24.2,,,,
2007,WLD,24.4,,,,
2008,WLD,24.7,,,,
2009,WLD,24.9,,,,
2010,WLD,25.0,,,,
2011,WLD,25.2,,,,
2012,WLD,25.7,,,,
2013,WLD,26.2,,,,
2014,WLD,26.3,,,,
2015,WLD,26.7,,,,
2016,WLD,27.2,,,,
2017,WLD,27.6,,,,
2018,WLD,28.3,,,,
2019,WLD,28.0,,,,
2020,WLD,28.6,,,,
2021,WLD,29.2,,,,
2022,WLD,29.8,,,,
2027,WLD,,31.9,,,
2030,WLD,,,,35,
2035,WLD,,,,37,
2050,WLD,,,,44,
1990,AFG,7.4,,,,
1991,AFG,7.5,,,,
1992,AFG,7.3,,,,
1993,AFG,7.6,,,,
1994,AFG,8.3,,,,
1995,AFG,8.8,,,,
1996,AFG,9.6,,,,
1997,AFG,10.5,,,,
1998,AFG,11.5,,,,
1999,AFG,11.4,,,,
2000,AFG,9.9,,,,
2001,AFG,8.5,,,,
2002,AFG,9,,,,
2003,AFG,8.6,,,,
2004,AFG,9.3,,,,
2005,AFG,9.2,,,,
2006,AFG,7.9,,,,
2007,AFG,7.9,,,,
2008,AFG,8.7,,,,
2009,AFG,9.1,,,,
2010,AFG,9.6,,,,
2011,AFG,10,,,,
2012,AFG,9.8,,,,
2013,AFG,9.5,,,,
2014,AFG,9.2,,,,
2015,AFG,8.9,,,,
2016,AFG,8.7,,,,
2017,AFG,9.1,,,,
2018,AFG,8.4,,,,
2019,AFG,8.6,,,,
2020,AFG,8.2,,,,
2021,AFG,7.9,,,,
2022,AFG,7.6,,,,
1990,ALB,81.5,,,,
1991,ALB,79.2,,,,
1992,ALB,90.1,,,,
1993,ALB,93.2,,,,
1994,ALB,110.4,,,,
1995,ALB,115.5,,,,
1996,ALB,114.7,,,,
1997,ALB,110.8,,,,
1998,ALB,110.7,,,,
1999,ALB,116.1,,,,
2000,ALB,124.5,,,,
2001,ALB,124.5,,,,
2002,ALB,129.5,,,,
2003,ALB,141,,,,
2004,ALB,144.2,,,,
2005,ALB,147.6,,,,
2006,ALB,167.8,,,,
2007,ALB,183.3,,,,
2008,ALB,124.6,,,,
2009,ALB,119.9,,,,
2010,ALB,122.3,,,,
2011,ALB,124.8,,,,
2012,ALB,127.6,,,,
2013,ALB,132.6,,,,
2014,ALB,131.3,,,,
2015,ALB,135.5,,,,
2016,ALB,136.3,,,,
2017,ALB,136.5,,,,
2018,ALB,146.4,,,,
2019,ALB,128.9,,,,
2020,ALB,118.3,,,,
2021,ALB,121.8,,,,
2022,ALB,121.6,,,,
1990,DZA,7.5,,,,
1991,DZA,8,,,,
1992,DZA,8.5,,,,
1993,DZA,9,,,,
