year,geo,disagg,value,,
2019,WLD,Total,5,,
2020,WLD,Total,49,,
2021,WLD,Total,23,,
2022,WLD,Total,64,,
2023,WLD,Total,700,,
2024,WLD,Total,224,,
2025,WLD,Total,3,,
2019,WLD,Oil and Gas,1,,
2019,WLD,Oil,1,,
2019,WLD,Gas,3,,
2020,WLD,Oil and Gas,2,,
2020,WLD,Oil,47,,
2020,WLD,Gas,0,,
2021,WLD,Oil and Gas,11,,
2021,WLD,Oil,2,,
2021,WLD,Gas,10,,
2022,WLD,Oil and Gas,29,,
2022,WLD,Oil,11,,
2022,WLD,Gas,23,,
2023,WLD,Oil and Gas,586,,
2023,WLD,Oil,51,,
2023,WLD,Gas,63,,
2024,WLD,Oil and Gas,197,,
2024,WLD,Oil,7,,
2024,WLD,Gas,20,,
2025,WLD,Oil and Gas,2,,
2025,WLD,Oil,1,,
2025,WLD,Gas,0,,
2023,ARE,Total,1,,
2022,ARG,Total,2,,
2023,ARG,Total,2,,
2024,ARG,Total,28,,
2019,AUS,Total,2,,
2021,AUS,Total,1,,
2022,AUS,Total,14,,
2023,AUS,Total,4,,
2024,AUS,Total,6,,
2025,AUS,Total,1,,
2022,BHR,Total,2,,
2023,BRA,Total,5,,
2024,BRA,Total,24,,
2019,CAN,Total,1,,
2020,CAN,Total,46,,
2022,CAN,Total,33,,
2023,CAN,Total,125,,
2025,CAN,Total,1,,
2023,CHN,Total,1,,
2024,CHN,Total,21,,
2024,DZA,Total,1,,
2023,EGY,Total,1,,
2022,IDN,Total,1,,
2023,IDN,Total,1,,
2024,IDN,Total,2,,
2021,IND,Total,3,,
2022,IND,Total,2,,
2023,IND,Total,1,,
2024,IND,Total,1,,
2023,IRN,Total,1,,
2023,MEX,Total,2,,
2022,NZL,Total,2,,
2020,OMN,Total,1,,
2022,OMN,Total,1,,
2024,OMN,Total,2,,
2019,RUS,Total,2,,
2020,RUS,Total,2,,
2021,RUS,Total,2,,
2022,RUS,Total,5,,
2023,RUS,Total,4,,
2021,SAU,Total,2,,
2023,SAU,Total,2,,
2024,SAU,Total,1,,
2023,TUN,Total,1,,
2021,USA,Total,15,,
2022,USA,Total,1,,
2023,USA,Total,548,,
2024,USA,Total,138,,
2025,USA,Total,1,,
2023,UZB,Total,1,,
2023,ARE,Gas,1,,
2022,ARG,Oil and Gas,2,,
2023,ARG,Oil and Gas,2,,
2024,ARG,Oil and Gas,28,,
2019,AUS,Gas,2,,
2021,AUS,Gas,1,,
2022,AUS,Gas,14,,
2023,AUS,Gas,4,,
2024,AUS,Gas,5,,
2024,AUS,Oil,1,,
2025,AUS,Oil and Gas,1,,
2022,BHR,Gas,1,,
2022,BHR,Oil and Gas,1,,
2023,BRA,Oil and Gas,5,,
2024,BRA,Oil and Gas,24,,
2019,CAN,Gas,1,,
2022,CAN,Gas,7,,
2023,CAN,Gas,20,,
2020,CAN,Oil,46,,
2022,CAN,Oil,5,,
2023,CAN,Oil,45,,
2022,CAN,Oil and Gas,21,,
2023,CAN,Oil and Gas,60,,
2025,CAN,Oil and Gas,1,,
2024,CHN,Gas,13,,
2023,CHN,Oil,1,,
2024,CHN,Oil,6,,
2024,CHN,Oil and Gas,2,,
2024,DZA,Gas,1,,
2023,EGY,Oil and Gas,1,,
2024,IDN,Gas,1,,
2023,IDN,Oil,1,,
2022,IDN,Oil and Gas,1,,
2024,IDN,Oil and Gas,1,,
2021,IND,Gas,2,,
2022,IND,Gas,1,,
2021,IND,Oil,1,,
2022,IND,Oil and Gas,1,,
2023,IND,Oil and Gas,1,,
2024,IND,Oil and Gas,1,,
2023,IRN,Gas,1,,
2023,MEX,Oil and Gas,2,,
2022,NZL,Oil and Gas,2,,
2022,OMN,Oil,1,,
2020,OMN,Oil and Gas,1,,
2024,OMN,Oil and Gas,2,,
2019,RUS,Oil,1,,
2020,RUS,Oil,1,,
2021,RUS,Oil,1,,
2022,RUS,Oil,4,,
2019,RUS,Oil and Gas,1,,
2020,RUS,Oil and Gas,1,,
2021,RUS,Oil and Gas,1,,
2022,RUS,Oil and Gas,1,,
2023,RUS,Oil and Gas,4,,
2021,SAU,Gas,2,,
2023,SAU,Gas,2,,
2024,SAU,Oil and Gas,1,,
2023,TUN,Oil and Gas,1,,
2021,USA,Gas,5,,
2023,USA,Gas,35,,
2022,USA,Oil,1,,
2023,USA,Oil,3,,
2025,USA,Oil,1,,
2021,USA,Oil and Gas,10,,
2023,USA,Oil and Gas,510,,
2024,USA,Oil and Gas,138,,
2023,UZB,Oil,1,,
