year,geo,disagg_type,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2030,WLD,All,Total,,,,100,
2024,AFG,Rural,Use of menstrual materials,93,,,,
2024,AFG,Rural,Private place to change at home,92,,,,
2024,AFG,Rural,Participation in activities during menstruation,66,,,,
2023,DZA,Rural,Use of menstrual materials,94,,,,
2023,DZA,Rural,Private place to change at home,88,,,,
2023,DZA,Rural,Participation in activities during menstruation,77,,,,
2024,AZE,Rural,Use of menstrual materials,98,,,,
2024,AZE,Rural,Private place to change at home,94,,,,
2024,AZE,Rural,Participation in activities during menstruation,92,,,,
2024,BGD,Rural,Use of menstrual materials,96,,,,
2024,BGD,Rural,Private place to change at home,90,,,,
2024,BEN,Rural,Use of menstrual materials,97,,,,
2024,BEN,Rural,Private place to change at home,90,,,,
2024,BEN,Rural,Participation in activities during menstruation,88,,,,
2024,BFA,Rural,Use of menstrual materials,89,,,,
2024,BFA,Rural,Private place to change at home,77,,,,
2024,BFA,Rural,Participation in activities during menstruation,81,,,,
2024,KHM,Rural,Use of menstrual materials,89,,,,
2024,KHM,Rural,Private place to change at home,94,,,,
2024,KHM,Rural,Participation in activities during menstruation,83,,,,
2024,KHM,Rural,Awareness of menstruation before menarche,52,,,,
2023,CAF,Rural,Use of menstrual materials,96,,,,
2023,CAF,Rural,Private place to change at home,92,,,,
2023,CAF,Rural,Participation in activities during menstruation,66,,,,
2023,TCD,Rural,Use of menstrual materials,96,,,,
2023,TCD,Rural,Private place to change at home,94,,,,
2023,TCD,Rural,Participation in activities during menstruation,66,,,,
2024,COM,Rural,Use of menstrual materials,87,,,,
2024,COM,Rural,Private place to change at home,87,,,,
2024,COM,Rural,Participation in activities during menstruation,79,,,,
2022,CRI,Rural,Use of menstrual materials,99,,,,
2022,CRI,Rural,Private place to change at home,100,,,,
2022,CRI,Rural,Participation in activities during menstruation,92,,,,
2024,CIV,Rural,Use of menstrual materials,100,,,,
2024,CIV,Rural,Private place to change at home,88,,,,
2023,CUB,Rural,Use of menstrual materials,98,,,,
2023,CUB,Rural,Private place to change at home,97,,,,
