year,geo,disagg,value
2000,WLD,Crude oil,52
2001,WLD,Crude oil,43
2002,WLD,Crude oil,44
2003,WLD,Crude oil,49
2004,WLD,Crude oil,64
2005,WLD,Crude oil,88
2006,WLD,Crude oil,101
2007,WLD,Crude oil,110
2008,WLD,Crude oil,142
2009,WLD,Crude oil,90
2010,WLD,Crude oil,114
2011,WLD,Crude oil,155
2012,WLD,Crude oil,153
2013,WLD,Crude oil,146
2014,WLD,Crude oil,131
2015,WLD,Crude oil,69
2016,WLD,Crude oil,57
2017,WLD,Crude oil,69
2018,WLD,Crude oil,89
2019,WLD,Crude oil,79
2020,WLD,Crude oil,51
2021,WLD,Crude oil,82
2022,WLD,Crude oil,109
2023,WLD,Crude oil,85
2024,WLD,Crude oil,81
2022,AFG,Electricity,0.04
2022,ALB,Electricity,0.12
2022,DZA,Electricity,0.04
2022,AGO,Electricity,0.02
2022,ARG,Electricity,0.03
2022,ARM,Electricity,0.1
2022,ABW,Electricity,0.18
2022,AUS,Electricity,0.24
2022,AUT,Electricity,0.5
2022,AZE,Electricity,0.05
2022,BHS,Electricity,0.26
2022,BHR,Electricity,0.05
2022,BGD,Electricity,0.05
2022,BRB,Electricity,0.27
2022,BLR,Electricity,0.09
2022,BEL,Electricity,0.52
2022,BLZ,Electricity,0.22
2022,BMU,Electricity,0.46
2022,BTN,Electricity,0.02
2022,BIH,Electricity,0.1
2022,BWA,Electricity,0.1
2022,BRA,Electricity,0.17
2022,BGR,Electricity,0.14
2022,BFA,Electricity,0.21
2022,CPV,Electricity,0.31
2022,KHM,Electricity,0.15
2022,CMR,Electricity,0.08
2022,CAN,Electricity,0.12
2022,CYM,Electricity,0.44
2022,CHL,Electricity,0.19
2022,CHN,Electricity,0.08
2022,COL,Electricity,0.17
2022,CRI,Electricity,0.16
2022,CIV,Electricity,0.12
2022,CUB,Electricity,0.03
2022,CYP,Electricity,0.38
2022,CZE,Electricity,0.45
2022,COD,Electricity,0.07
2022,DNK,Electricity,0.58
2022,DOM,Electricity,0.12
2022,ECU,Electricity,0.1
2022,EGY,Electricity,0.03
2022,SLV,Electricity,0.24
2022,EST,Electricity,0.39
2022,SWZ,Electricity,0.1
2022,ETH,Electricity,0.01
2022,FIN,Electricity,0.46
2022,FRA,Electricity,0.22
2022,GAB,Electricity,0.2
2022,GEO,Electricity,0.08
2022,DEU,Electricity,0.56
2022,GHA,Electricity,0.03
2022,GRC,Electricity,0.27
2022,GTM,Electricity,0.28
2022,HND,Electricity,0.23
2022,HND,Electricity,0.17
2022,HUN,Electricity,0.12
2022,ISL,Electricity,0.15
2022,IND,Electricity,0.07
2022,IDN,Electricity,0.1
2022,IRQ,Electricity,0.01
2022,IRL,Electricity,0.43
2022,ISR,Electricity,0.16
2022,ITA,Electricity,0.58
2022,JAM,Electricity,0.33
2022,JPN,Electricity,0.25
2022,JOR,Electricity,0.09
2022,KAZ,Electricity,0.04
2022,KEN,Electricity,0.16
2022,KWT,Electricity,0.03
2022,KGZ,Electricity,0.01
2022,LAO,Electricity,0.03
2022,LVA,Electricity,0.32
2022,LSO,Electricity,0.09
