year,geo,value,projections,benchmark_low,benchmark_mid,benchmark _high
2018,WLD,22.2466,,,,
2030,WLD,,,,0,
2018,DZA,0.208423,,,,
2018,AGO,0.04305,,,,
2018,BEN,0.00112184,,,,
2018,CMR,0.0195069,,,,
2018,CPV,0.0192432,,,,
2018,COM,0.0557,,,,
2018,COD,0.000302615,,,,
2018,COG,0.00150301,,,,
2018,CIV,0.0544567,,,,
2018,DJI,0.00316763,,,,
2018,EGY,0.0484476,,,,
2018,GNQ,0.00103491,,,,
2018,ERI,0.0106131,,,,
2018,GAB,0.0242472,,,,
2018,GMB,0.0175891,,,,
2018,GHA,0.137566,,,,
2018,GIN,0.0165203,,,,
2018,GNB,9.10027e-05,,,,
2018,KEN,0.0472541,,,,
2018,LBR,0.0034307,,,,
2018,LBY,0,,,,
2018,MDG,0.0329029,,,,
2018,MRT,0.0288941,,,,
2018,MUS,0.00321539,,,,
2018,MAR,0.208435,,,,
2018,MOZ,0.0238142,,,,
2018,NAM,0.0504253,,,,
2018,NGA,0.0374018,,,,
2018,STP,0.00142976,,,,
2018,SEN,0.250254,,,,
2018,SYC,0.0301653,,,,
2018,SLE,0.00872142,,,,
2018,SOM,0.000424127,,,,
2018,ZAF,0.0702515,,,,
2018,SDN,0.00140374,,,,
2018,TZA,0.00344168,,,,
2018,TGO,0.00178187,,,,
2018,TUN,0.0866991,,,,
2018,BHR,0.0112486,,,,
2018,BGD,0.0913828,,,,
2018,BRN,0.00107687,,,,
2018,KHM,0.0114687,,,,
2018,CHN,5.88564,,,,
2018,CYP,0.0274755,,,,
2018,HKG,0.112854,,,,
2018,IND,0.174404,,,,
2018,IDN,0.56599,,,,
2018,IRN,0.0352206,,,,
2018,IRQ,0.000454382,,,,
2018,ISR,0.000108107,,,,
2018,JPN,2.11057,,,,
2018,JOR,4.16216e-05,,,,
2018,PRK,0.000975587,,,,
2018,KOR,1.49959,,,,
2018,KWT,0.00255024,,,,
2018,LBN,0.000365325,,,,
2018,MYS,0.472016,,,,
2018,MDV,0.0286823,,,,
2018,MMR,0.10755,,,,
2018,OMN,0.0845674,,,,
2018,PAK,0.13789,,,,
2018,PHL,0.139587,,,,
2018,QAT,0.0056705,,,,
2018,SAU,0.0177152,,,,
2018,SGP,5.54323e-05,,,,
2018,LKA,0.101284,,,,
2018,SYR,0,,,,
2018,TWN,0.708416,,,,
2018,THA,1.06885,,,,
2018,TLS,0,,,,
2018,TUR,0.0859624,,,,
2018,ARE,0.00485634,,,,
2018,VNM,0.337854,,,,
2018,YEM,0.142369,,,,
2018,ALB,0.00698769,,,,
2018,BEL,0.0267138,,,,
2018,BIH,0,,,,
2018,BGR,0.00749638,,,,
2018,HRV,0.00388401,,,,
2018,DNK,0.106188,,,,
2018,EST,0.0360726,,,,
2018,FIN,0.0125553,,,,
2018,FRA,0.163528,,,,
2018,GEO,0.00243852,,,,
2018,DEU,0.0707466,,,,
2018,GRC,0.144628,,,,
2018,ISL,0.0908657,,,,
2018,IRL,0.0683169,,,,
2018,ITA,0.192796,,,,
2018,LVA,0.0296364,,,,
2018,LTU,0.0175392,,,,
2018,MLT,0.0143107,,,,
2018,MCO,0,,,,
2018,MNE,9.58558e-05,,,,
2018,NLD,0.1415,,,,
2018,NOR,0.527236,,,,
2018,POL,0.0569214,,,,
2018,PRT,0.0958692,,,,
2018,ROU,0.0059699,,,,
2018,RUS,1.16201,,,,
2018,SVN,0.00165836,,,,
2018,ESP,0.682832,,,,
2018,SWE,0.0439814,,,,
2018,UKR,0.060613,,,,
2018,GBR,0.0849908,,,,
2018,CAN,0.194214,,,,
2018,MEX,0.190777,,,,
2018,USA,1.13623,,,,
2018,AUS,0.0283126,,,,
2018,FJI,0.0248027,,,,
2018,KIR,0.0174153,,,,
2018,MHL,0.00682235,,,,
2018,FSM,0.00872028,,,,
2018,NRU,0.000185223,,,,
2018,NZL,0.0289518,,,,
2018,PLW,0.00058187,,,,
2018,PNG,0.0277426,,,,
2018,WSM,0.00278843,,,,
2018,SLB,0.0240941,,,,
2018,TON,0.00141199,,,,
2018,TUV,0.000395114,,,,
2018,VUT,0.0123473,,,,
2018,ATG,0.00129125,,,,
2018,ARG,0.242829,,,,
2018,BHS,0.00462555,,,,
2018,BRB,0.00257681,,,,
2018,BLZ,0.0470941,,,,
2018,BRA,0.25609,,,,
2018,CHL,0.13308,,,,
2018,COL,0.0114805,,,,
2018,CRI,0.003932,,,,
2018,CUB,0.00247097,,,,
2018,DMA,0.00358479,,,,
2018,DOM,0.00351288,,,,
2018,ECU,0.0103152,,,,
2018,SLV,0.0018232,,,,
2018,GRD,0.00177518,,,,
2018,GTM,0.00416516,,,,
2018,GUY,0.00533321,,,,
2018,HTI,0.00169564,,,,
2018,HND,0.00378705,,,,
2018,JAM,0.021992,,,,
2018,NIC,0.0201379,,,,
2018,PAN,0.0204828,,,,
2018,PER,0.279789,,,,
2018,KNA,0.000501756,,,,
2018,LCA,0.00147003,,,,
2018,VCT,0.00108898,,,,
2018,SUR,0.00555326,,,,
2018,TTO,0.0136096,,,,
2018,URY,0.00494192,,,,
2018,VEN,0.0437543,,,,
