year,geo,disagg_type,disagg,value
2000,WLD,All,Total,5.781894983
2001,WLD,All,Total,5.783522058
2003,WLD,All,Total,6.033281427
2004,WLD,All,Total,6.066026307
2005,WLD,All,Total,106.0740261
2006,WLD,All,Total,106.1414245
2007,WLD,All,Total,106.1734988
2008,WLD,All,Total,108.6179503
2009,WLD,All,Total,108.929572
2010,WLD,All,Total,109.0784434
2011,WLD,All,Total,109.8540871
2012,WLD,All,Total,111.1335922
2013,WLD,All,Total,231.1774856
2014,WLD,All,Total,233.6423691
2015,WLD,All,Total,573.6742218
2016,WLD,All,Total,575.4222084
2017,WLD,All,Total,577.5634672
2018,WLD,All,Total,579.543542
2019,WLD,All,Total,584.5359537
2020,WLD,All,Total,758.0627005
2021,WLD,All,Total,803.5074348
2022,WLD,All,Total,827.6641738
2023,WLD,All,Total,945.1927993
2024,WLD,All,Total,995.6501043
2025,WLD,All,Total,1003.985218
2026,WLD,All,Total,1010.641732
2027,WLD,All,Total,1012.374266
2029,WLD,All,Total,1014.280052
2000,WLD,Status,DEMO,0.000760084
2001,WLD,Status,DEMO,0.002387159
2003,WLD,Status,DEMO,0.252146527
2004,WLD,Status,DEMO,0.279128851
2005,WLD,Status,DEMO,0.284586331
2006,WLD,Status,DEMO,0.351984775
2007,WLD,Status,DEMO,0.384059008
2008,WLD,Status,DEMO,0.448214149
2009,WLD,Status,DEMO,0.583833049
2010,WLD,Status,DEMO,0.642045242
2011,WLD,Status,DEMO,1.149281551
2012,WLD,Status,DEMO,1.274554054
2013,WLD,Status,DEMO,1.421764224
2014,WLD,Status,DEMO,1.673012471
2015,WLD,Status,DEMO,2.345030449
2016,WLD,Status,DEMO,2.611197912
2017,WLD,Status,DEMO,2.750614315
2018,WLD,Status,DEMO,2.853198525
2019,WLD,Status,DEMO,3.053584944
2020,WLD,Status,DEMO,3.31691337
2021,WLD,Status,DEMO,4.482212168
2022,WLD,Status,DEMO,6.2893538
2023,WLD,Status,DEMO,10.63521267
2024,WLD,Status,DEMO,32.07246167
2025,WLD,Status,DEMO,40.40757547
2026,WLD,Status,DEMO,47.0640896
2027,WLD,Status,DEMO,48.79662293
2029,WLD,Status,DEMO,50.7024096
2000,WLD,Status,Operational,5.7811349
2001,WLD,Status,Operational,5.7811349
2002,WLD,Status,Operational,5.7811349
2003,WLD,Status,Operational,5.7811349
2004,WLD,Status,Operational,5.786897456
2005,WLD,Status,Operational,105.7894398
2008,WLD,Status,Operational,108.1697362
2009,WLD,Status,Operational,108.3457389
2010,WLD,Status,Operational,108.4363982
2011,WLD,Status,Operational,108.7048056
2012,WLD,Status,Operational,109.8590381
2013,WLD,Status,Operational,229.7557213
2014,WLD,Status,Operational,231.9693566
2015,WLD,Status,Operational,571.3291913
2016,WLD,Status,Operational,572.8110104
2017,WLD,Status,Operational,574.8128529
2018,WLD,Status,Operational,576.6903435
2019,WLD,Status,Operational,581.4823688
2020,WLD,Status,Operational,754.7457872
2021,WLD,Status,Operational,799.0252226
2022,WLD,Status,Operational,821.37482
2023,WLD,Status,Operational,934.5575867
2024,WLD,Status,Operational,963.5776426
2025,WLD,Status,Operational,963.5776426
2026,WLD,Status,Operational,963.5776426
2027,WLD,Status,Operational,963.5776426
2029,WLD,Status,Operational,963.5776426
2000,WLD,Technology,AEM,0
2001,WLD,Technology,AEM,0
2003,WLD,Technology,AEM,0
2004,WLD,Technology,AEM,0
2005,WLD,Technology,AEM,0
2006,WLD,Technology,AEM,0
2007,WLD,Technology,AEM,0
2008,WLD,Technology,AEM,0
2009,WLD,Technology,AEM,0
2010,WLD,Technology,AEM,0
2011,WLD,Technology,AEM,0
2012,WLD,Technology,AEM,0
2013,WLD,Technology,AEM,0
2014,WLD,Technology,AEM,0
2015,WLD,Technology,AEM,0
2016,WLD,Technology,AEM,0
2017,WLD,Technology,AEM,0.060638667
2018,WLD,Technology,AEM,0.060638667
2019,WLD,Technology,AEM,0.060638667
2020,WLD,Technology,AEM,0.060638667
2021,WLD,Technology,AEM,0.060638667
2022,WLD,Technology,AEM,0.060638667
2023,WLD,Technology,AEM,0.665520747
2024,WLD,Technology,AEM,0.677215347
2025,WLD,Technology,AEM,1.023722013
2026,WLD,Technology,AEM,1.023722013
2027,WLD,Technology,AEM,1.023722013
2029,WLD,Technology,AEM,1.023722013
2000,WLD,Technology,ALK,4.364899283
2001,WLD,Technology,ALK,4.366526358
2003,WLD,Technology,ALK,4.615739979
2004,WLD,Technology,ALK,4.648095039
2005,WLD,Technology,ALK,4.650637343
2006,WLD,Technology,ALK,4.70148343
2007,WLD,Technology,ALK,4.719788022
2008,WLD,Technology,ALK,4.778430509
