year,geo,disagg,value
2000,WLD,Total,180
2001,WLD,Total,183
2002,WLD,Total,188
2003,WLD,Total,201
2004,WLD,Total,206
2005,WLD,Total,213
2006,WLD,Total,225
2007,WLD,Total,233
2008,WLD,Total,235
2009,WLD,Total,239
2010,WLD,Total,243
2011,WLD,Total,242
2012,WLD,Total,244
2013,WLD,Total,246
2014,WLD,Total,250
2015,WLD,Total,254
2016,WLD,Total,256
2017,WLD,Total,260
2018,WLD,Total,260
2019,WLD,Total,259
2020,WLD,Total,259
2021,WLD,Total,263
2022,WLD,Total,265
2023,WLD,Total,264
2024,WLD,Total,264
2000,WLD,Fee,112
2001,WLD,Fee,113
2002,WLD,Fee,115
2003,WLD,Fee,125
2004,WLD,Fee,127
2005,WLD,Fee,131
2006,WLD,Fee,139
2007,WLD,Fee,142
2008,WLD,Fee,145
2009,WLD,Fee,147
2010,WLD,Fee,148
2011,WLD,Fee,149
2012,WLD,Fee,150
2013,WLD,Fee,150
2014,WLD,Fee,150
2015,WLD,Fee,153
2016,WLD,Fee,155
2017,WLD,Fee,160
2018,WLD,Fee,160
2019,WLD,Fee,161
2020,WLD,Fee,161
2021,WLD,Fee,164
2022,WLD,Fee,166
2023,WLD,Fee,166
2024,WLD,Fee,166
2000,WLD,Taxes,68
2001,WLD,Taxes,70
2002,WLD,Taxes,73
2003,WLD,Taxes,76
2004,WLD,Taxes,79
2005,WLD,Taxes,82
2006,WLD,Taxes,86
2007,WLD,Taxes,91
2008,WLD,Taxes,90
2009,WLD,Taxes,92
2010,WLD,Taxes,95
2011,WLD,Taxes,93
2012,WLD,Taxes,94
2013,WLD,Taxes,96
2014,WLD,Taxes,100
2015,WLD,Taxes,101
2016,WLD,Taxes,101
2017,WLD,Taxes,100
2018,WLD,Taxes,100
2019,WLD,Taxes,98
2020,WLD,Taxes,98
2021,WLD,Taxes,99
2022,WLD,Taxes,99
2023,WLD,Taxes,98
2024,WLD,Taxes,98
