year,geo,value,
2022,WLD,84,
2021,WLD,58,
2020,WLD,30,
2019,WLD,17,
2018,WLD,2,
2017,WLD,1,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
