year,geo,disagg,disagg_type,value
2024,XKX,All,Total,13
2024,KWT,All,Total,21
2024,KGZ,All,Total,11
2024,LAO,All,Total,25
2024,LVA,All,Total,14
2024,LBN,All,Total,30
2024,LBR,All,Total,36
2024,LBY,All,Total,31
2024,LTU,All,Total,6
2024,MDG,All,Total,19
2024,MWI,All,Total,43
2024,MYS,All,Total,31
2024,MLI,All,Total,30
2024,MRT,All,Total,23
2024,MUS,All,Total,32
2024,MEX,All,Total,22
2024,MDA,All,Total,7
2024,MNG,All,Total,19
2024,MNE,All,Total,12
2024,MAR,All,Total,25
2024,MOZ,All,Total,44
2024,MMR,All,Total,27
2024,NAM,All,Total,31
2024,NPL,All,Total,15
2024,NIC,All,Total,22
2024,NER,All,Total,28
2024,NGA,All,Total,24
2024,PAK,All,Total,12
2024,PSE,All,Total,27
2024,PAN,All,Total,20
2024,PRY,All,Total,14
2024,PER,All,Total,25
2024,PHL,All,Total,56
2024,POL,All,Total,8
2024,RUS,All,Total,19
2024,SAU,All,Total,27
2024,SEN,All,Total,21
2024,SRB,All,Total,11
2024,SLE,All,Total,27
2024,ZAF,All,Total,22
2024,LKA,All,Total,30
2024,TJK,All,Total,9
2024,TZA,All,Total,39
2024,THA,All,Total,21
2024,TGO,All,Total,25
2024,TUN,All,Total,9
2024,TUR,All,Total,37
2024,UGA,All,Total,27
2024,UKR,All,Total,33
2024,ARE,All,Total,31
2024,GBR,All,Total,14
2024,USA,All,Total,25
2024,URY,All,Total,13
2024,UZB,All,Total,8
2024,VEN,All,Total,25
2024,VNM,All,Total,8
2024,YEM,All,Total,34
2024,ZMB,All,Total,29
2024,ZWE,All,Total,19
2020,AFG,Gender,Male,20
2020,ALB,Gender,Male,18
2020,DZA,Gender,Male,15
2020,ARG,Gender,Male,16
2020,ARM,Gender,Male,16
2020,AUS,Gender,Male,10
2020,AUT,Gender,Male,5
2020,AZE,Gender,Male,5
2020,BGD,Gender,Male,25
2020,BLR,Gender,Male,13
2020,BEL,Gender,Male,12
2020,BEN,Gender,Male,31
2020,BOL,Gender,Male,27
2020,BIH,Gender,Male,7
2020,BWA,Gender,Male,32
2020,BRA,Gender,Male,24
2020,BGR,Gender,Male,10
2020,BFA,Gender,Male,41
2020,KHM,Gender,Male,39
2020,CMR,Gender,Male,30
2020,CAN,Gender,Male,13
2020,TCD,Gender,Male,22
2020,CHL,Gender,Male,23
2020,CHN,Gender,Male,11
2020,COL,Gender,Male,24
2020,COM,Gender,Male,33
2020,COG,Gender,Male,38
2020,CRI,Gender,Male,21
2020,HRV,Gender,Male,8
2020,CYP,Gender,Male,26
2020,CIV,Gender,Male,26
2020,DNK,Gender,Male,7
2020,DOM,Gender,Male,31
2020,ECU,Gender,Male,20
2020,EGY,Gender,Male,14
2020,SLV,Gender,Male,24
2020,EST,Gender,Male,14
2020,SWZ,Gender,Male,42
2020,ETH,Gender,Male,28
2020,FIN,Gender,Male,4
2020,FRA,Gender,Male,18
2020,GAB,Gender,Male,33
2020,GMB,Gender,Male,22
2020,GEO,Gender,Male,17
2020,DEU,Gender,Male,9
2020,GHA,Gender,Male,28
2020,GRC,Gender,Male,14
2020,GTM,Gender,Male,34
2020,GIN,Gender,Male,24
2020,HND,Gender,Male,21
2020,HUN,Gender,Male,8
2020,IND,Gender,Male,22
2020,IDN,Gender,Male,25
2020,IRN,Gender,Male,47
2020,IRQ,Gender,Male,29
2020,IRL,Gender,Male,14
2020,ISR,Gender,Male,14
2020,ITA,Gender,Male,10
2020,JPN,Gender,Male,19
2020,JOR,Gender,Male,44
2020,KAZ,Gender,Male,9
2020,KEN,Gender,Male,28
2020,KOR,Gender,Male,23
2020,XKX,Gender,Male,11
2020,KWT,Gender,Male,44
2020,KGZ,Gender,Male,13
2020,LAO,Gender,Male,25
2020,LVA,Gender,Male,12
2020,LBN,Gender,Male,23
2020,LBR,Gender,Male,42
2020,LBY,Gender,Male,27
2020,LTU,Gender,Male,4
2020,LUX,Gender,Male,26
2020,MDG,Gender,Male,25
2020,MWI,Gender,Male,21
2020,MYS,Gender,Male,35
2020,MLI,Gender,Male,30
2020,MLT,Gender,Male,9
2020,MRT,Gender,Male,20
2020,MUS,Gender,Male,27
2020,MEX,Gender,Male,14
2020,MDA,Gender,Male,11
2020,MNG,Gender,Male,19
2020,MNE,Gender,Male,11
2020,MAR,Gender,Male,20
2020,MOZ,Gender,Male,24
2020,MMR,Gender,Male,19
2020,NAM,Gender,Male,31
2020,NPL,Gender,Male,10
2020,NLD,Gender,Male,10
2020,NZL,Gender,Male,16
2020,NIC,Gender,Male,17
2020,NER,Gender,Male,27
2020,NGA,Gender,Male,21
2020,MKD,Gender,Male,9
2020,NOR,Gender,Male,9
2020,PAK,Gender,Male,21
2020,PSE,Gender,Male,25
2020,PAN,Gender,Male,22
2020,PRY,Gender,Male,13
2020,PER,Gender,Male,16
2020,PHL,Gender,Male,47
2020,POL,Gender,Male,10
2020,PRT,Gender,Male,8
2020,ROU,Gender,Male,8
2020,RUS,Gender,Male,13
2020,RWA,Gender,Male,7
2020,SAU,Gender,Male,36
2020,SEN,Gender,Male,23
2020,SRB,Gender,Male,7
2020,SLE,Gender,Male,34
2020,SGP,Gender,Male,4
2020,SVK,Gender,Male,15
2020,SVN,Gender,Male,9
2020,ZAF,Gender,Male,32
2020,ESP,Gender,Male,13
2020,LKA,Gender,Male,27
2020,SWE,Gender,Male,6
2020,CHE,Gender,Male,5
2020,TWN,Gender,Male,19
2020,TJK,Gender,Male,8
2020,TZA,Gender,Male,22
2020,THA,Gender,Male,16
2020,TGO,Gender,Male,27
2020,TUN,Gender,Male,24
2020,TUR,Gender,Male,31
2020,TKM,Gender,Male,2
2020,UGA,Gender,Male,25
2020,UKR,Gender,Male,9
2020,ARE,Gender,Male,42
2020,GBR,Gender,Male,9
2020,USA,Gender,Male,13
2020,URY,Gender,Male,15
2020,UZB,Gender,Male,7
2020,VEN,Gender,Male,29
2020,VNM,Gender,Male,10
2020,YEM,Gender,Male,24
2020,ZMB,Gender,Male,28
2020,ZWE,Gender,Male,26
2024,AFG,Gender,Male,34
2024,ALB,Gender,Male,19
2024,DZA,Gender,Male,19
2024,ARG,Gender,Male,20
2024,ARM,Gender,Male,16
2024,AZE,Gender,Male,7
2024,BGD,Gender,Male,13
2024,BEN,Gender,Male,29
2024,BOL,Gender,Male,30
2024,BIH,Gender,Male,8
2024,BWA,Gender,Male,34
2024,BRA,Gender,Male,23
2024,BGR,Gender,Male,8
2024,BFA,Gender,Male,22
2024,KHM,Gender,Male,46
2024,CMR,Gender,Male,23
2024,TCD,Gender,Male,29
2024,CHL,Gender,Male,19
2024,CHN,Gender,Male,26
2024,COL,Gender,Male,25
2024,COM,Gender,Male,44
2024,COG,Gender,Male,32
2024,CRI,Gender,Male,28
2024,HRV,Gender,Male,10
2024,CYP,Gender,Male,25
2024,CIV,Gender,Male,24
2024,ECU,Gender,Male,25
2024,EGY,Gender,Male,17
2024,SLV,Gender,Male,28
2024,EST,Gender,Male,10
2024,ETH,Gender,Male,20
2024,GAB,Gender,Male,25
2024,GMB,Gender,Male,13
2024,GEO,Gender,Male,17
2024,GHA,Gender,Male,25
2024,GRC,Gender,Male,42
2024,GTM,Gender,Male,23
2024,GIN,Gender,Male,32
2024,HND,Gender,Male,23
2024,HUN,Gender,Male,10
2024,IND,Gender,Male,19
2024,IDN,Gender,Male,26
2024,IRN,Gender,Male,49
2024,IRQ,Gender,Male,34
2024,ISR,Gender,Male,17
2024,ITA,Gender,Male,11
2024,JOR,Gender,Male,48
