year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2016,WLD,Equity,4,,,,
2017,WLD,Equity,1,,,,
2018,WLD,Equity,1,,,,
2019,WLD,Equity,1.7,,,,
2016,WLD,Grants,12,,,,
2017,WLD,Grants,12.8,,,,
2018,WLD,Grants,12.8,,,,
2019,WLD,Grants,16.7,,,,
2016,WLD,Loans,33.6,,,,
2017,WLD,Loans,39.8,,,,
2018,WLD,Loans,46.8,,,,
2019,WLD,Loans,44.5,,,,
2016,WLD,Unspecified,0,,,,
2017,WLD,Unspecified,0.9,,,,
2018,WLD,Unspecified,1,,,,
2019,WLD,Unspecified,0,,,,
2016,WLD,Total,49.6,,,,
2017,WLD,Total,54.5,,,,
2018,WLD,Total,61.6,,,,
2019,WLD,Total,62.9,,,,
2030,WLD,Total,,,,200,
