year,year_max,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2000,2003,WLD,Total ,1090255.21,,,,
2004,2007,WLD,Total ,1110716.019,,,,
2008,2011,WLD,Total ,1135780.607,,,,
2012,2015,WLD,Total ,1179234.66,,,,
2016,2019,WLD,Total ,1215362.655,,,,
2004,2007,WLD,Expansion,78943.32021,,,,
2008,2011,WLD,Expansion,130092.5813,,,,
2012,2015,WLD,Expansion,182096.7887,,,,
2016,2019,WLD,Expansion,232781.4013,,,,
2004,2007,WLD,Liberated ,58482.51092,,,,
2008,2011,WLD,Liberated ,84567.18432,,,,
2012,2015,WLD,Liberated ,93117.33822,,,,
2016,2019,WLD,Liberated ,107673.9561,,,,
2004,2007,WLD,Stable ,1031772.699,,,,
2008,2011,WLD,Stable ,1005688.025,,,,
2012,2015,WLD,Stable ,997137.8716,,,,
2016,2019,WLD,Stable ,982581.2537,,,,
2024,,WLD,Total,,1264229.396,,,
2030,,WLD,Total,,,,1104800,
2035,,WLD,Total,,,,1061000,
2050,,WLD,Total,,,,933000,
2000,2003,AFG,Total ,2084.92474,,,,
2004,2007,AFG,Total ,2426.642934,,,,
2008,2011,AFG,Total ,2704.134975,,,,
2012,2015,AFG,Total ,2907.653257,,,,
2016,2019,AFG,Total ,3165.676813,,,,
2004,2007,AFG,Expansion,468.4367683,,,,
2008,2011,AFG,Expansion,786.0879334,,,,
2012,2015,AFG,Expansion,1009.192746,,,,
2016,2019,AFG,Expansion,1311.093882,,,,
2004,2007,AFG,Liberated ,126.7185743,,,,
2008,2011,AFG,Liberated ,166.8776991,,,,
2012,2015,AFG,Liberated ,186.46423,,,,
2016,2019,AFG,Liberated ,230.341809,,,,
2004,2007,AFG,Stable ,1958.206166,,,,
2008,2011,AFG,Stable ,1918.047041,,,,
2012,2015,AFG,Stable ,1898.46051,,,,
2016,2019,AFG,Stable ,1854.582931,,,,
2000,2003,AGO,Total ,1131.651457,,,,
2004,2007,AGO,Total ,1213.310239,,,,
2008,2011,AGO,Total ,1424.257516,,,,
2012,2015,AGO,Total ,2142.261601,,,,
2016,2019,AGO,Total ,2994.873869,,,,
2004,2007,AGO,Expansion,262.1555778,,,,
2008,2011,AGO,Expansion,537.2942137,,,,
2012,2015,AGO,Expansion,1249.924754,,,,
2016,2019,AGO,Expansion,2089.899873,,,,
2004,2007,AGO,Liberated ,180.4967951,,,,
2008,2011,AGO,Liberated ,244.6881542,,,,
2012,2015,AGO,Liberated ,239.31461,,,,
2016,2019,AGO,Liberated ,226.6774606,,,,
2004,2007,AGO,Stable ,951.1546614,,,,
2008,2011,AGO,Stable ,886.9633023,,,,
2012,2015,AGO,Stable ,892.3368466,,,,
2016,2019,AGO,Stable ,904.973996,,,,
2000,2003,AIA,Total ,0.007169641,,,,
2004,2007,AIA,Total ,0.001317066,,,,
2008,2011,AIA,Total ,0.001463408,,,,
2012,2015,AIA,Total ,0.005560832,,,,
2016,2019,AIA,Total ,0.047558422,,,,
2004,2007,AIA,Expansion,0.00014634,,,,
2008,2011,AIA,Expansion,0.000804876,,,,
2012,2015,AIA,Expansion,0.004390105,,,,
2016,2019,AIA,Expansion,0.041559485,,,,
2004,2007,AIA,Liberated ,0.005998916,,,,
2008,2011,AIA,Liberated ,0.006511109,,,,
2012,2015,AIA,Liberated ,0.005998914,,,,
