year,year_max,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2015,,WLD,0,,,,
2020,2030,WLD,,,,15,
2020,2035,WLD,,,,16,
2020,2050,WLD,,,20,24.5,29
