year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2002,WLD,River basin,0.70,,,,
2003,WLD,River basin,0.71,,,,
2004,WLD,River basin,1.2,,,,
2005,WLD,River basin,0.85,,,,
2006,WLD,River basin,0.73,,,,
2007,WLD,River basin,0.75,,,,
2008,WLD,River basin,0.62,,,,
2009,WLD,River basin,0.38,,,,
2010,WLD,River basin,0.10,,,,
2011,WLD,River basin,0.51,,,,
2012,WLD,River basin,-0.46,,,,
2013,WLD,River basin,-0.40,,,,
2014,WLD,River basin,-0.32,,,,
2015,WLD,River basin,-1.1,,,,
2016,WLD,River basin,-2.1,,,,
2017,WLD,River basin,0.15,,,,
2018,WLD,River basin,-2.2,,,,
2019,WLD,River basin,-2.1,,,,
2020,WLD,River basin,-1.6,,,,
2021,WLD,River basin,-2.0,,,,
2022,WLD,River basin,-2.3,,,,
2023,WLD,River basin,-2.7,,,,
2024,WLD,River basin,-2.8,,,,
2025,WLD,River basin,-2.8,,,,
2002,WLD,Climatically-similar regions,0.70,,,,
2003,WLD,Climatically-similar regions,0.71,,,,
2004,WLD,Climatically-similar regions,1.2,,,,
2005,WLD,Climatically-similar regions,0.85,,,,
2006,WLD,Climatically-similar regions,0.73,,,,
2007,WLD,Climatically-similar regions,0.75,,,,
2008,WLD,Climatically-similar regions,0.62,,,,
2009,WLD,Climatically-similar regions,0.38,,,,
2010,WLD,Climatically-similar regions,0.10,,,,
2011,WLD,Climatically-similar regions,0.51,,,,
2012,WLD,Climatically-similar regions,-0.46,,,,
2013,WLD,Climatically-similar regions,-0.40,,,,
2014,WLD,Climatically-similar regions,-0.32,,,,
2015,WLD,Climatically-similar regions,-1.1,,,,
2016,WLD,Climatically-similar regions,-2.1,,,,
2017,WLD,Climatically-similar regions,0.15,,,,
2018,WLD,Climatically-similar regions,-2.2,,,,
2019,WLD,Climatically-similar regions,-2.1,,,,
2020,WLD,Climatically-similar regions,-1.6,,,,
2021,WLD,Climatically-similar regions,-2.0,,,,
2022,WLD,Climatically-similar regions,-2.3,,,,
2023,WLD,Climatically-similar regions,-2.7,,,,
2024,WLD,Climatically-similar regions,-2.8,,,,
2025,WLD,Climatically-similar regions,-2.8,,,,
