year,geo,disagg,value
2025,WLD,Total,62
2025,WLD,High,62
2025,WLD,Medium,20
2025,WLD,Low,3.6
2025,WLD,"Target exists, level of alignment not reported",14
2025,AGO,Total,1
2025,ARE,Total,1
2025,ARG,Total,1
2025,AUT,Total,1
2025,BDI,Total,1
2025,BEL,Total,1
2025,BEN,Total,1
2025,BFA,Total,1
2025,BGD,Total,1
2025,BGR,Total,1
2025,BIH,Total,1
2025,BLR,Total,1
2025,BLZ,Total,1
2025,BOL,Total,1
2025,BRA,Total,1
2025,BRN,Total,1
2025,BTN,Total,1
2025,CAN,Total,1
2025,CHN,Total,1
2025,CIV,Total,1
2025,CMR,Total,1
2025,COD,Total,1
2025,COL,Total,1
2025,COM,Total,1
2025,CPV,Total,1
2025,CRI,Total,1
2025,CUB,Total,1
2025,CYP,Total,1
2025,CZE,Total,1
2025,DZA,Total,1
2025,ERI,Total,1
2025,ESP,Total,1
2025,EST,Total,1
2025,ETH,Total,1
2025,EUU,Total,1
2025,FIN,Total,1
2025,FJI,Total,1
2025,FRA,Total,1
2025,GBR,Total,1
2025,GHA,Total,1
2025,GMB,Total,1
2025,GNQ,Total,1
2025,GRC,Total,1
2025,HND,Total,1
2025,HUN,Total,1
2025,IND,Total,1
2025,IRN,Total,1
2025,IRQ,Total,1
2025,ISR,Total,1
2025,JPN,Total,1
2025,KEN,Total,1
2025,KGZ,Total,1
2025,KHM,Total,1
2025,KWT,Total,1
2025,LAO,Total,1
2025,LIE,Total,1
2025,LKA,Total,1
2025,LSO,Total,1
2025,LUX,Total,1
2025,MDG,Total,1
2025,MHL,Total,1
2025,MLI,Total,1
2025,MLT,Total,1
2025,MNE,Total,1
2025,MNG,Total,1
2025,MOZ,Total,1
2025,MWI,Total,1
2025,NAM,Total,1
2025,NER,Total,1
2025,NGA,Total,1
2025,NLD,Total,1
2025,NPL,Total,1
2025,NZL,Total,1
2025,OMN,Total,1
2025,PAK,Total,1
2025,PAN,Total,1
2025,PLW,Total,1
2025,PNG,Total,1
2025,QAT,Total,1
2025,RUS,Total,1
2025,SAU,Total,1
2025,SDN,Total,1
2025,SEN,Total,1
2025,SLE,Total,1
2025,SOM,Total,1
2025,SRB,Total,1
2025,SSD,Total,1
2025,SVK,Total,1
2025,SVN,Total,1
2025,TGO,Total,1
2025,TJK,Total,1
2025,TKM,Total,1
2025,TLS,Total,1
2025,TUN,Total,1
2025,TUV,Total,1
2025,UGA,Total,1
2025,UKR,Total,1
2025,URY,Total,1
2025,UZB,Total,1
2025,VCT,Total,1
2025,VEN,Total,1
2025,YEM,Total,1
2025,ZMB,Total,1
2025,ZWE,Total,1
