year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2011,WLD,51,,,,
2014,WLD,62,,,,
2017,WLD,69,,,,
2021,WLD,74,,,,
2024,WLD,79,,,,
2029,WLD,,87,,,
2030,WLD,,,,100,
2011,AFG,9,,,,
2014,AFG,10,,,,
2017,AFG,15,,,,
2021,AFG,9.7,,,,
2011,AGO,39,,,,
2014,AGO,29,,,,
2011,ALB,28,,,,
2014,ALB,38,,,,
2017,ALB,40,,,,
2021,ALB,44,,,,
2024,ALB,46,,,,
2011,ARE,60,,,,
2014,ARE,84,,,,
2017,ARE,88,,,,
2021,ARE,86,,,,
2024,ARE,73,,,,
2011,ARG,33,,,,
2014,ARG,50,,,,
2017,ARG,49,,,,
2021,ARG,72,,,,
2024,ARG,82,,,,
2011,ARM,17,,,,
2014,ARM,18,,,,
2017,ARM,48,,,,
2021,ARM,55,,,,
2024,ARM,71,,,,
2011,AUS,99,,,,
2014,AUS,99,,,,
2017,AUS,100,,,,
2021,AUS,99,,,,
2024,AUS,98,,,,
2011,AUT,97,,,,
2014,AUT,97,,,,
2017,AUT,98,,,,
2021,AUT,100,,,,
2024,AUT,100,,,,
2011,AZE,15,,,,
2014,AZE,29,,,,
2017,AZE,29,,,,
2022,AZE,46,,,,
2024,AZE,56,,,,
2011,BDI,7.2,,,,
2014,BDI,7.1,,,,
2011,BEL,96,,,,
2014,BEL,98,,,,
2017,BEL,99,,,,
2021,BEL,99,,,,
2024,BEL,98,,,,
2011,BEN,10,,,,
2014,BEN,17,,,,
2017,BEN,38,,,,
2021,BEN,49,,,,
2024,BEN,52,,,,
2011,BFA,13,,,,
2014,BFA,14,,,,
2017,BFA,43,,,,
2021,BFA,36,,,,
2024,BFA,51,,,,
2011,BGD,32,,,,
2014,BGD,31,,,,
2017,BGD,50,,,,
2021,BGD,53,,,,
2024,BGD,43,,,,
2011,BGR,53,,,,
2014,BGR,63,,,,
2017,BGR,72,,,,
2021,BGR,84,,,,
2024,BGR,85,,,,
2011,BHR,65,,,,
2014,BHR,82,,,,
2017,BHR,83,,,,
2024,BHR,82,,,,
2011,BIH,56,,,,
2014,BIH,53,,,,
2017,BIH,59,,,,
2021,BIH,79,,,,
2024,BIH,77,,,,
2011,BLR,59,,,,
2014,BLR,72,,,,
2017,BLR,81,,,,
2014,BLZ,48,,,,
2024,BLZ,68,,,,
2011,BOL,28,,,,
2014,BOL,42,,,,
2017,BOL,54,,,,
2021,BOL,69,,,,
2024,BOL,57,,,,
2011,BRA,56,,,,
2014,BRA,68,,,,
2017,BRA,70,,,,
2021,BRA,84,,,,
2024,BRA,86,,,,
2014,BTN,34,,,,
2011,BWA,30,,,,
2014,BWA,52,,,,
2017,BWA,51,,,,
2022,BWA,59,,,,
2024,BWA,61,,,,
2011,CAF,3.3,,,,
2017,CAF,14,,,,
2011,CAN,96,,,,
2014,CAN,99,,,,
2017,CAN,100,,,,
2021,CAN,100,,,,
2024,CAN,98,,,,
2014,CHE,98,,,,
2017,CHE,98,,,,
2021,CHE,99,,,,
2024,CHE,98,,,,
2011,CHL,42,,,,
2014,CHL,63,,,,
2017,CHL,74,,,,
2021,CHL,87,,,,
2024,CHL,85,,,,
2011,CHN,64,,,,
2014,CHN,79,,,,
2017,CHN,80,,,,
2021,CHN,89,,,,
2024,CHN,89,,,,
2014,CIV,34,,,,
2017,CIV,41,,,,
2021,CIV,51,,,,
2024,CIV,58,,,,
2011,CMR,15,,,,
2014,CMR,12,,,,
2017,CMR,35,,,,
2021,CMR,52,,,,
2024,CMR,61,,,,
2011,COD,3.7,,,,
2014,COD,17,,,,
2017,COD,26,,,,
2022,COD,27,,,,
2024,COD,39,,,,
2011,COG,10,,,,
2014,COG,17,,,,
2017,COG,26,,,,
2021,COG,47,,,,
2024,COG,56,,,,
2011,COL,30,,,,
2014,COL,39,,,,
2017,COL,46,,,,
2021,COL,60,,,,
2024,COL,57,,,,
2011,COM,22,,,,
2022,COM,34,,,,
2024,COM,45,,,,
2011,CRI,50,,,,
2014,CRI,65,,,,
2017,CRI,68,,,,
2021,CRI,68,,,,
2024,CRI,71,,,,
2011,CYP,85,,,,
2014,CYP,90,,,,
2017,CYP,89,,,,
2021,CYP,93,,,,
2024,CYP,96,,,,
2011,CZE,81,,,,
2014,CZE,82,,,,
2017,CZE,81,,,,
2021,CZE,95,,,,
2024,CZE,92,,,,
2011,DEU,98,,,,
2014,DEU,99,,,,
2017,DEU,99,,,,
2021,DEU,100,,,,
2024,DEU,98,,,,
2011,DJI,12,,,,
2011,DNK,100,,,,
2014,DNK,100,,,,
2017,DNK,100,,,,
2021,DNK,100,,,,
2024,DNK,99,,,,
2011,DOM,38,,,,
2014,DOM,54,,,,
2017,DOM,56,,,,
2021,DOM,51,,,,
2024,DOM,65,,,,
2011,DZA,33,,,,
2014,DZA,50,,,,
2017,DZA,43,,,,
2021,DZA,44,,,,
2024,DZA,35,,,,
2011,ECU,37,,,,
2014,ECU,46,,,,
2017,ECU,51,,,,
2021,ECU,64,,,,
2024,ECU,65,,,,
2011,EGY,9.7,,,,
2014,EGY,14,,,,
2017,EGY,33,,,,
2021,EGY,27,,,,
2024,EGY,43,,,,
2011,ESP,93,,,,
2014,ESP,98,,,,
2017,ESP,94,,,,
2021,ESP,98,,,,
2024,ESP,98,,,,
2011,EST,97,,,,
2014,EST,98,,,,
2017,EST,98,,,,
2021,EST,99,,,,
2024,EST,99,,,,
2014,ETH,22,,,,
2017,ETH,35,,,,
2022,ETH,46,,,,
2024,ETH,49,,,,
2011,FIN,100,,,,
2014,FIN,100,,,,
2017,FIN,100,,,,
2021,FIN,100,,,,
2024,FIN,100,,,,
2011,FRA,97,,,,
2014,FRA,97,,,,
2017,FRA,94,,,,
2021,FRA,99,,,,
2024,FRA,99,,,,
2011,GAB,19,,,,
2014,GAB,33,,,,
2017,GAB,59,,,,
2021,GAB,66,,,,
2024,GAB,68,,,,
2011,GBR,97,,,,
2014,GBR,99,,,,
2017,GBR,96,,,,
2021,GBR,100,,,,
2024,GBR,99,,,,
2011,GEO,33,,,,
2014,GEO,40,,,,
2017,GEO,61,,,,
2021,GEO,70,,,,
2024,GEO,79,,,,
2011,GHA,29,,,,
2014,GHA,41,,,,
2017,GHA,58,,,,
2021,GHA,68,,,,
2024,GHA,81,,,,
2011,GIN,3.7,,,,
2014,GIN,7,,,,
2017,GIN,23,,,,
2021,GIN,30,,,,
2024,GIN,36,,,,
2017,GMB,29,,,,
2022,GMB,33,,,,
2024,GMB,38,,,,
2011,GRC,78,,,,
2014,GRC,88,,,,
2017,GRC,85,,,,
2021,GRC,95,,,,
2024,GRC,89,,,,
2011,GTM,22,,,,
2014,GTM,41,,,,
2017,GTM,44,,,,
2022,GTM,37,,,,
2024,GTM,38,,,,
2011,HKG,89,,,,
2014,HKG,96,,,,
2017,HKG,95,,,,
2021,HKG,98,,,,
2024,HKG,97,,,,
2011,HND,21,,,,
2014,HND,31,,,,
2017,HND,45,,,,
2021,HND,38,,,,
2024,HND,42,,,,
2011,HRV,88,,,,
2014,HRV,86,,,,
2017,HRV,86,,,,
2021,HRV,92,,,,
2024,HRV,93,,,,
2011,HTI,22,,,,
2014,HTI,19,,,,
2017,HTI,33,,,,
2011,HUN,73,,,,
2014,HUN,72,,,,
2017,HUN,75,,,,
2021,HUN,88,,,,
2024,HUN,87,,,,
2011,IDN,20,,,,
2014,IDN,36,,,,
2017,IDN,49,,,,
2021,IDN,52,,,,
2024,IDN,56,,,,
2011,IND,35,,,,
2014,IND,53,,,,
2017,IND,80,,,,
2021,IND,78,,,,
2024,IND,89,,,,
2011,IRL,94,,,,
2014,IRL,95,,,,
2017,IRL,95,,,,
2021,IRL,100,,,,
2024,IRL,98,,,,
2011,IRN,74,,,,
2014,IRN,92,,,,
2017,IRN,94,,,,
2021,IRN,90,,,,
2024,IRN,91,,,,
2011,IRQ,11,,,,
2014,IRQ,11,,,,
2017,IRQ,23,,,,
2021,IRQ,19,,,,
2024,IRQ,30,,,,
2021,ISL,100,,,,
2024,ISL,100,,,,
2011,ISR,90,,,,
2014,ISR,90,,,,
2017,ISR,93,,,,
2021,ISR,93,,,,
2024,ISR,89,,,,
2011,ITA,71,,,,
2014,ITA,87,,,,
2017,ITA,94,,,,
2021,ITA,97,,,,
2024,ITA,86,,,,
2011,JAM,71,,,,
2014,JAM,78,,,,
2021,JAM,73,,,,
2011,JOR,25,,,,
2014,JOR,25,,,,
2017,JOR,42,,,,
2021,JOR,47,,,,
2024,JOR,46,,,,
2011,JPN,96,,,,
2014,JPN,97,,,,
2017,JPN,98,,,,
2021,JPN,98,,,,
2024,JPN,99,,,,
2011,KAZ,42,,,,
2014,KAZ,54,,,,
2017,KAZ,59,,,,
2021,KAZ,81,,,,
2024,KAZ,87,,,,
2011,KEN,42,,,,
2014,KEN,75,,,,
2017,KEN,82,,,,
2021,KEN,79,,,,
2024,KEN,90,,,,
2011,KGZ,3.8,,,,
2014,KGZ,18,,,,
2017,KGZ,40,,,,
2021,KGZ,45,,,,
2024,KGZ,72,,,,
2011,KHM,3.7,,,,
2014,KHM,22,,,,
2017,KHM,22,,,,
2021,KHM,33,,,,
2024,KHM,39,,,,
2011,KOR,93,,,,
2014,KOR,94,,,,
2017,KOR,95,,,,
2021,KOR,99,,,,
2024,KOR,97,,,,
2011,KWT,87,,,,
2014,KWT,73,,,,
2017,KWT,80,,,,
2024,KWT,74,,,,
2011,LAO,27,,,,
2017,LAO,29,,,,
2021,LAO,37,,,,
2024,LAO,38,,,,
2011,LBN,37,,,,
2014,LBN,47,,,,
2017,LBN,45,,,,
2021,LBN,21,,,,
2024,LBN,23,,,,
2011,LBR,19,,,,
2017,LBR,36,,,,
2021,LBR,52,,,,
2024,LBR,52,,,,
2017,LBY,66,,,,
2024,LBY,33,,,,
2011,LKA,69,,,,
2014,LKA,83,,,,
2017,LKA,74,,,,
2021,LKA,89,,,,
2024,LKA,82,,,,
2011,LSO,18,,,,
2017,LSO,46,,,,
2022,LSO,64,,,,
2024,LSO,62,,,,
2011,LTU,74,,,,
2014,LTU,78,,,,
2017,LTU,83,,,,
2021,LTU,94,,,,
2024,LTU,99,,,,
2011,LUX,95,,,,
2014,LUX,96,,,,
2017,LUX,99,,,,
2011,LVA,90,,,,
2014,LVA,90,,,,
2017,LVA,93,,,,
2021,LVA,97,,,,
2024,LVA,95,,,,
2017,MAR,29,,,,
2021,MAR,44,,,,
2024,MAR,44,,,,
2011,MDA,18,,,,
2014,MDA,18,,,,
2017,MDA,44,,,,
2021,MDA,64,,,,
2024,MDA,56,,,,
2011,MDG,5.5,,,,
2014,MDG,8.6,,,,
2017,MDG,18,,,,
2022,MDG,26,,,,
2024,MDG,24,,,,
2017,MDV,80,,,,
2011,MEX,27,,,,
2014,MEX,39,,,,
2017,MEX,36,,,,
2022,MEX,49,,,,
2024,MEX,53,,,,
2011,MKD,74,,,,
2014,MKD,72,,,,
2017,MKD,77,,,,
2021,MKD,85,,,,
2024,MKD,84,,,,
2011,MLI,8.2,,,,
2014,MLI,20,,,,
