year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2000,WLD,Total,8.8,,,,
2001,WLD,Total,8.7,,,,
2002,WLD,Total,8.6,,,,
2003,WLD,Total,8.5,,,,
2004,WLD,Total,8.4,,,,
2005,WLD,Total,8.3,,,,
2006,WLD,Total,8.2,,,,
2007,WLD,Total,8.1,,,,
2008,WLD,Total,7.9,,,,
2009,WLD,Total,7.8,,,,
2010,WLD,Total,7.7,,,,
2011,WLD,Total,7.6,,,,
2012,WLD,Total,7.4,,,,
2013,WLD,Total,7.3,,,,
2014,WLD,Total,7.2,,,,
2015,WLD,Total,7.1,,,,
2016,WLD,Total,7.0,,,,
2017,WLD,Total,6.9,,,,
2018,WLD,Total,6.8,,,,
2019,WLD,Total,6.8,,,,
2020,WLD,Total,6.7,,,,
2021,WLD,Total,6.7,,,,
2022,WLD,Total,6.7,,,,
2023,WLD,Total,6.6,,,,
2024,WLD,Total,6.6,,,,
2029,WLD,Total,,6.5,,,
2030,WLD,Total,,,,0,
2000,WLD,High income,1.1,,,,
2001,WLD,High income,1.0,,,,
2002,WLD,High income,1.0,,,,
2003,WLD,High income,0.90,,,,
2004,WLD,High income,0.90,,,,
2005,WLD,High income,0.90,,,,
2006,WLD,High income,0.80,,,,
2007,WLD,High income,0.80,,,,
2008,WLD,High income,0.80,,,,
2009,WLD,High income,0.70,,,,
2010,WLD,High income,0.70,,,,
2011,WLD,High income,0.70,,,,
2012,WLD,High income,0.60,,,,
2013,WLD,High income,0.60,,,,
2014,WLD,High income,0.60,,,,
2015,WLD,High income,0.60,,,,
2016,WLD,High income,0.50,,,,
2017,WLD,High income,0.50,,,,
2018,WLD,High income,0.50,,,,
2019,WLD,High income,0.50,,,,
2020,WLD,High income,0.50,,,,
2021,WLD,High income,0.40,,,,
2022,WLD,High income,0.40,,,,
2023,WLD,High income,0.40,,,,
2024,WLD,High income,0.40,,,,
2000,WLD,Low income,11,,,,
2001,WLD,Low income,11,,,,
2002,WLD,Low income,11,,,,
2003,WLD,Low income,10,,,,
2004,WLD,Low income,10,,,,
2005,WLD,Low income,9.8,,,,
2006,WLD,Low income,9.6,,,,
2007,WLD,Low income,9.4,,,,
2008,WLD,Low income,9.2,,,,
2009,WLD,Low income,9.0,,,,
2010,WLD,Low income,8.8,,,,
2011,WLD,Low income,8.6,,,,
2012,WLD,Low income,8.4,,,,
2013,WLD,Low income,8.2,,,,
2014,WLD,Low income,8.0,,,,
2015,WLD,Low income,7.9,,,,
2016,WLD,Low income,7.7,,,,
2017,WLD,Low income,7.5,,,,
2018,WLD,Low income,7.3,,,,
2019,WLD,Low income,7.2,,,,
2020,WLD,Low income,7.0,,,,
2021,WLD,Low income,6.9,,,,
2022,WLD,Low income,6.7,,,,
2023,WLD,Low income,6.6,,,,
2024,WLD,Low income,6.4,,,,
2000,WLD,Low and middle income,9.2,,,,
2001,WLD,Low and middle income,9.1,,,,
2002,WLD,Low and middle income,9.0,,,,
2003,WLD,Low and middle income,8.9,,,,
2004,WLD,Low and middle income,8.8,,,,
2005,WLD,Low and middle income,8.7,,,,
2006,WLD,Low and middle income,8.6,,,,
2007,WLD,Low and middle income,8.5,,,,
2008,WLD,Low and middle income,8.3,,,,
2009,WLD,Low and middle income,8.2,,,,
2010,WLD,Low and middle income,8.1,,,,
2011,WLD,Low and middle income,7.9,,,,
2012,WLD,Low and middle income,7.8,,,,
2013,WLD,Low and middle income,7.7,,,,
2014,WLD,Low and middle income,7.6,,,,
2015,WLD,Low and middle income,7.5,,,,
2016,WLD,Low and middle income,7.4,,,,
2017,WLD,Low and middle income,7.3,,,,
2018,WLD,Low and middle income,7.2,,,,
2019,WLD,Low and middle income,7.1,,,,
2020,WLD,Low and middle income,7.0,,,,
2021,WLD,Low and middle income,7.0,,,,
2022,WLD,Low and middle income,7.0,,,,
2023,WLD,Low and middle income,6.9,,,,
2024,WLD,Low and middle income,6.9,,,,
2000,WLD,Lower-middle income,12,,,,
2001,WLD,Lower-middle income,12,,,,
2002,WLD,Lower-middle income,12,,,,
2003,WLD,Lower-middle income,12,,,,
2004,WLD,Lower-middle income,12,,,,
