year,geo,disagg,value,,
2019,WLD,Total,1381,,
2020,WLD,Total,875,,
2021,WLD,Total,1936,,
2022,WLD,Total,1936,,
2023,WLD,Total,2366,,
2019,WLD,Scooter,742,,
2019,WLD,Bike,510,,
2019,WLD,Moped,129,,
2020,WLD,Scooter,391,,
2020,WLD,Bike,343,,
2020,WLD,Moped,141,,
2021,WLD,Scooter,1477,,
2021,WLD,Bike,239,,
2021,WLD,Moped,220,,
2022,WLD,Scooter,1477,,
2022,WLD,Bike,239,,
2022,WLD,Moped,220,,
2023,WLD,Scooter,1881,,
2023,WLD,Bike,297,,
2023,WLD,Moped,188,,
2019,ALB,Total,1,,
2019,ARE,Total,1,,
2021,ARE,Total,13,,
2022,ARE,Total,13,,
2023,ARE,Total,18,,
2019,ARG,Total,3,,
2020,ARG,Total,2,,
2019,ARM,Total,1,,
2020,ARM,Total,2,,
2021,ARM,Total,3,,
2022,ARM,Total,3,,
2023,ARM,Total,5,,
2019,AUS,Total,8,,
2020,AUS,Total,3,,
2021,AUS,Total,45,,
2022,AUS,Total,45,,
2023,AUS,Total,51,,
2019,AUT,Total,26,,
2020,AUT,Total,5,,
2021,AUT,Total,21,,
2022,AUT,Total,21,,
2023,AUT,Total,28,,
2023,AZE,Total,1,,
2019,BEL,Total,31,,
2020,BEL,Total,16,,
2021,BEL,Total,33,,
2022,BEL,Total,33,,
2023,BEL,Total,43,,
2021,BGR,Total,7,,
2022,BGR,Total,7,,
2023,BGR,Total,9,,
2021,BHR,Total,2,,
2022,BHR,Total,2,,
2023,BHR,Total,1,,
2021,BIH,Total,1,,
2022,BIH,Total,1,,
2023,BIH,Total,4,,
2019,BLR,Total,1,,
2020,BLR,Total,1,,
2021,BLR,Total,8,,
2022,BLR,Total,8,,
2023,BLR,Total,12,,
2019,BRA,Total,43,,
2020,BRA,Total,7,,
2021,BRA,Total,1,,
2022,BRA,Total,1,,
2019,CAN,Total,10,,
2020,CAN,Total,3,,
2021,CAN,Total,33,,
2022,CAN,Total,33,,
2023,CAN,Total,33,,
2019,CHE,Total,15,,
2020,CHE,Total,6,,
2021,CHE,Total,24,,
2022,CHE,Total,24,,
2023,CHE,Total,56,,
2019,CHL,Total,23,,
2020,CHL,Total,13,,
2021,CHL,Total,2,,
2022,CHL,Total,2,,
2023,CHL,Total,2,,
2019,CHN,Total,206,,
2020,CHN,Total,206,,
2019,COL,Total,9,,
2020,COL,Total,3,,
2021,CYP,Total,3,,
2022,CYP,Total,3,,
2023,CYP,Total,5,,
2019,CZE,Total,12,,
2020,CZE,Total,8,,
2021,CZE,Total,26,,
2022,CZE,Total,26,,
2023,CZE,Total,29,,
2019,DEU,Total,100,,
2020,DEU,Total,75,,
2021,DEU,Total,279,,
2022,DEU,Total,279,,
2023,DEU,Total,360,,
2019,DNK,Total,13,,
2020,DNK,Total,9,,
2021,DNK,Total,14,,
2022,DNK,Total,14,,
2023,DNK,Total,12,,
2023,ECU,Total,2,,
2021,EGY,Total,5,,
2022,EGY,Total,5,,
2023,EGY,Total,6,,
2019,ESP,Total,79,,
2020,ESP,Total,41,,
2021,ESP,Total,72,,
2022,ESP,Total,72,,
2023,ESP,Total,83,,
2019,EST,Total,2,,
2020,EST,Total,2,,
2021,EST,Total,11,,
2022,EST,Total,11,,
2023,EST,Total,13,,
2019,FIN,Total,12,,
2020,FIN,Total,7,,
2021,FIN,Total,25,,
2022,FIN,Total,25,,
2023,FIN,Total,50,,
2019,FRA,Total,56,,
2020,FRA,Total,33,,
2021,FRA,Total,60,,
2022,FRA,Total,60,,
2023,FRA,Total,90,,
2021,FRO,Total,1,,
2022,FRO,Total,1,,
2023,FRO,Total,1,,
2019,GBR,Total,18,,
2020,GBR,Total,13,,
2021,GBR,Total,61,,
2022,GBR,Total,61,,
2023,GBR,Total,44,,
2021,GEO,Total,8,,
2022,GEO,Total,8,,
2023,GEO,Total,9,,
2019,GRC,Total,6,,
2021,GRC,Total,7,,
2022,GRC,Total,7,,
2023,GRC,Total,7,,
2021,GTM,Total,1,,
2022,GTM,Total,1,,
2023,GTM,Total,1,,
2019,HRV,Total,2,,
