geo,disagg,year,value
PSE,Total,2016,20.4
PSE,Total,2017,20
PSE,Total,2018,20.4
PSE,Total,2019,21.1
OMN,Total,2010,45.2
OMN,Total,2011,39.7
OMN,Total,2012,40.4
OMN,Total,2016,47.6
OMN,Total,2017,47.4
OMN,Total,2018,47.8
OMN,Total,2019,45.8
PAK,Total,2010,14.9
PAK,Total,2011,14.4
PAK,Total,2012,19.3
PAK,Total,2013,14.5
PAK,Total,2014,15
PAK,Total,2015,15.2
PAK,Total,2016,17.5
PAK,Total,2018,15.9
PAK,Total,2019,16.7
PAN,Total,2010,35.3
PAN,Total,2011,35
PAN,Total,2012,35.4
PAN,Total,2013,36.7
PAN,Total,2014,36.3
PAN,Total,2015,36.8
PAN,Total,2016,36.8
PAN,Total,2017,36.7
PAN,Total,2018,37.3
PAN,Total,2019,37.1
PNG,Total,2010,5.9
PRY,Total,2010,28.5
PRY,Total,2011,29.3
PRY,Total,2012,30.5
PRY,Total,2013,30.5
PRY,Total,2014,29
PRY,Total,2015,30.1
PRY,Total,2016,33.1
PRY,Total,2017,32.9
PRY,Total,2018,33.3
PRY,Total,2019,33.5
PER,Total,2010,33.9
PER,Total,2011,33.9
PER,Total,2012,34.2
PER,Total,2013,33.9
PER,Total,2014,33.6
PER,Total,2015,33.1
PER,Total,2016,33
PER,Total,2017,35.3
PER,Total,2018,36.2
PER,Total,2019,36.8
PHL,Total,2010,20.8
PHL,Total,2011,21.3
PHL,Total,2012,21.4
PHL,Total,2013,21.8
PHL,Total,2014,22.9
PHL,Total,2015,22.6
PHL,Total,2016,20.9
PHL,Total,2017,20.7
PHL,Total,2018,20.5
PHL,Total,2019,20.8
POL,Total,2010,26.5
POL,Total,2010,91.6
POL,Total,2011,27.1
POL,Total,2012,29.2
POL,Total,2013,29.3
POL,Total,2014,30
POL,Total,2015,30.4
POL,Total,2016,31.2
POL,Total,2017,31.7
POL,Total,2018,32.4
POL,Total,2019,34.9
PRT,Total,2011,32
PRT,Total,2012,30.9
PRT,Total,2013,30.4
PRT,Total,2014,31.9
PRT,Total,2015,33
PRT,Total,2016,34.3
PRT,Total,2017,35.5
PRT,Total,2018,37
PRT,Total,2019,38.1
PRI,Total,2015,23.8
QAT,Total,2010,58
QAT,Total,2011,62.6
QAT,Total,2012,63.6
QAT,Total,2013,59.6
QAT,Total,2016,55.8
QAT,Total,2017,54.1
QAT,Total,2018,54.2
QAT,Total,2019,54.9
KOR,Total,2010,40.3
KOR,Total,2011,40.7
KOR,Total,2012,41.5
KOR,Total,2013,41.9
KOR,Total,2014,42.7
KOR,Total,2015,43
KOR,Total,2016,43
KOR,Total,2017,43.1
KOR,Total,2018,42.9
KOR,Total,2019,42.9
MDA,Total,2010,18.3
MDA,Total,2011,19
MDA,Total,2012,19
MDA,Total,2013,18.8
MDA,Total,2014,23.5
MDA,Total,2015,24.8
MDA,Total,2016,24.8
MDA,Total,2017,24.9
MDA,Total,2018,24.6
MDA,Total,2019,25.9
ROU,Total,2010,26
ROU,Total,2011,25.4
ROU,Total,2012,25.8
ROU,Total,2013,25.7
ROU,Total,2014,26.2
ROU,Total,2015,25.6
ROU,Total,2016,25.7
ROU,Total,2017,27.5
ROU,Total,2018,28.1
ROU,Total,2019,28
RUS,Total,2010,44.3
RUS,Total,2011,45.1
RUS,Total,2012,46
RUS,Total,2013,45.9
RUS,Total,2014,46.4
RUS,Total,2015,45.6
RUS,Total,2016,45.6
RUS,Total,2017,41.6
RUS,Total,2018,41.9
RUS,Total,2019,41.6
RWA,Total,2010,7
RWA,Total,2014,6.5
RWA,Total,2017,7.5
RWA,Total,2018,7.8
RWA,Total,2019,8.1
LCA,Total,2017,32.2
LCA,Total,2018,32.2
LCA,Total,2019,33.9
WSM,Total,2012,9.8
WSM,Total,2014,10
WSM,Total,2017,8.6
STP,Total,2017,21.7
SEN,Total,2011,12.5
SEN,Total,2015,13.5
SEN,Total,2016,14.5
SEN,Total,2017,14.2
SEN,Total,2018,13.7
SEN,Total,2019,13.6
SRB,Total,2010,23.8
SRB,Total,2011,22.7
SRB,Total,2012,22.7
SRB,Total,2013,25
SRB,Total,2014,26.8
SRB,Total,2015,27
SRB,Total,2016,28.4
SRB,Total,2017,29.6
SRB,Total,2018,30.8
SRB,Total,2019,31.8
SLE,Total,2010,9.5
SLE,Total,2014,13.3
SLE,Total,2018,7.7
SGP,Total,2010,64.4
SGP,Total,2011,65.6
SGP,Total,2012,67.2
SGP,Total,2013,67.9
SGP,Total,2014,68.4
SGP,Total,2015,70.2
SGP,Total,2016,69.7
SGP,Total,2017,69.5
SGP,Total,2018,69.6
SGP,Total,2019,69.7
SVK,Total,2010,24.7
SVK,Total,2011,25.5
SVK,Total,2012,28.3
SVK,Total,2013,28.1
SVK,Total,2014,27.4
SVK,Total,2015,27.3
SVK,Total,2016,29.1
SVK,Total,2017,30.5
SVK,Total,2018,31.2
SVK,Total,2019,31
SVN,Total,2010,27.6
SVN,Total,2011,27.3
SVN,Total,2012,25
SVN,Total,2013,24.5
SVN,Total,2014,24.3
SVN,Total,2015,25
SVN,Total,2016,26.5
SVN,Total,2017,28.6
SVN,Total,2018,29.8
SVN,Total,2019,30
ZAF,Total,2010,23.6
ZAF,Total,2011,23.8
ZAF,Total,2012,23.7
ZAF,Total,2013,24
ZAF,Total,2014,24
ZAF,Total,2015,23.3
ZAF,Total,2016,23
ZAF,Total,2017,23.3
ZAF,Total,2018,23.4
ZAF,Total,2019,22.9
ESP,Total,2010,32.1
ESP,Total,2011,31.3
ESP,Total,2012,30.2
ESP,Total,2013,29.5
ESP,Total,2014,30.1
ESP,Total,2015,30.7
ESP,Total,2016,31.3
ESP,Total,2017,34.3
ESP,Total,2018,37.3
ESP,Total,2019,37.6
LKA,Total,2010,4.9
LKA,Total,2011,5.4
LKA,Total,2012,6.7
LKA,Total,2013,6.7
LKA,Total,2014,6.5
LKA,Total,2015,6.6
LKA,Total,2016,6.8
LKA,Total,2017,7.1
LKA,Total,2018,6.8
LKA,Total,2019,6.9
SDN,Total,2011,10.5
SUR,Total,2010,40.6
SUR,Total,2011,41.1
SUR,Total,2012,41.3
SUR,Total,2013,42.4
SUR,Total,2014,42.7
SUR,Total,2015,43.4
SUR,Total,2016,29
SWE,Total,2010,24.5
SWE,Total,2011,24.8
SWE,Total,2012,43.8
SWE,Total,2013,44.2
SWE,Total,2014,44.4
SWE,Total,2015,44.9
SWE,Total,2016,45.3
SWE,Total,2017,45.6
