year,year_max,geo,value
2000,2004,WLD,3
2005,2009,WLD,6
2010,2014,WLD,2
2015,2019,WLD,3
2020,2024,WLD,3
2000,2004,CAF,0
2005,2009,CAF,1
2010,2014,CAF,1
2015,2019,CAF,1
2020,2024,CAF,1
2000,2004,CMR,0
2005,2009,CMR,2
2010,2014,CMR,2
2015,2019,CMR,5
2020,2024,CMR,6
2000,2004,COD,0
2005,2009,COD,2
2010,2014,COD,2
2015,2019,COD,6
2020,2024,COD,6
2000,2004,COG,0
2005,2009,COG,0
2010,2014,COG,2
2015,2019,COG,2
2020,2024,COG,3
2000,2004,GAB,3
2005,2009,GAB,6
2010,2014,GAB,6
2015,2019,GAB,7
2020,2024,GAB,8
2000,2004,GNQ,0
2005,2009,GNQ,3
2010,2014,GNQ,4
2015,2019,GNQ,4
2020,2024,GNQ,4
2000,2004,NGA,0
2005,2009,NGA,1
2010,2014,NGA,1
2015,2019,NGA,1
2020,2024,NGA,1
