year,geo,value,projections,benchmark_low,benchmark_mid,benchmark _high
1990,WLD,0.15,,,,
1991,WLD,0.36,,,,
1992,WLD,0.45,,,,
1993,WLD,0.45,,,,
1994,WLD,0.47,,,,
1995,WLD,0.44,,,,
1996,WLD,0.48,,,,
1997,WLD,0.48,,,,
1998,WLD,0.48,,,,
1999,WLD,0.46,,,,
2000,WLD,0.43,,,,
2001,WLD,0.44,,,,
2002,WLD,0.44,,,,
2003,WLD,0.44,,,,
2004,WLD,0.42,,,,
2005,WLD,4.83,,,,
2006,WLD,4.72,,,,
2007,WLD,4.84,,,,
2008,WLD,4.9,,,,
2009,WLD,4.78,,,,
2010,WLD,4.78,,,,
2011,WLD,5.18,,,,
2012,WLD,8.24,,,,
2013,WLD,9.77,,,,
2014,WLD,10.61,,,,
2015,WLD,11.41,,,,
2016,WLD,11.74,,,,
2017,WLD,12.25,,,,
2018,WLD,11.62,,,,
2019,WLD,13.13,,,,
2020,WLD,13.24,,,,
2021,WLD,22.99,,,,
2022,WLD,23.08,,,,
2030,WLD,,49.3,,100,
