year,geo,disagg,value
2024,AFG,Use of menstrual materials,92
2024,AFG,Private place to change at home,92
2024,AFG,Participation in activities during menstruation,66
2023,DZA,Use of menstrual materials,95
2023,DZA,Private place to change at home,91
2023,DZA,Participation in activities during menstruation,75
2024,AUT,Use of menstrual materials,97
2024,AUT,Participation in activities during menstruation,48
2024,AUT,Awareness of menstruation before menarche,76
2024,AUT,Enough menstrual materials,79
2024,AUT,Comfort seeking medical help,82
2024,AZE,Use of menstrual materials,98
2024,AZE,Private place to change at home,96
2024,AZE,Participation in activities during menstruation,94
2024,BGD,Use of menstrual materials,97
2024,BGD,Private place to change at home,90
2024,BEN,Use of menstrual materials,97
2024,BEN,Private place to change at home,92
2024,BEN,Participation in activities during menstruation,87
2024,BFA,Use of menstrual materials,91
2024,BFA,Private place to change at home,79
2024,BFA,Participation in activities during menstruation,83
2024,KHM,Use of menstrual materials,91
2024,KHM,Private place to change at home,94
2024,KHM,Participation in activities during menstruation,85
2024,KHM,Awareness of menstruation before menarche,53
2023,CAN,Enough menstrual materials,62
2023,CAN,Comfort seeking medical help,70
2023,CAF,Use of menstrual materials,95
2023,CAF,Private place to change at home,92
2023,CAF,Participation in activities during menstruation,69
2023,TCD,Use of menstrual materials,95
2023,TCD,Private place to change at home,93
2023,TCD,Participation in activities during menstruation,67
2024,COM,Use of menstrual materials,87
2024,COM,Private place to change at home,87
2024,COM,Participation in activities during menstruation,78
2022,CRI,Use of menstrual materials,99
2022,CRI,Private place to change at home,99
2022,CRI,Participation in activities during menstruation,92
2024,CIV,Use of menstrual materials,99
2024,CIV,Private place to change at home,88
2023,CUB,Use of menstrual materials,98
2023,CUB,Private place to change at home,95
2023,CUB,Participation in activities during menstruation,73
2021,PRK,Use of menstrual materials,99
2021,PRK,Private place to change at home,99
2021,PRK,Participation in activities during menstruation,98
2022,COD,Use of menstrual materials,94
2022,COD,Private place to change at home,90
2022,COD,Participation in activities during menstruation,85
2023,DOM,Use of menstrual materials,98
2023,DOM,Private place to change at home,95
2023,DOM,Participation in activities during menstruation,78
2020,EGY,Use of menstrual materials,99
2024,SWZ,Use of menstrual materials,97
2024,SWZ,Private place to change at home,95
2024,SWZ,Participation in activities during menstruation,94
2024,ETH,Enough menstrual materials,46
2024,FJI,Use of menstrual materials,97
2024,FJI,Private place to change at home,96
2024,FJI,Participation in activities during menstruation,76
2022,GMB,Use of menstrual materials,98
2022,GMB,Private place to change at home,96
2022,GMB,Participation in activities during menstruation,80
2024,GHA,Use of menstrual materials,98
2024,GHA,Private place to change at home,99
2023,GNB,Participation in activities during menstruation,91
2024,GUY,Use of menstrual materials,96
2024,GUY,Private place to change at home,93
2024,GUY,Participation in activities during menstruation,79
2023,HND,Use of menstrual materials,98
2023,HND,Private place to change at home,97
2023,HND,Participation in activities during menstruation,81
2024,IND,Use of menstrual materials,99
2020,IDN,Use of menstrual materials,98
2020,IDN,Private place to change at home,93
2022,IRQ,Use of menstrual materials,96
2022,IRQ,Private place to change at home,89
2022,IRQ,Participation in activities during menstruation,89
2024,IRL,Private place to change at home,49
2024,IRL,Enough menstrual materials,91
2024,IRL,Able to reduce pain,63
2024,ITA,Private place to change at home,93
2024,ITA,Participation in activities during menstruation,62
2024,ITA,Awareness of menstruation before menarche,92
2024,ITA,Enough menstrual materials,57
2024,JOR,Use of menstrual materials,99
2024,KEN,Use of menstrual materials,98
2024,KEN,Private place to change at home,99
2023,KIR,Use of menstrual materials,98
2023,KIR,Private place to change at home,93
2023,KIR,Participation in activities during menstruation,84
2022,KGZ,Use of menstrual materials,97
2022,KGZ,Private place to change at home,93
2022,KGZ,Participation in activities during menstruation,93
2024,LAO,Use of menstrual materials,89
2024,LAO,Private place to change at home,94
2024,LAO,Participation in activities during menstruation,90
2024,LSO,Use of menstrual materials,99
2024,LSO,Private place to change at home,98
2022,MDG,Use of menstrual materials,94
2022,MDG,Private place to change at home,91
2022,MDG,Participation in activities during menstruation,91
2024,MWI,Use of menstrual materials,97
2024,MWI,Private place to change at home,92
2024,MWI,Participation in activities during menstruation,81
2024,MNG,Private place to change at home,93
2024,MNG,Participation in activities during menstruation,73
2024,MNG,Awareness of menstruation before menarche,65
2024,MNG,Enough menstrual materials,98
2024,MNG,Able to reduce pain,24
2024,MNG,Comfort seeking medical help,81
2022,MNE,Use of menstrual materials,97
2022,MNE,Private place to change at home,97
