year,geo,disagg,value
2000,WLD,Off-shore wind,0.12
2001,WLD,Off-shore wind,0.12
2002,WLD,Off-shore wind,0.12
2003,WLD,Off-shore wind,0.10
2004,WLD,Off-shore wind,0.14
2005,WLD,Off-shore wind,0.11
2006,WLD,Off-shore wind,0.11
2007,WLD,Off-shore wind,0.18
2008,WLD,Off-shore wind,0.18
2009,WLD,Off-shore wind,0.16
2010,WLD,Off-shore wind,0.16
2011,WLD,Off-shore wind,0.17
2012,WLD,Off-shore wind,0.15
2013,WLD,Off-shore wind,0.16
2014,WLD,Off-shore wind,0.17
2015,WLD,Off-shore wind,0.14
2016,WLD,Off-shore wind,0.12
2017,WLD,Off-shore wind,0.11
2018,WLD,Off-shore wind,0.11
2019,WLD,Off-shore wind,0.09
2020,WLD,Off-shore wind,0.08
1996,CHN,On-shore wind,0.18
2010,JPN,Off-shore wind,0.22
1997,CHN,On-shore wind,0.18
2020,JPN,Off-shore wind,0.20
2020,KOR,Off-shore wind,0.12
2010,BEL,Off-shore wind,0.20
2010,DNK,Off-shore wind,0.11
2010,DEU,Off-shore wind,0.17
2010,GBR,Off-shore wind,0.16
2020,BEL,Off-shore wind,0.09
2020,DNK,Off-shore wind,0.09
2020,DEU,Off-shore wind,0.09
2020,NLD,Off-shore wind,0.07
2020,GBR,Off-shore wind,0.12
1983,WLD,On-shore wind,0.31
1984,WLD,On-shore wind,0.30
1985,WLD,On-shore wind,0.28
1986,WLD,On-shore wind,0.25
1987,WLD,On-shore wind,0.24
1988,WLD,On-shore wind,0.20
1989,WLD,On-shore wind,0.19
1990,WLD,On-shore wind,0.21
1991,WLD,On-shore wind,0.20
1992,WLD,On-shore wind,0.19
1993,WLD,On-shore wind,0.20
1994,WLD,On-shore wind,0.19
1995,WLD,On-shore wind,0.20
1996,WLD,On-shore wind,0.18
1997,WLD,On-shore wind,0.16
1998,WLD,On-shore wind,0.14
1999,WLD,On-shore wind,0.14
2000,WLD,On-shore wind,0.14
2001,WLD,On-shore wind,0.13
2002,WLD,On-shore wind,0.12
2003,WLD,On-shore wind,0.11
2004,WLD,On-shore wind,0.11
2005,WLD,On-shore wind,0.10
2006,WLD,On-shore wind,0.11
2007,WLD,On-shore wind,0.10
2008,WLD,On-shore wind,0.09
2009,WLD,On-shore wind,0.09
2010,WLD,On-shore wind,0.09
2011,WLD,On-shore wind,0.08
2012,WLD,On-shore wind,0.08
2013,WLD,On-shore wind,0.08
2014,WLD,On-shore wind,0.07
2015,WLD,On-shore wind,0.06
2016,WLD,On-shore wind,0.06
2017,WLD,On-shore wind,0.06
2018,WLD,On-shore wind,0.05
2019,WLD,On-shore wind,0.05
2020,WLD,On-shore wind,0.04
1984,DNK,On-shore wind,0.24
1985,DNK,On-shore wind,0.23
1986,DNK,On-shore wind,0.22
1987,DNK,On-shore wind,0.22
1988,DNK,On-shore wind,0.22
1989,DNK,On-shore wind,0.20
1990,DNK,On-shore wind,0.21
1991,DNK,On-shore wind,0.20
1992,DNK,On-shore wind,0.18
1993,DNK,On-shore wind,0.18
1995,DNK,On-shore wind,0.16
1996,DNK,On-shore wind,0.15
1997,DNK,On-shore wind,0.15
1998,DNK,On-shore wind,0.15
1999,DNK,On-shore wind,0.14
2000,DNK,On-shore wind,0.15
2001,DNK,On-shore wind,0.15
2002,DNK,On-shore wind,0.11
2003,DNK,On-shore wind,0.09
2004,DNK,On-shore wind,0.09
2005,DNK,On-shore wind,0.10
2006,DNK,On-shore wind,0.12
2008,DNK,On-shore wind,0.10
2010,DNK,On-shore wind,0.11
2011,DNK,On-shore wind,0.10
2012,DNK,On-shore wind,0.08
2013,DNK,On-shore wind,0.08
2015,DNK,On-shore wind,0.06
2016,DNK,On-shore wind,0.06
2017,DNK,On-shore wind,0.05
2018,DNK,On-shore wind,0.05
2019,DNK,On-shore wind,0.05
2020,DNK,On-shore wind,0.05
1998,BRA,On-shore wind,0.07
2001,BRA,On-shore wind,0.15
2002,BRA,On-shore wind,0.13
2003,BRA,On-shore wind,0.15
2005,BRA,On-shore wind,0.14
2006,BRA,On-shore wind,0.11
2007,BRA,On-shore wind,0.11
2008,BRA,On-shore wind,0.09
2009,BRA,On-shore wind,0.12
2010,BRA,On-shore wind,0.11
2011,BRA,On-shore wind,0.09
2012,BRA,On-shore wind,0.08
2013,BRA,On-shore wind,0.08
2014,BRA,On-shore wind,0.07
2015,BRA,On-shore wind,0.06
2016,BRA,On-shore wind,0.06
2017,BRA,On-shore wind,0.05
2018,BRA,On-shore wind,0.05
2019,BRA,On-shore wind,0.04
2020,BRA,On-shore wind,0.04
1990,CAN,On-shore wind,0.21
1992,CAN,On-shore wind,0.18
1994,CAN,On-shore wind,0.10
1996,CAN,On-shore wind,0.15
1999,CAN,On-shore wind,0.14
2000,CAN,On-shore wind,0.12
2001,CAN,On-shore wind,0.10
2002,CAN,On-shore wind,0.10
2003,CAN,On-shore wind,0.09
2004,CAN,On-shore wind,0.09
2005,CAN,On-shore wind,0.09
2006,CAN,On-shore wind,0.09
2007,CAN,On-shore wind,0.10
2008,CAN,On-shore wind,0.09
2009,CAN,On-shore wind,0.09
2010,CAN,On-shore wind,0.10
2011,CAN,On-shore wind,0.09
2012,CAN,On-shore wind,0.10
2013,CAN,On-shore wind,0.09
2014,CAN,On-shore wind,0.08
2015,CAN,On-shore wind,0.08
2016,CAN,On-shore wind,0.08
2017,CAN,On-shore wind,0.07
2018,CAN,On-shore wind,0.06
2019,CAN,On-shore wind,0.06
2020,CAN,On-shore wind,0.04
1998,CHN,On-shore wind,0.16
1999,CHN,On-shore wind,0.15
2000,CHN,On-shore wind,0.14
2001,CHN,On-shore wind,0.12
2002,CHN,On-shore wind,0.13
2003,CHN,On-shore wind,0.09
2004,CHN,On-shore wind,0.10
2005,CHN,On-shore wind,0.10
2006,CHN,On-shore wind,0.09
2007,CHN,On-shore wind,0.08
2008,CHN,On-shore wind,0.08
2009,CHN,On-shore wind,0.07
2010,CHN,Off-shore wind,0.18
2010,CHN,On-shore wind,0.07
2010,CHN,Solar PV,0.30
2011,CHN,On-shore wind,0.07
2011,CHN,Solar PV,0.25
2012,CHN,On-shore wind,0.07
2012,CHN,Solar PV,0.18
2013,CHN,On-shore wind,0.06
2013,CHN,Solar PV,0.15
2014,CHN,On-shore wind,0.06
2014,CHN,Solar PV,0.11
2015,CHN,On-shore wind,0.06
2015,CHN,Solar PV,0.09
1991,FRA,On-shore wind,0.21
1993,FRA,On-shore wind,0.20
1996,FRA,On-shore wind,0.18
1997,FRA,On-shore wind,0.17
1998,FRA,On-shore wind,0.16
1999,FRA,On-shore wind,0.15
2000,FRA,On-shore wind,0.12
2001,FRA,On-shore wind,0.13
2002,FRA,On-shore wind,0.12
2003,FRA,On-shore wind,0.10
2004,FRA,On-shore wind,0.11
2005,FRA,On-shore wind,0.11
2006,FRA,On-shore wind,0.11
2007,FRA,On-shore wind,0.11
2008,FRA,On-shore wind,0.13
2009,FRA,On-shore wind,0.11
2010,FRA,On-shore wind,0.11
2011,FRA,On-shore wind,0.10
2012,FRA,On-shore wind,0.09
2013,FRA,On-shore wind,0.08
2014,FRA,On-shore wind,0.08
2015,FRA,On-shore wind,0.07
2016,FRA,On-shore wind,0.07
2017,FRA,On-shore wind,0.08
2018,FRA,On-shore wind,0.07
2019,FRA,On-shore wind,0.06
2020,FRA,On-shore wind,0.05
1984,DEU,On-shore wind,0.24
1990,DEU,On-shore wind,0.21
1991,DEU,On-shore wind,0.21
1992,DEU,On-shore wind,0.21
1993,DEU,On-shore wind,0.20
1994,DEU,On-shore wind,0.16
1995,DEU,On-shore wind,0.18
1996,DEU,On-shore wind,0.17
1997,DEU,On-shore wind,0.17
1998,DEU,On-shore wind,0.15
1999,DEU,On-shore wind,0.16
2000,DEU,On-shore wind,0.15
2001,DEU,On-shore wind,0.16
2002,DEU,On-shore wind,0.13
2003,DEU,On-shore wind,0.12
2004,DEU,On-shore wind,0.12
2005,DEU,On-shore wind,0.13
2006,DEU,On-shore wind,0.13
2007,DEU,On-shore wind,0.12
2008,DEU,On-shore wind,0.13
2009,DEU,On-shore wind,0.12
2010,DEU,On-shore wind,0.11
2011,DEU,On-shore wind,0.11
2012,DEU,On-shore wind,0.10
2013,DEU,On-shore wind,0.09
2014,DEU,On-shore wind,0.09
2015,DEU,On-shore wind,0.08
2016,DEU,On-shore wind,0.08
2017,DEU,On-shore wind,0.07
2018,DEU,On-shore wind,0.06
2019,DEU,On-shore wind,0.06
2020,DEU,On-shore wind,0.05
1990,IND,On-shore wind,0.24
