year,geo,disagg,value
2021,AFG,Male,89
2021,AFG,Total,89
2011,AGO,Male,86
2011,AGO,Female,88
2011,AGO,Total,60
2020,AGO,Male,89
2020,AGO,Female,89
2020,AGO,Total,62
2021,AGO,Male,90
2021,AGO,Female,90
2021,AGO,Total,76
2022,AGO,Male,88
2022,AGO,Female,88
2022,AGO,Total,74
2023,AGO,Male,90
2023,AGO,Total,89
2024,AGO,Male,87
2024,AGO,Female,88
2024,AGO,Total,52
2025,AGO,Male,83
2025,AGO,Female,83
2025,AGO,Total,62
2005,ARG,Male,85
2005,ARG,Female,86
2005,ARG,Total,49
2006,ARG,Male,82
2006,ARG,Female,83
2006,ARG,Total,47
2008,ARG,Male,79
2008,ARG,Female,80
2008,ARG,Total,48
2009,ARG,Male,78
2009,ARG,Female,79
2009,ARG,Total,44
2010,ARG,Male,78
2010,ARG,Female,79
2010,ARG,Total,52
2011,ARG,Male,79
2011,ARG,Female,80
2011,ARG,Total,41
2012,ARG,Male,78
2012,ARG,Female,79
2012,ARG,Total,45
2013,ARG,Male,80
2013,ARG,Female,81
2013,ARG,Total,49
2014,ARG,Male,82
2014,ARG,Female,83
2014,ARG,Total,55
2017,ARG,Male,80
2017,ARG,Female,81
2017,ARG,Total,55
2018,ARG,Male,79
2018,ARG,Female,80
2018,ARG,Total,47
2019,ARG,Male,80
2019,ARG,Female,81
2019,ARG,Total,48
2020,ARG,Male,81
2020,ARG,Female,82
2020,ARG,Total,49
2021,ARG,Male,84
2021,ARG,Female,85
2021,ARG,Total,74
2022,ARG,Male,82
2022,ARG,Female,83
2022,ARG,Total,46
2023,ARG,Male,81
2023,ARG,Female,82
2023,ARG,Total,47
2024,ARG,Male,83
2024,ARG,Female,85
2024,ARG,Total,44
2015,ARM,Male,97
2015,ARM,Total,97
2016,ARM,Male,97
2016,ARM,Total,97
2017,ARM,Male,97
2017,ARM,Total,97
2018,ATG,Male,29
2018,ATG,Total,31
2013,AUT,Male,2
2013,AUT,Total,3
2021,AUT,Total,5
2022,AUT,Total,5
2014,BDI,Male,96
2014,BDI,Total,96
2008,BEL,Male,4
2008,BEL,Total,4
2011,BEL,Male,9
2011,BEL,Total,9
2012,BEL,Male,8
2012,BEL,Total,9
2013,BEL,Male,8
2013,BEL,Total,8
2014,BEL,Male,11
2014,BEL,Total,10
2015,BEL,Total,5
2017,BEL,Total,4
2018,BEL,Male,7
2018,BEL,Total,6
2019,BEL,Male,5
2019,BEL,Total,6
2020,BEL,Male,3
2020,BEL,Total,3
2021,BEL,Total,6
2023,BEL,Male,7
2023,BEL,Total,7
2024,BEL,Male,5
2024,BEL,Total,4
2011,BEN,Male,92
2011,BEN,Total,92
2022,BEN,Male,96
2022,BEN,Total,97
2018,BFA,Male,97
2018,BFA,Female,97
2018,BFA,Total,91
2022,BFA,Male,92
2022,BFA,Total,92
2023,BFA,Male,96
2023,BFA,Total,96
2017,BGD,Male,99
2017,BGD,Female,98
2017,BGD,Total,100
2022,BGD,Male,94
2022,BGD,Female,94
2022,BGD,Total,97
2023,BGD,Male,94
2023,BGD,Female,94
2023,BGD,Total,94
2024,BGD,Male,93
2024,BGD,Female,93
2024,BGD,Total,98
2007,BGR,Male,22
2007,BGR,Total,23
2008,BGR,Male,26
2008,BGR,Total,28
2009,BGR,Male,23
2009,BGR,Total,25
2010,BGR,Male,21
2010,BGR,Total,23
2011,BGR,Male,22
2011,BGR,Total,24
2012,BGR,Male,16
2012,BGR,Total,17
2013,BGR,Male,13
2013,BGR,Total,13
2014,BGR,Male,16
2014,BGR,Total,18
2015,BGR,Male,19
2015,BGR,Total,20
2016,BGR,Male,13
2016,BGR,Total,14
2017,BGR,Male,13
2017,BGR,Total,14
2018,BGR,Male,15
2018,BGR,Total,15
2019,BGR,Male,10
2019,BGR,Total,10
2020,BGR,Male,6
2020,BGR,Total,6
2021,BGR,Male,11
2021,BGR,Total,11
2022,BGR,Male,8
2022,BGR,Total,8
2023,BGR,Male,10
2023,BGR,Total,11
2024,BGR,Male,12
2024,BGR,Total,13
2019,BHS,Male,29
2019,BHS,Total,29
2007,BIH,Male,50
2007,BIH,Total,52
2008,BIH,Male,48
2008,BIH,Total,50
2009,BIH,Male,41
2009,BIH,Total,42
2010,BIH,Male,35
2010,BIH,Total,37
2011,BIH,Male,37
2011,BIH,Total,37
2012,BIH,Male,43
2012,BIH,Total,44
2013,BIH,Male,39
2013,BIH,Total,41
2014,BIH,Male,37
2014,BIH,Total,38
2015,BIH,Male,31
2015,BIH,Total,32
2016,BIH,Male,36
2016,BIH,Total,37
2017,BIH,Male,35
2017,BIH,Total,35
2018,BIH,Male,32
2018,BIH,Total,33
2019,BIH,Male,29
2019,BIH,Total,30
2024,BIH,Male,17
2024,BIH,Total,18
2000,BOL,Male,74
2000,BOL,Total,76
2001,BOL,Male,83
2001,BOL,Total,83
2002,BOL,Male,87
2002,BOL,Female,86
2002,BOL,Total,97
2006,BOL,Male,99
2006,BOL,Total,99
2007,BOL,Male,91
2007,BOL,Total,91
2008,BOL,Male,92
