geo,year,disagg,value
WLD,2011,Total,9
WLD,2011,Female,8
WLD,2011,Male,10
WLD,2014,Total,22
WLD,2014,Female,21
WLD,2014,Male,24
WLD,2017,Total,22
WLD,2017,Female,21
WLD,2017,Male,24
WLD,2021,Total,28
WLD,2021,Female,27
WLD,2021,Male,30
AFG,2011,Total,7
AFG,2011,Female,5
AFG,2011,Male,10
AFG,2014,Total,4
AFG,2014,Female,1
AFG,2014,Male,8
AFG,2017,Total,4
AFG,2017,Female,3
AFG,2017,Male,4
AFG,2021,Total,2
AFG,2021,Female,1
AFG,2021,Male,3
AFG,2021,Rural,1
AFG,2021,Urban,4
ALB,2011,Total,8
ALB,2011,Female,6
ALB,2011,Male,9
ALB,2014,Total,13
ALB,2014,Female,13
ALB,2014,Male,14
ALB,2017,Total,13
ALB,2017,Female,11
ALB,2017,Male,14
ALB,2021,Total,13
ALB,2021,Female,12
ALB,2021,Male,15
ALB,2021,Rural,13
ALB,2021,Urban,14
DZA,2011,Total,1
DZA,2011,Male,3
DZA,2014,Total,6
DZA,2014,Female,5
DZA,2014,Male,7
DZA,2017,Total,5
DZA,2017,Female,3
DZA,2017,Male,7
DZA,2021,Total,4
DZA,2021,Female,2
DZA,2021,Male,5
AGO,2011,Total,8
AGO,2011,Female,7
AGO,2011,Male,9
AGO,2014,Total,6
AGO,2014,Female,4
AGO,2014,Male,7
ARG,2011,Total,7
ARG,2011,Female,8
ARG,2011,Male,5
ARG,2014,Total,27
ARG,2014,Female,25
ARG,2014,Male,29
ARG,2017,Total,24
ARG,2017,Female,24
ARG,2017,Male,24
ARG,2021,Total,31
ARG,2021,Female,25
ARG,2021,Male,36
ARM,2011,Total,19
ARM,2011,Female,19
ARM,2011,Male,18
ARM,2014,Total,21
ARM,2014,Female,23
ARM,2014,Male,19
ARM,2017,Total,31
ARM,2017,Female,28
ARM,2017,Male,35
ARM,2021,Total,26
ARM,2021,Female,23
ARM,2021,Male,31
ARM,2021,Rural,27
ARM,2021,Urban,26
AUS,2011,Total,17
AUS,2011,Female,15
AUS,2011,Male,19
AUS,2014,Total,65
AUS,2014,Female,66
AUS,2014,Male,64
AUS,2017,Total,64
AUS,2017,Female,64
AUS,2017,Male,64
AUS,2021,Total,57
AUS,2021,Female,59
AUS,2021,Male,55
AUT,2011,Total,8
AUT,2011,Female,8
AUT,2011,Male,9
AUT,2014,Total,42
AUT,2014,Female,35
AUT,2014,Male,50
AUT,2017,Total,47
AUT,2017,Female,46
AUT,2017,Male,48
AUT,2021,Total,57
AUT,2021,Female,53
AUT,2021,Male,60
AZE,2011,Total,18
AZE,2011,Female,15
AZE,2011,Male,20
AZE,2014,Total,25
AZE,2014,Female,19
AZE,2014,Male,31
AZE,2017,Total,15
AZE,2017,Female,13
AZE,2017,Male,18
AZE,2022,Total,19
AZE,2022,Female,17
AZE,2022,Male,22
BHR,2011,Total,22
BHR,2011,Female,6
BHR,2011,Male,36
BHR,2014,Total,39
BHR,2014,Female,28
BHR,2014,Male,45
BHR,2017,Total,36
BHR,2017,Female,24
BHR,2017,Male,43
BGD,2011,Total,23
BGD,2011,Female,22
BGD,2011,Male,24
BGD,2014,Total,10
BGD,2014,Female,10
BGD,2014,Male,10
BGD,2017,Total,9
BGD,2017,Female,8
BGD,2017,Male,11
BGD,2021,Total,14
BGD,2021,Female,16
BGD,2021,Male,13
BGD,2021,Rural,12
BGD,2021,Urban,15
BLR,2011,Total,16
BLR,2011,Female,16
BLR,2011,Male,17
BLR,2014,Total,21
BLR,2014,Female,19
BLR,2014,Male,23
BLR,2017,Total,21
BLR,2017,Female,23
BLR,2017,Male,20
BEL,2011,Total,11
BEL,2011,Female,13
BEL,2011,Male,8
BEL,2014,Total,45
BEL,2014,Female,44
BEL,2014,Male,47
BEL,2017,Total,48
BEL,2017,Female,44
BEL,2017,Male,53
BEL,2021,Total,48
BEL,2021,Female,44
BEL,2021,Male,52
BLZ,2014,Total,19
BLZ,2014,Female,21
BLZ,2014,Male,17
BEN,2011,Total,4
BEN,2011,Female,5
BEN,2011,Male,3
BEN,2014,Total,8
BEN,2014,Female,9
BEN,2014,Male,6
BEN,2017,Total,11
BEN,2017,Female,10
BEN,2017,Male,13
BEN,2021,Total,8
BEN,2021,Female,6
BEN,2021,Male,10
BEN,2021,Rural,9
BEN,2021,Urban,8
BTN,2014,Total,4
BTN,2014,Female,4
BTN,2014,Male,4
BOL,2011,Total,17
BOL,2011,Female,18
BOL,2011,Male,16
BOL,2014,Total,22
BOL,2014,Female,20
BOL,2014,Male,24
BOL,2017,Total,20
BOL,2017,Female,21
BOL,2017,Male,19
BOL,2021,Total,19
BOL,2021,Female,18
BOL,2021,Male,21
BIH,2011,Total,13
BIH,2011,Female,13
BIH,2011,Male,14
BIH,2014,Total,18
BIH,2014,Female,18
BIH,2014,Male,17
BIH,2017,Total,15
BIH,2017,Female,13
BIH,2017,Male,17
BIH,2021,Total,21
BIH,2021,Female,19
BIH,2021,Male,24
BWA,2011,Total,6
BWA,2011,Female,5
BWA,2011,Male,6
BWA,2014,Total,18
BWA,2014,Female,14
BWA,2014,Male,21
BWA,2017,Total,9
BWA,2017,Female,7
BWA,2017,Male,11
BWA,2022,Total,10
BWA,2022,Female,8
BWA,2022,Male,12
BRA,2011,Total,6
BRA,2011,Female,6
BRA,2011,Male,7
BRA,2014,Total,34
BRA,2014,Female,29
BRA,2014,Male,39
BRA,2017,Total,26
BRA,2017,Female,23
BRA,2017,Male,30
BRA,2021,Total,41
BRA,2021,Female,33
BRA,2021,Male,48
BGR,2011,Total,8
BGR,2011,Female,7
BGR,2011,Male,8
BGR,2014,Total,19
BGR,2014,Female,18
BGR,2014,Male,20
BGR,2017,Total,19
BGR,2017,Female,18
BGR,2017,Male,19
BGR,2021,Total,26
BGR,2021,Female,23
BGR,2021,Male,30
BFA,2011,Total,3
BFA,2011,Female,3
BFA,2011,Male,3
BFA,2014,Total,6
BFA,2014,Female,5
BFA,2014,Male,7
BFA,2017,Total,10
BFA,2017,Female,10
BFA,2017,Male,10
BFA,2021,Total,7
BFA,2021,Female,5
BFA,2021,Male,9
BFA,2021,Rural,7
BFA,2021,Urban,7
BDI,2011,Total,2
BDI,2011,Female,1
BDI,2011,Male,3
BDI,2014,Total,2
BDI,2014,Female,1
BDI,2014,Male,2
KHM,2011,Total,19
KHM,2011,Female,20
KHM,2011,Male,19
KHM,2014,Total,28
KHM,2014,Female,30
KHM,2014,Male,26
KHM,2017,Total,27
KHM,2017,Female,30
KHM,2017,Male,23
KHM,2021,Total,31
KHM,2021,Female,34
KHM,2021,Male,28
KHM,2021,Rural,31
KHM,2021,Urban,32
CMR,2011,Total,4
CMR,2011,Female,3
CMR,2011,Male,6
CMR,2014,Total,2
CMR,2014,Female,2
CMR,2014,Male,2
CMR,2017,Total,8
CMR,2017,Female,7
CMR,2017,Male,9
CMR,2021,Total,7
CMR,2021,Female,6
CMR,2021,Male,8
CMR,2021,Rural,5
CMR,2021,Urban,9
CAN,2011,Total,20
CAN,2011,Female,18
CAN,2011,Male,23
CAN,2014,Total,76
CAN,2014,Female,74
CAN,2014,Male,79
CAN,2017,Total,83
CAN,2017,Female,83
CAN,2017,Male,83
CAN,2021,Total,81
CAN,2021,Female,81
CAN,2021,Male,81
CAF,2011,Total,1
CAF,2011,Female,1
CAF,2011,Male,1
CAF,2017,Total,4
CAF,2017,Female,4
CAF,2017,Male,5
TCD,2011,Total,6
TCD,2011,Female,6
TCD,2011,Male,6
TCD,2014,Total,2
TCD,2014,Female,1
TCD,2014,Male,3
TCD,2017,Total,4
TCD,2017,Female,2
TCD,2017,Male,6
TCD,2022,Total,8
TCD,2022,Female,8
TCD,2022,Male,9
CHL,2011,Total,8
CHL,2011,Female,6
CHL,2011,Male,10
CHL,2014,Total,31
CHL,2014,Female,28
CHL,2014,Male,35
CHL,2017,Total,31
CHL,2017,Female,30
CHL,2017,Male,32
CHL,2021,Total,24
CHL,2021,Female,20
CHL,2021,Male,28
CHL,2021,Rural,14
CHL,2021,Urban,27
CHN,2011,Total,7
CHN,2011,Female,6
CHN,2011,Male,8
CHN,2014,Total,20
CHN,2014,Female,19
CHN,2014,Male,22
CHN,2017,Total,22
CHN,2017,Female,19
CHN,2017,Male,24
CHN,2021,Total,39
CHN,2021,Female,39
CHN,2021,Male,39
COL,2011,Total,12
COL,2011,Female,11
COL,2011,Male,13
COL,2014,Total,22
COL,2014,Female,20
COL,2014,Male,24
COL,2017,Total,21
COL,2017,Female,17
COL,2017,Male,26
COL,2021,Total,18
COL,2021,Female,14
COL,2021,Male,23
COM,2011,Total,7
COM,2011,Female,6
COM,2011,Male,9
COM,2022,Total,8
COM,2022,Female,7
COM,2022,Male,10
COD,2011,Total,2
COD,2011,Female,2
COD,2011,Male,1
COD,2014,Total,3
COD,2014,Female,3
COD,2014,Male,3
COD,2017,Total,4
COD,2017,Female,3
COD,2017,Male,5
COD,2022,Total,4
COD,2022,Female,4
COD,2022,Male,3
COG,2011,Total,3
COG,2011,Female,2
COG,2011,Male,5
COG,2014,Total,5
COG,2014,Female,5
COG,2014,Male,5
COG,2017,Total,5
COG,2017,Female,5
COG,2017,Male,5
COG,2021,Total,6
COG,2021,Female,6
COG,2021,Male,7
COG,2021,Rural,7
COG,2021,Urban,5
CRI,2011,Total,10
CRI,2011,Female,8
CRI,2011,Male,12
CRI,2014,Total,20
CRI,2014,Female,18
CRI,2014,Male,23
CRI,2017,Total,21
CRI,2017,Female,18
CRI,2017,Male,25
CRI,2021,Total,17
CRI,2021,Female,13
CRI,2021,Male,22
CIV,2014,Total,3
CIV,2014,Female,2
CIV,2014,Male,3
CIV,2017,Total,3
CIV,2017,Female,1
CIV,2017,Male,4
CIV,2021,Total,4
CIV,2021,Female,2
CIV,2021,Male,6
CIV,2021,Rural,3
CIV,2021,Urban,5
HRV,2011,Total,14
HRV,2011,Female,15
HRV,2011,Male,14
HRV,2014,Total,42
HRV,2014,Female,41
HRV,2014,Male,43
HRV,2017,Total,38
HRV,2017,Female,33
HRV,2017,Male,43
HRV,2021,Total,33
HRV,2021,Female,28
HRV,2021,Male,38
CYP,2011,Total,27
CYP,2011,Female,25
CYP,2011,Male,29
CYP,2014,Total,29
CYP,2014,Female,31
CYP,2014,Male,28
CYP,2017,Total,25
CYP,2017,Female,24
CYP,2017,Male,26
CYP,2021,Total,31
CYP,2021,Female,29
CYP,2021,Male,33
CZE,2011,Total,9
CZE,2011,Female,9
CZE,2011,Male,10
CZE,2014,Total,28
CZE,2014,Female,26
CZE,2014,Male,31
CZE,2017,Total,30
CZE,2017,Female,27
CZE,2017,Male,32
CZE,2021,Total,31
CZE,2021,Female,27
CZE,2021,Male,35
DNK,2011,Total,19
DNK,2011,Female,19
DNK,2011,Male,18
DNK,2014,Total,41
DNK,2014,Female,35
DNK,2014,Male,47
DNK,2017,Total,46
DNK,2017,Female,42
DNK,2017,Male,50
