year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2001,WLD,3.42,,,,
2002,WLD,4.46,,,,
2003,WLD,3.88,,,,
2004,WLD,5.62,,,,
2005,WLD,5.23,,,,
2006,WLD,4.69,,,,
2007,WLD,4.84,,,,
2008,WLD,4.92,,,,
2009,WLD,5.04,,,,
2010,WLD,5.14,,,,
2011,WLD,4.83,,,,
2012,WLD,6.24,,,,
2013,WLD,4.3,,,,
2014,WLD,5.78,,,,
2015,WLD,4.71,,,,
2016,WLD,6.47,,,,
2017,WLD,6.3,,,,
2018,WLD,5.29,,,,
2019,WLD,5.13,,,,
2020,WLD,5,,,,
2021,WLD,4.94,,,,
2022,WLD,5.38,,,,
2023,WLD,5.37,,,,
2028,WLD,,4.56,,,
2030,WLD,,,,1.9,
2035,WLD,,,,1.5,
2050,WLD,,,,0.31,
