year,year_max,geo,disagg,value
2021,2027,EUU,Total,26502
2021,2027,EUU,Spent,1402
2021,2027,EUU,Planned,26502
2021,2027,EUU,Decided,13761
2021,2027,AUT,Total,287
2021,2027,AUT,Spent,14
2021,2027,AUT,Planned,287
2021,2027,AUT,Decided,141
2021,2027,BEL,Total,457
2021,2027,BEL,Spent,0
2021,2027,BEL,Planned,457
2021,2027,BEL,Decided,36
2021,2027,BGR,Total,1474
2021,2027,BGR,Spent,8
2021,2027,BGR,Planned,1474
2021,2027,BGR,Decided,162
2021,2027,CYP,Total,144
2021,2027,CYP,Spent,0
2021,2027,CYP,Planned,144
2021,2027,CYP,Decided,47
2021,2027,CZE,Total,1931
2021,2027,CZE,Spent,153
2021,2027,CZE,Planned,1931
2021,2027,CZE,Decided,1536
2021,2027,DEU,Total,3667
2021,2027,DEU,Spent,92
2021,2027,DEU,Planned,3667
2021,2027,DEU,Decided,1697
2021,2027,DNK,Total,126
2021,2027,DNK,Spent,8
2021,2027,DNK,Planned,126
2021,2027,DNK,Decided,79
2021,2027,ESP,Total,1212
2021,2027,ESP,Spent,0
2021,2027,ESP,Planned,1212
2021,2027,ESP,Decided,590
2021,2027,EST,Total,575
2021,2027,EST,Spent,100
2021,2027,EST,Planned,575
2021,2027,EST,Decided,676
2021,2027,FIN,Total,665
2021,2027,FIN,Spent,160
2021,2027,FIN,Planned,665
2021,2027,FIN,Decided,524
2021,2027,FRA,Total,1693
2021,2027,FRA,Spent,51
2021,2027,FRA,Planned,1693
2021,2027,FRA,Decided,632
2021,2027,GRC,Total,1629
2021,2027,GRC,Spent,69
2021,2027,GRC,Planned,1629
2021,2027,GRC,Decided,800
2021,2027,HRV,Total,219
2021,2027,HRV,Spent,2
2021,2027,HRV,Planned,219
2021,2027,HRV,Decided,39
2021,2027,HUN,Total,307
2021,2027,HUN,Spent,0
2021,2027,HUN,Planned,307
2021,2027,HUN,Decided,1
2021,2027,IRL,Total,169
2021,2027,IRL,Spent,18
2021,2027,IRL,Planned,169
2021,2027,IRL,Decided,93
2021,2027,ITA,Total,1211
2021,2027,ITA,Spent,0
2021,2027,ITA,Planned,1211
2021,2027,ITA,Decided,155
2021,2027,LTU,Total,321
2021,2027,LTU,Spent,3
2021,2027,LTU,Planned,321
2021,2027,LTU,Decided,229
2021,2027,LUX,Total,18
2021,2027,LUX,Spent,2
2021,2027,LUX,Planned,18
2021,2027,LUX,Decided,17
2021,2027,LVA,Total,225
2021,2027,LVA,Spent,10
2021,2027,LVA,Planned,225
2021,2027,LVA,Decided,107
2021,2027,MLT,Total,33
2021,2027,MLT,Spent,7
2021,2027,MLT,Planned,33
2021,2027,MLT,Decided,33
2021,2027,NLD,Total,1246
2021,2027,NLD,Spent,201
2021,2027,NLD,Planned,1246
2021,2027,NLD,Decided,1189
2021,2027,POL,Total,4777
2021,2027,POL,Spent,347
2021,2027,POL,Planned,4777
2021,2027,POL,Decided,3143
2021,2027,PRT,Total,295
2021,2027,PRT,Spent,13
2021,2027,PRT,Planned,295
2021,2027,PRT,Decided,174
2021,2027,ROU,Total,2531
2021,2027,ROU,Spent,66
2021,2027,ROU,Planned,2531
2021,2027,ROU,Decided,967
2021,2027,SVK,Total,671
2021,2027,SVK,Spent,47
2021,2027,SVK,Planned,671
2021,2027,SVK,Decided,259
2021,2027,SVN,Total,304
2021,2027,SVN,Spent,4
2021,2027,SVN,Planned,304
2021,2027,SVN,Decided,140
2021,2027,SWE,Total,311
2021,2027,SWE,Spent,26
2021,2027,SWE,Planned,311
2021,2027,SWE,Decided,293
