year,geo,disagg_type,disagg,value
2014,AFG,All,Total,4
2014,ALB,All,Total,13
2014,DZA,All,Total,6
2014,AGO,All,Total,6
2014,ARG,All,Total,27
2014,ARM,All,Total,21
2014,AUS,All,Total,65
2014,AUT,All,Total,42
2014,AZE,All,Total,25
2014,BHR,All,Total,39
2014,BGD,All,Total,10
2014,BLR,All,Total,21
2014,BEL,All,Total,45
2014,BLZ,All,Total,19
2014,BEN,All,Total,8
2014,BTN,All,Total,4
2014,BOL,All,Total,22
2014,BIH,All,Total,18
2014,BWA,All,Total,18
2014,BRA,All,Total,34
2014,BGR,All,Total,19
2014,BFA,All,Total,6
2014,BDI,All,Total,2
2014,KHM,All,Total,28
2014,CMR,All,Total,2
2014,CAN,All,Total,76
2014,TCD,All,Total,2
2014,CHL,All,Total,31
2014,CHN,All,Total,20
2014,COL,All,Total,22
2014,COD,All,Total,3
2014,COG,All,Total,5
2014,CRI,All,Total,20
2014,CIV,All,Total,3
2014,HRV,All,Total,42
2014,CYP,All,Total,29
2014,CZE,All,Total,28
2014,DNK,All,Total,41
2014,DOM,All,Total,24
2014,ECU,All,Total,17
2014,EGY,All,Total,8
2014,SLV,All,Total,21
2014,EST,All,Total,32
2014,ETH,All,Total,7
2014,FIN,All,Total,58
2014,FRA,All,Total,43
2014,GAB,All,Total,7
2014,GEO,All,Total,20
2014,DEU,All,Total,46
2014,GHA,All,Total,8
2014,GRC,All,Total,16
2014,GTM,All,Total,15
2014,GIN,All,Total,3
2014,HTI,All,Total,6
2014,HND,All,Total,13
2014,HKG,All,Total,60
2014,HUN,All,Total,16
2014,IND,All,Total,9
2014,IDN,All,Total,14
2014,IRN,All,Total,38
2014,IRQ,All,Total,5
2014,IRL,All,Total,50
2014,ISR,All,Total,79
2014,ITA,All,Total,39
2014,JAM,All,Total,18
2014,JPN,All,Total,54
2014,JOR,All,Total,15
2014,KAZ,All,Total,20
2014,KEN,All,Total,16
2014,KOR,All,Total,57
2014,XKX,All,Total,17
2014,KWT,All,Total,30
2014,KGZ,All,Total,15
2014,LVA,All,Total,29
2014,LBN,All,Total,21
2014,LTU,All,Total,15
2014,LUX,All,Total,68
2014,MDG,All,Total,2
2014,MWI,All,Total,7
2014,MYS,All,Total,31
2014,MLI,All,Total,3
2014,MLT,All,Total,37
2014,MRT,All,Total,9
2014,MUS,All,Total,25
2014,MEX,All,Total,18
2014,MDA,All,Total,10
2014,MNG,All,Total,36
2014,MNE,All,Total,30
2014,MMR,All,Total,16
2014,NAM,All,Total,12
2014,NPL,All,Total,12
2014,NLD,All,Total,35
2014,NZL,All,Total,69
2014,NIC,All,Total,16
2014,NER,All,Total,2
2014,NGA,All,Total,7
2014,MKD,All,Total,25
2014,NOR,All,Total,63
2014,PAK,All,Total,2
2014,PAN,All,Total,17
2014,PER,All,Total,18
2014,PHL,All,Total,13
2014,POL,All,Total,27
2014,PRT,All,Total,26
2014,PRI,All,Total,27
2014,ROU,All,Total,19
2014,RUS,All,Total,22
2014,RWA,All,Total,8
2014,SAU,All,Total,17
2014,SEN,All,Total,4
2014,SRB,All,Total,20
2014,SLE,All,Total,4
2014,SGP,All,Total,38
2014,SVK,All,Total,26
2014,SVN,All,Total,35
2014,SOM,All,Total,2
2014,ZAF,All,Total,19
2014,ESP,All,Total,51
2014,LKA,All,Total,20
2014,SDN,All,Total,4
2014,SWE,All,Total,50
2014,CHE,All,Total,52
2014,TWN,All,Total,55
2014,TJK,All,Total,4
2014,TZA,All,Total,7
2014,THA,All,Total,18
2014,TGO,All,Total,4
2014,TUN,All,Total,12
2014,TUR,All,Total,36
2014,UGA,All,Total,16
2014,UKR,All,Total,22
2014,ARE,All,Total,39
2014,GBR,All,Total,62
2014,USA,All,Total,65
2014,URY,All,Total,44
2014,UZB,All,Total,2
2014,VEN,All,Total,20
2014,VNM,All,Total,20
2014,PSE,All,Total,5
2014,YEM,All,Total,1
2014,ZMB,All,Total,6
2014,ZWE,All,Total,4
2017,AFG,All,Total,4
2017,ALB,All,Total,13
2017,DZA,All,Total,5
2017,ARG,All,Total,24
2017,ARM,All,Total,31
2017,AUS,All,Total,64
2017,AUT,All,Total,47
2017,AZE,All,Total,15
2017,BHR,All,Total,36
2017,BGD,All,Total,9
2017,BLR,All,Total,21
2017,BEL,All,Total,48
2017,BEN,All,Total,11
2017,BOL,All,Total,20
2017,BIH,All,Total,15
2017,BWA,All,Total,9
2017,BRA,All,Total,26
2017,BGR,All,Total,19
2017,BFA,All,Total,10
2017,KHM,All,Total,27
2017,CMR,All,Total,8
2017,CAN,All,Total,83
2017,CAF,All,Total,4
2017,TCD,All,Total,4
2017,CHL,All,Total,31
2017,CHN,All,Total,22
2017,COL,All,Total,21
2017,COD,All,Total,4
2017,COG,All,Total,5
2017,CRI,All,Total,21
2017,CIV,All,Total,3
2017,HRV,All,Total,38
2017,CYP,All,Total,25
2017,CZE,All,Total,30
2017,DNK,All,Total,46
2017,DOM,All,Total,30
2017,ECU,All,Total,17
2017,EGY,All,Total,9
2017,SLV,All,Total,12
2017,EST,All,Total,32
2017,ETH,All,Total,11
2017,FIN,All,Total,54
2017,FRA,All,Total,45
2017,GAB,All,Total,8
2017,GMB,All,Total,5
2017,GEO,All,Total,27
2017,DEU,All,Total,55
2017,GHA,All,Total,12
2017,GRC,All,Total,11
2017,GTM,All,Total,13
2017,GIN,All,Total,6
2017,HTI,All,Total,13
