year,value,projections,benchmark_low,benchmark_mid,benchmark_high
2010,2.5,,,,
2011,2.3,,,,
2012,2.7,,,,
2013,3,,,,
2014,3.1,,,,
2015,3.4,,,,
2016,3.5,,,,
2017,3.6,,,,
2018,3.5,,,,
2019,3.6,,,,
2020,3.3,,,,
2021,3.6,,,,
2022,3.6,,,,
2023,,4.4,,4.4,
2024,,4.6,,5.4,
2025,,4.8,,6.6,
2026,,,,8,
2027,,,,9.8,
2028,,,,11.8,
2029,,,,14.2,
2030,,,,17,
2031,,,,21.3,
2032,,,,26.3,
2033,,,,32,
2034,,,,38.4,
2035,,,,45.2,
2036,,,,52.2,
2037,,,,59.2,
2038,,,,65.8,
2039,,,,72,
2040,,,,77.5,
2041,,,,82.3,
2042,,,,86.3,
2043,,,,89.6,
2044,,,,92.3,
2045,,,,94.5,
2046,,,,96.2,
2047,,,,97.5,
2048,,,,98.6,
2049,,,,99.4,
2050,,,,100,
