year,geo,disagg_type,disagg,value
2006,WLD,Kingdom,Diverse/Unspecified,2365965941
2006,WLD,Kingdom,Fungi,3370806616
2006,WLD,Kingdom,Plantae,18901848637
2006,WLD,Kingdom,Viruses,3727862021
2006,WLD,Kingdom,Unspecified,155833091
2007,WLD,Kingdom,Animalia,89971324964
2007,WLD,Kingdom,Bacteria,20781985
2007,WLD,Kingdom,Diverse/Unspecified,7056533904
2007,WLD,Kingdom,Plantae,1309443812
2007,WLD,Kingdom,Unspecified,788174
2008,WLD,Kingdom,Animalia,3489676725
2008,WLD,Kingdom,Chromista,309852375
2008,WLD,Kingdom,Diverse/Unspecified,20187557
2008,WLD,Kingdom,Fungi,4707005769
2008,WLD,Kingdom,Plantae,737940873
2008,WLD,Kingdom,Viruses,70874525
2008,WLD,Kingdom,Unspecified,589110
2009,WLD,Kingdom,Animalia,40647508324
2009,WLD,Kingdom,Animalia/Plantae,71042
2009,WLD,Kingdom,Bacteria,47925621
2009,WLD,Kingdom,Diverse/Unspecified,19381665
2009,WLD,Kingdom,Fungi,7752527
2009,WLD,Kingdom,Plantae,13208286506
2009,WLD,Kingdom,Viruses,18278784
2009,WLD,Kingdom,Unspecified,785210
2010,WLD,Kingdom,Animalia,37819130461
2010,WLD,Kingdom,Animalia/Plantae,8817023
2010,WLD,Kingdom,Bacteria,12
2010,WLD,Kingdom,Chromista,18781489
2010,WLD,Kingdom,Diverse/Unspecified,16947642262
2010,WLD,Kingdom,Fungi,262487001
2010,WLD,Kingdom,Plantae,11167885967
2010,WLD,Kingdom,Viruses,4285915043
2010,WLD,Kingdom,Unspecified,714153382
2011,WLD,Kingdom,Animalia,163642961258
2011,WLD,Kingdom,Animalia/Plantae,337116
2011,WLD,Kingdom,Chromista,250429413
2011,WLD,Kingdom,Diverse/Unspecified,29907231128
2011,WLD,Kingdom,Fungi,1235734135
2011,WLD,Kingdom,Ortharnavirae,11131536
2011,WLD,Kingdom,Plantae,28216742120
2011,WLD,Kingdom,Viruses,29058
2011,WLD,Kingdom,Unspecified,138481335
2012,WLD,Kingdom,Animalia,101030759809
2012,WLD,Kingdom,Animalia/Plantae,455733943
2012,WLD,Kingdom,Diverse/Unspecified,29329599985
2012,WLD,Kingdom,Fungi,41197400
2012,WLD,Kingdom,Plantae,6530125116
2012,WLD,Kingdom,Viruses,26277
2012,WLD,Kingdom,Unspecified,27680
2013,WLD,Kingdom,Animalia,18643710210
2013,WLD,Kingdom,Animalia/Fungi,7436
2013,WLD,Kingdom,Animalia/Plantae,1581287421
2013,WLD,Kingdom,Bacteria,432790167
2013,WLD,Kingdom,Diverse/Unspecified,240025759998
2013,WLD,Kingdom,Fungi,217725
2013,WLD,Kingdom,Plantae,15206951
2013,WLD,Kingdom,Viruses,26771
2013,WLD,Kingdom,Unspecified,8854
2014,WLD,Kingdom,Animalia,107819899644
2014,WLD,Kingdom,Bacteria,137283271
2014,WLD,Kingdom,Diverse/Unspecified,23289056637
2014,WLD,Kingdom,Plantae,5362890610
2014,WLD,Kingdom,Unspecified,158063043
2015,WLD,Kingdom,Animalia,6382607291
2015,WLD,Kingdom,Animalia/Plantae,4722
2015,WLD,Kingdom,Diverse/Unspecified,2610928101
2015,WLD,Kingdom,Plantae,369806359
2016,WLD,Kingdom,Animalia,23103297513
2016,WLD,Kingdom,Diverse/Unspecified,18866119
2016,WLD,Kingdom,Fungi,12921
2016,WLD,Kingdom,Plantae,5873288506
2016,WLD,Kingdom,Viruses,454982398
2016,WLD,Kingdom,Unspecified,723148
2017,WLD,Kingdom,Animalia,78507818086
2017,WLD,Kingdom,Bacteria,6095488
2017,WLD,Kingdom,Diverse/Unspecified,1635817493
2017,WLD,Kingdom,Fungi,4308530
2017,WLD,Kingdom,Plantae,1655894442
2018,WLD,Kingdom,Animalia,13928120373
2018,WLD,Kingdom,Bacteria,512361165
2018,WLD,Kingdom,Diverse/Unspecified,13886866
2018,WLD,Kingdom,Plantae,4674793771
2018,WLD,Kingdom,Unspecified,108496
2019,WLD,Kingdom,Animalia,6268224277
2019,WLD,Kingdom,Diverse/Unspecified,1242033209
2019,WLD,Kingdom,Fungi,2681416524
2019,WLD,Kingdom,Plantae,948653097
2020,WLD,Kingdom,Animalia,491854286
2020,WLD,Kingdom,Diverse/Unspecified,18696506
2020,WLD,Kingdom,Plantae,6181388
2020,WLD,Kingdom,Unspecified,204876294
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
