year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark _high
2018,WLD,Total,32,,,,
2018,WLD,STEM,28,,,,
2018,WLD,Non-STEM,35,,,,
2018,WLD,Administrative Jobs,45,,,,
