year,geo,value
2005,WLD,16
2006,WLD,17
2007,WLD,20
2008,WLD,23
2009,WLD,25
2010,WLD,28
2011,WLD,31
2012,WLD,33
2013,WLD,35
2014,WLD,37
2015,WLD,40
2016,WLD,44
2017,WLD,46
2018,WLD,49
2019,WLD,54
2020,WLD,60
2021,WLD,64
2022,WLD,67
2023,WLD,69
2024,WLD,71
2025,WLD,74
2000,ABW,15
2001,ABW,17
2002,ABW,19
2003,ABW,21
2004,ABW,23
2005,ABW,25
2006,ABW,28
2007,ABW,31
2008,ABW,52
2009,ABW,58
2010,ABW,62
2011,ABW,69
2012,ABW,74
2013,ABW,79
2014,ABW,84
2015,ABW,89
2016,ABW,94
2017,ABW,97
2000,PRK,0
2001,PRK,0
2002,PRK,0
2003,PRK,0
2005,AFG,1.2
2006,AFG,2.1
2007,AFG,1.9
2008,AFG,1.8
2009,AFG,3.6
2010,AFG,4.0
2011,AFG,5.0
2012,AFG,5.5
2013,AFG,5.9
2014,AFG,7.0
2015,AFG,8.3
2016,AFG,11
2017,AFG,14
2018,AFG,17
2019,AFG,18
2020,AFG,17
2021,AFG,17
2022,AFG,17
2023,AFG,18
2004,PRK,0
2005,PRK,0
2006,PRK,0
2007,PRK,0
2008,PRK,0
2005,AGO,1.1
2006,AGO,1.5
2007,AGO,1.7
2008,AGO,1.9
2009,AGO,2.3
2010,AGO,2.8
2011,AGO,4.7
2012,AGO,7.7
2013,AGO,13
2014,AGO,21
2015,AGO,22
2016,AGO,23
2017,AGO,26
2018,AGO,29
2019,AGO,32
2020,AGO,37
2021,AGO,39
2022,AGO,42
2023,AGO,45
2009,PRK,0
2010,PRK,0
2011,PRK,0
2012,PRK,0
2004,ALB,2.4
2005,ALB,6.0
2006,ALB,9.6
2007,ALB,15
2008,ALB,24
2009,ALB,41
2010,ALB,45
2011,ALB,47
2012,ALB,49
2013,ALB,52
2014,ALB,54
2015,ALB,57
2016,ALB,60
2017,ALB,62
2018,ALB,65
2019,ALB,69
2020,ALB,72
2021,ALB,79
2022,ALB,83
2023,ALB,83
2000,AND,11
2002,AND,11
2003,AND,14
2004,AND,27
2005,AND,38
2006,AND,49
2007,AND,71
2008,AND,70
2009,AND,79
2010,AND,81
2011,AND,81
2012,AND,83
2013,AND,84
2014,AND,86
2015,AND,88
2016,AND,90
2017,AND,92
2019,AND,91
2020,AND,93
2021,AND,94
2022,AND,94
2023,AND,95
2000,ARE,24
2001,ARE,26
2002,ARE,28
2003,ARE,29
2004,ARE,30
2005,ARE,40
2006,ARE,52
2007,ARE,61
2008,ARE,63
2009,ARE,64
2010,ARE,68
2011,ARE,78
2012,ARE,85
2013,ARE,88
2014,ARE,90
2015,ARE,91
2016,ARE,91
2017,ARE,95
2018,ARE,98
2019,ARE,99
2020,ARE,100
2021,ARE,100
2022,ARE,100
2023,ARE,100
2024,ARE,100
2000,ARG,7.0
2001,ARG,9.8
2002,ARG,11
2003,ARG,12
2004,ARG,16
2005,ARG,18
2006,ARG,21
2007,ARG,26
2008,ARG,28
2009,ARG,34
2010,ARG,45
2011,ARG,51
2012,ARG,56
2013,ARG,60
2014,ARG,65
2015,ARG,68
2016,ARG,71
2017,ARG,74
2018,ARG,78
2019,ARG,80
2020,ARG,86
2021,ARG,87
2022,ARG,88
2023,ARG,89
2024,ARG,90
2000,ARM,1.3
2001,ARM,1.6
2002,ARM,2.0
2003,ARM,4.6
2004,ARM,4.9
2005,ARM,5.3
2006,ARM,5.6
2007,ARM,6.0
2008,ARM,6.2
2009,ARM,15
2010,ARM,25
2011,ARM,32
2012,ARM,38
2013,ARM,42
2014,ARM,55
2015,ARM,59
2016,ARM,64
2017,ARM,65
2018,ARM,68
2019,ARM,67
2020,ARM,77
2021,ARM,79
2022,ARM,77
2023,ARM,80
2000,ATG,6.5
2001,ATG,8.9
2002,ATG,13
2003,ATG,17
2004,ATG,24
2005,ATG,27
2006,ATG,30
2007,ATG,34
2008,ATG,38
2009,ATG,42
2010,ATG,47
2011,ATG,52
2012,ATG,58
2013,ATG,63
2014,ATG,68
2015,ATG,70
2016,ATG,71
2017,ATG,72
2018,ATG,73
2019,ATG,74
2020,ATG,75
2021,ATG,76
2022,ATG,77
2023,ATG,78
2000,AUS,47
2001,AUS,53
2005,AUS,63
2006,AUS,66
2007,AUS,69
2008,AUS,72
2009,AUS,74
2010,AUS,76
2011,AUS,79
2012,AUS,79
2013,AUS,83
2014,AUS,84
2015,AUS,85
2016,AUS,87
2017,AUS,87
2018,AUS,90
2019,AUS,94
2020,AUS,95
2021,AUS,97
2022,AUS,97
2023,AUS,97
2000,AUT,34
2001,AUT,39
2002,AUT,37
2003,AUT,43
2004,AUT,54
2005,AUT,58
2006,AUT,64
2007,AUT,69
2008,AUT,73
2009,AUT,73
2010,AUT,75
2011,AUT,79
2012,AUT,80
2013,AUT,81
2014,AUT,81
2015,AUT,84
2016,AUT,84
2017,AUT,88
2018,AUT,87
2019,AUT,88
2020,AUT,88
2021,AUT,93
2022,AUT,94
2023,AUT,95
2024,AUT,95
2002,TLS,0
2001,MMR,0.00029
2002,AZE,5.0
2005,AZE,8.0
2006,AZE,12
2007,AZE,15
2008,AZE,17
2009,AZE,27
2010,AZE,46
2011,AZE,50
2012,AZE,54
2013,AZE,73
2014,AZE,75
2015,AZE,77
2016,AZE,78
2017,AZE,79
2018,AZE,80
2019,AZE,81
2020,AZE,85
2021,AZE,86
2022,AZE,88
2023,AZE,89
2002,MMR,0.00043
2002,AFG,0.0046
2001,AFG,0.0047
2000,COD,0.0059
2001,COD,0.011
2000,ETH,0.015
2000,LBR,0.018
2000,SOM,0.020
2003,MMR,0.024
2004,MMR,0.024
2010,BDI,1.0
2011,BDI,1.1
2012,BDI,1.2
2013,BDI,1.3
2014,BDI,1.0
2015,BDI,2.0
2016,BDI,2.2
2017,BDI,2.7
2018,BDI,4.0
2019,BDI,6.1
2020,BDI,9.2
2021,BDI,11
2022,BDI,11
2023,BDI,11
2000,BEL,29
2001,BEL,31
2002,BEL,46
2003,BEL,50
2004,BEL,54
2005,BEL,56
2006,BEL,62
2007,BEL,67
2008,BEL,69
2009,BEL,75
2010,BEL,78
2011,BEL,82
2012,BEL,81
2013,BEL,82
2014,BEL,85
2015,BEL,85
2016,BEL,87
2017,BEL,88
2018,BEL,89
2019,BEL,90
2020,BEL,92
2021,BEL,93
2022,BEL,94
2023,BEL,95
2024,BEL,96
2000,SDN,0.026
2000,COG,0.026
2004,LBR,0.031
2003,LBR,0.032
2004,BEN,1.2
2005,BEN,1.3
2006,BEN,1.5
2007,BEN,1.8
2008,BEN,1.9
2009,BEN,2.2
2010,BEN,3.1
2011,BEN,4.1
2012,BEN,4.5
2013,BEN,4.9
2014,BEN,6.0
2015,BEN,11
2016,BEN,15
2017,BEN,19
2018,BEN,19
2019,BEN,21
2020,BEN,22
2021,BEN,28
2022,BEN,30
2023,BEN,32
2001,COG,0.032
2002,LBR,0.033
2001,LBR,0.034
2000,TCD,0.036
2000,NER,0.036
2001,ETH,0.037
2001,TCD,0.046
2000,KHM,0.047
2000,TJK,0.049
2009,BFA,1.1
2010,BFA,2.4
2011,BFA,3.0
2012,BFA,3.7
2013,BFA,5.0
2014,BFA,6.0
2015,BFA,6.6
2016,BFA,7.1
2017,BFA,7.8
2018,BFA,8.5
2019,BFA,9.3
2020,BFA,11
2021,BFA,13
2022,BFA,15
2023,BFA,17
2001,TJK,0.051
2000,CAF,0.053
2002,TJK,0.055
2000,RWA,0.063
2000,NGA,0.064
2003,TJK,0.065
2006,BGD,1.0
2007,BGD,1.8
2008,BGD,2.5
2009,BGD,3.1
2010,BGD,3.7
2011,BGD,4.5
2012,BGD,5.0
2013,BGD,6.6
2014,BGD,12
2015,BGD,13
2016,BGD,18
2017,BGD,22
2018,BGD,26
2019,BGD,30
2020,BGD,36
2021,BGD,39
2022,BGD,42
2023,BGD,45
2000,BGR,5.4
2001,BGR,7.6
2002,BGR,9.1
2003,BGR,12
2004,BGR,18
2005,BGR,20
2006,BGR,27
2007,BGR,34
2008,BGR,40
2009,BGR,45
2010,BGR,46
2011,BGR,48
2012,BGR,52
2013,BGR,53
2014,BGR,55
2015,BGR,57
2016,BGR,60
2017,BGR,63
2018,BGR,65
2019,BGR,68
2020,BGR,70
2021,BGR,75
2022,BGR,79
2023,BGR,80
2024,BGR,82
2000,BHR,6.2
2001,BHR,15
2002,BHR,18
2003,BHR,22
2004,BHR,21
2005,BHR,21
2006,BHR,28
2007,BHR,33
2008,BHR,52
2009,BHR,53
2010,BHR,55
2011,BHR,77
2012,BHR,88
2013,BHR,90
2014,BHR,91
2015,BHR,93
2016,BHR,98
2017,BHR,96
2018,BHR,99
2019,BHR,100
2020,BHR,100
2021,BHR,100
2022,BHR,100
2023,BHR,100
2024,BHR,100
2000,BHS,8.0
2001,BHS,12
2002,BHS,18
2003,BHS,20
2004,BHS,22
2005,BHS,25
2006,BHS,26
2007,BHS,27
2008,BHS,32
2009,BHS,34
2010,BHS,43
2011,BHS,65
2012,BHS,72
2013,BHS,72
2014,BHS,77
2015,BHS,78
2016,BHS,80
2017,BHS,81
2018,BHS,83
2019,BHS,91
2020,BHS,92
2021,BHS,94
2022,BHS,95
2023,BHS,95
2000,BIH,1.1
2001,BIH,1.2
2002,BIH,2.6
2003,BIH,4.0
2004,BIH,15
2005,BIH,21
2006,BIH,25
2007,BIH,28
2008,BIH,35
2009,BIH,38
2010,BIH,43
2011,BIH,44
2012,BIH,45
2013,BIH,49
2014,BIH,50
2015,BIH,53
2016,BIH,60
2017,BIH,65
2018,BIH,70
2019,BIH,70
2020,BIH,73
2021,BIH,76
2022,BIH,79
2023,BIH,83
2024,BIH,86
2000,BLR,1.9
2001,BLR,4.3
2002,BLR,9.0
2006,BLR,16
2007,BLR,20
2008,BLR,23
2009,BLR,27
2010,BLR,32
2011,BLR,40
2012,BLR,47
2013,BLR,54
2014,BLR,59
2015,BLR,62
2016,BLR,71
2017,BLR,74
2018,BLR,79
2019,BLR,83
2020,BLR,85
2021,BLR,87
2022,BLR,90
2023,BLR,92
2024,BLR,94
2000,BLZ,6.0
2002,BLZ,5.7
2004,BLZ,9.8
2005,BLZ,17
2006,BLZ,24
2007,BLZ,25
2008,BLZ,26
2009,BLZ,27
2010,BLZ,28
2011,BLZ,31
2012,BLZ,31
2013,BLZ,34
2014,BLZ,39
2015,BLZ,42
2016,BLZ,45
2017,BLZ,49
2018,BLZ,54
2019,BLZ,59
2020,BLZ,64
2021,BLZ,71
2022,BLZ,72
2023,BLZ,72
2000,BMU,43
2001,BMU,48
2002,BMU,52
2003,BMU,57
2004,BMU,61
2005,BMU,65
2006,BMU,70
2007,BMU,74
2008,BMU,82
2009,BMU,83
2010,BMU,84
2011,BMU,88
2012,BMU,91
2013,BMU,95
2014,BMU,97
2015,BMU,98
2016,BMU,98
2017,BMU,98
2000,BOL,1.4
2001,BOL,2.1
2002,BOL,3.1
2003,BOL,3.5
2004,BOL,4.4
2005,BOL,5.2
2006,BOL,6.2
2007,BOL,10
2008,BOL,13
2009,BOL,17
2010,BOL,22
2011,BOL,30
2012,BOL,35
2013,BOL,37
2014,BOL,35
2015,BOL,37
2016,BOL,40
2017,BOL,44
2018,BOL,44
2019,BOL,47
2020,BOL,60
2021,BOL,66
2022,BOL,67
2023,BOL,70
2000,BRA,2.9
2001,BRA,4.5
2002,BRA,9.1
2003,BRA,13
2004,BRA,19
2005,BRA,21
2006,BRA,28
2007,BRA,31
2008,BRA,34
2009,BRA,39
2010,BRA,41
2011,BRA,46
2012,BRA,49
2013,BRA,51
2014,BRA,55
2015,BRA,58
2016,BRA,61
2017,BRA,67
2018,BRA,70
2019,BRA,74
2020,BRA,81
2021,BRA,81
2022,BRA,81
2023,BRA,84
2024,BRA,84
2000,BRB,4.0
2001,BRB,12
2002,BRB,28
2003,BRB,40
2004,BRB,50
2005,BRB,53
2006,BRB,55
2007,BRB,58
2008,BRB,61
2009,BRB,65
2010,BRB,65
2011,BRB,67
2012,BRB,71
2013,BRB,72
2014,BRB,72
2015,BRB,72
2016,BRB,72
2017,BRB,72
2018,BRB,72
2019,BRB,74
2020,BRB,76
2021,BRB,78
2022,BRB,79
2023,BRB,80
2000,BRN,9.0
2001,BRN,13
2002,BRN,15
2003,BRN,20
2004,BRN,30
2005,BRN,36
2006,BRN,42
2007,BRN,45
2008,BRN,46
2009,BRN,49
2010,BRN,53
2011,BRN,56
2012,BRN,60
2013,BRN,65
2014,BRN,69
2015,BRN,71
2016,BRN,90
2017,BRN,95
2018,BRN,95
2019,BRN,95
2020,BRN,96
2021,BRN,98
2022,BRN,99
2023,BRN,99
2005,MMR,0.065
2000,BGD,0.071
2002,BTN,1.7
2003,BTN,2.4
2004,BTN,3.2
2005,BTN,3.8
2006,BTN,4.5
2007,BTN,5.9
2008,BTN,6.6
2009,BTN,7.2
2010,BTN,14
2011,BTN,14
2012,BTN,16
2013,BTN,22
2014,BTN,30
2015,BTN,40
2016,BTN,47
2017,BTN,54
2018,BTN,64
2019,BTN,74
2020,BTN,77
2021,BTN,86
2022,BTN,86
2023,BTN,88
2000,BWA,2.9
2001,BWA,3.4
2002,BWA,3.4
2003,BWA,3.3
2004,BWA,3.3
2005,BWA,3.3
2006,BWA,4.3
2007,BWA,5.3
2008,BWA,6.3
2009,BWA,6.2
2010,BWA,6.0
2011,BWA,9.0
2012,BWA,16
2013,BWA,30
2014,BWA,37
2015,BWA,37
2016,BWA,42
2017,BWA,48
2018,BWA,54
2019,BWA,61
2020,BWA,70
2021,BWA,79
2022,BWA,80
2023,BWA,81
